OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETONE
68.0;154.0;335.0;846.0;217.0;465.0;221.0;469.0;1018.0;1896.0;326.0;499.0;30.0;-1.0;40.0;-18.0;ACETONE
221.0;444.0;872.0;1739.0;345.0;648.0;339.0;680.0;1414.0;2713.0;468.0;745.0;30.0;0.0;23.0;-18.0;ACETONE
384.0;773.0;1514.0;2827.0;480.0;715.0;356.0;729.0;1462.0;2639.0;435.0;646.0;36.0;0.0;44.0;-17.0;ACETONE
305.0;628.0;1314.0;2666.0;513.0;896.0;592.0;1103.0;2079.0;3777.0;655.0;1061.0;30.0;-1.0;18.0;-26.0;ACETONE
595.0;1178.0;2270.0;4320.0;758.0;1152.0;761.0;1340.0;2425.0;4294.0;691.0;991.0;23.0;-8.0;17.0;-14.0;ACETONE
614.0;1129.0;2065.0;3671.0;598.0;860.0;557.0;985.0;1780.0;3183.0;529.0;783.0;21.0;-8.0;9.0;-14.0;ACETONE
523.0;943.0;1744.0;3122.0;510.0;729.0;398.0;782.0;1515.0;2718.0;426.0;645.0;15.0;-8.0;17.0;-13.0;ACETONE
398.0;763.0;1472.0;2818.0;511.0;825.0;526.0;970.0;1873.0;3362.0;559.0;878.0;21.0;-6.0;13.0;-12.0;ACETONE
486.0;965.0;1845.0;3594.0;686.0;1191.0;782.0;1472.0;2752.0;4898.0;804.0;1218.0;13.0;4.0;13.0;-12.0;ACETONE
807.0;1510.0;2766.0;5001.0;848.0;1358.0;950.0;1738.0;3124.0;5469.0;898.0;1357.0;11.0;4.0;13.0;-10.0;ACETONE
851.0;1586.0;2928.0;5339.0;923.0;1408.0;915.0;1685.0;3105.0;5386.0;857.0;1264.0;28.0;8.0;14.0;-10.0;ACETONE
737.0;1397.0;2606.0;4707.0;785.0;1160.0;802.0;1443.0;2584.0;4446.0;702.0;1023.0;15.0;4.0;25.0;-10.0;ACETONE
688.0;1256.0;2272.0;4050.0;674.0;1004.0;724.0;1284.0;2248.0;3876.0;644.0;948.0;16.0;3.0;14.0;-13.0;ACETONE
555.0;1054.0;2073.0;4077.0;846.0;1683.0;1215.0;2306.0;4284.0;7699.0;1315.0;2047.0;16.0;4.0;16.0;-13.0;ACETONE
1295.0;2537.0;4814.0;8709.0;1469.0;2223.0;1546.0;2803.0;5068.0;8864.0;1483.0;2256.0;16.0;3.0;21.0;-15.0;ACETONE
1501.0;2864.0;5363.0;9442.0;1582.0;2276.0;1591.0;2898.0;5261.0;8903.0;1391.0;2022.0;14.0;4.0;16.0;-15.0;ACETONE
1255.0;2429.0;4716.0;8745.0;1535.0;2462.0;1863.0;3413.0;6092.0;10453.0;1699.0;2525.0;10.0;-2.0;15.0;-15.0;ACETONE
1739.0;3275.0;6262.0;10788.0;2014.0;3238.0;2478.0;4560.0;8212.0;13970.0;2234.0;3238.0;21.0;-2.0;15.0;-13.0;ACETONE
2329.0;4385.0;8127.0;12338.0;2281.0;3309.0;2499.0;4509.0;7967.0;13543.0;2151.0;3094.0;10.0;7.0;2.0;-10.0;ACETONE
2158.0;4062.0;7582.0;11964.0;2206.0;3276.0;2601.0;4601.0;8141.0;13774.0;2183.0;3128.0;16.0;8.0;4.0;-10.0;ACETONE
2211.0;4099.0;7596.0;11875.0;2164.0;3181.0;2451.0;4426.0;7842.0;13386.0;2113.0;3017.0;8.0;11.0;-4.0;-4.0;ACETONE
2074.0;3836.0;7086.0;11360.0;1978.0;2773.0;2085.0;3733.0;6600.0;11089.0;1738.0;2412.0;16.0;11.0;-4.0;-4.0;ACETONE
1739.0;3168.0;5749.0;9714.0;1590.0;2229.0;1756.0;3096.0;5337.0;9039.0;1398.0;1994.0;10.0;11.0;-4.0;5.0;ACETONE
1458.0;2622.0;4743.0;8191.0;1333.0;1926.0;1560.0;2747.0;4775.0;7949.0;1255.0;1825.0;16.0;9.0;-4.0;4.0;ACETONE
1293.0;2378.0;4402.0;7832.0;1313.0;2005.0;1621.0;2831.0;4975.0;8494.0;1360.0;2005.0;10.0;9.0;-8.0;4.0;ACETONE
1398.0;2645.0;4926.0;8814.0;1509.0;2317.0;1798.0;3254.0;5777.0;9839.0;1548.0;2251.0;9.0;9.0;-8.0;-2.0;ACETONE
1552.0;2874.0;5312.0;9271.0;1542.0;2254.0;1668.0;2995.0;5318.0;9037.0;1439.0;2062.0;15.0;4.0;-8.0;-5.0;ACETONE
1482.0;2708.0;4925.0;8569.0;1401.0;2046.0;1531.0;2755.0;4923.0;8405.0;1343.0;1983.0;15.0;-3.0;-8.0;-2.0;ACETONE
1329.0;2504.0;4765.0;8669.0;1484.0;2275.0;1825.0;3200.0;5591.0;9459.0;1506.0;2137.0;15.0;-3.0;-8.0;-5.0;ACETONE
1504.0;2848.0;5378.0;9562.0;1696.0;2810.0;2317.0;4239.0;7577.0;13238.0;2206.0;3409.0;17.0;-3.0;-8.0;-5.0;ACETONE
2973.0;6027.0;11954.0;14878.0;3527.0;5390.0;4752.0;8537.0;15131.0;20524.0;3932.0;5466.0;12.0;3.0;-2.0;-5.0;ACETONE
4801.0;9126.0;16005.0;16080.0;4201.0;5637.0;4840.0;8573.0;14891.0;20524.0;3783.0;5172.0;17.0;11.0;-2.0;-1.0;ACETONE
4196.0;7821.0;14249.0;15646.0;3615.0;4756.0;4107.0;7132.0;12226.0;19325.0;3085.0;4226.0;23.0;19.0;-2.0;-2.0;ACETONE
3412.0;6260.0;11397.0;14367.0;2904.0;3826.0;3215.0;5653.0;9751.0;16210.0;2481.0;3395.0;18.0;8.0;-2.0;-1.0;ACETONE
2737.0;4964.0;8956.0;12878.0;2327.0;3091.0;2714.0;4617.0;7858.0;13063.0;2008.0;2760.0;16.0;10.0;-2.0;-1.0;ACETONE
2299.0;4137.0;7462.0;11597.0;1971.0;2669.0;2377.0;4045.0;6850.0;11403.0;1745.0;2473.0;16.0;8.0;-6.0;1.0;ACETONE
1946.0;3570.0;6557.0;10798.0;1813.0;2528.0;2239.0;3821.0;6510.0;10790.0;1679.0;2347.0;18.0;3.0;-9.0;-2.0;ACETONE
1866.0;3421.0;6230.0;10392.0;1725.0;2393.0;1977.0;3505.0;6123.0;10264.0;1588.0;2201.0;11.0;3.0;-11.0;1.0;ACETONE
1772.0;3201.0;5896.0;9881.0;1600.0;2200.0;1823.0;3222.0;5674.0;9459.0;1453.0;2029.0;19.0;4.0;-11.0;-2.0;ACETONE
1687.0;3033.0;5472.0;9330.0;1487.0;2054.0;1835.0;3109.0;5294.0;8745.0;1355.0;1882.0;13.0;-1.0;-13.0;5.0;ACETONE
1545.0;2802.0;5050.0;8704.0;1372.0;1896.0;1614.0;2818.0;4811.0;7995.0;1241.0;1719.0;14.0;8.0;-13.0;-4.0;ACETONE
1395.0;2512.0;4529.0;7883.0;1241.0;1727.0;1418.0;2468.0;4343.0;7332.0;1133.0;1591.0;13.0;5.0;-14.0;8.0;ACETONE
1357.0;2424.0;4329.0;7496.0;1161.0;1616.0;1338.0;2312.0;4041.0;6854.0;1060.0;1467.0;14.0;5.0;-14.0;5.0;ACETONE
1159.0;2113.0;3876.0;6815.0;1084.0;1525.0;1251.0;2232.0;3936.0;6611.0;1018.0;1427.0;10.0;5.0;-5.0;5.0;ACETONE
1101.0;1983.0;3627.0;6356.0;1006.0;1409.0;1133.0;1996.0;3550.0;6021.0;948.0;1333.0;11.0;5.0;-2.0;5.0;ACETONE
1046.0;1911.0;3463.0;6110.0;967.0;1368.0;1165.0;2022.0;3441.0;5711.0;892.0;1267.0;11.0;3.0;-1.0;10.0;ACETONE
1049.0;1874.0;3380.0;5929.0;938.0;1291.0;1056.0;1825.0;3252.0;5531.0;850.0;1185.0;11.0;3.0;-1.0;10.0;ACETONE
1045.0;1852.0;3331.0;5677.0;895.0;1229.0;1055.0;1801.0;3097.0;5154.0;804.0;1126.0;19.0;3.0;-1.0;10.0;ACETONE
994.0;1779.0;3194.0;5531.0;875.0;1220.0;963.0;1716.0;3041.0;5157.0;814.0;1166.0;10.0;3.0;-2.0;0.0;ACETONE
1001.0;1829.0;3356.0;5893.0;944.0;1407.0;1142.0;2077.0;3752.0;6492.0;1064.0;1619.0;16.0;3.0;-3.0;-11.0;ACETONE
1312.0;2513.0;4801.0;8555.0;1368.0;1936.0;1488.0;2695.0;4782.0;8168.0;1295.0;1842.0;11.0;6.0;-10.0;-11.0;ACETONE
1398.0;2651.0;5094.0;9114.0;1538.0;2392.0;1920.0;3526.0;6407.0;11131.0;1785.0;2611.0;11.0;7.0;-5.0;0.0;ACETONE
2065.0;4093.0;8010.0;12413.0;2345.0;3529.0;2945.0;5414.0;9812.0;16763.0;2639.0;3771.0;13.0;6.0;-5.0;13.0;ACETONE
3176.0;6287.0;12133.0;14621.0;3239.0;4572.0;3891.0;7005.0;12541.0;19783.0;3294.0;4570.0;8.0;7.0;-5.0;12.0;ACETONE
3983.0;7683.0;14295.0;15642.0;3633.0;4881.0;4125.0;7422.0;13114.0;20116.0;3459.0;4761.0;9.0;4.0;-5.0;9.0;ACETONE
4194.0;8249.0;15145.0;15943.0;4033.0;5637.0;5170.0;9210.0;16297.0;20524.0;4225.0;5784.0;9.0;4.0;-5.0;1.0;ACETONE
5626.0;11004.0;17896.0;16883.0;4967.0;6654.0;6261.0;11136.0;19446.0;20524.0;4886.0;6567.0;9.0;1.0;0.0;1.0;ACETONE
6631.0;12741.0;18988.0;16917.0;5496.0;7246.0;6922.0;12326.0;21590.0;20524.0;5304.0;7089.0;18.0;1.0;0.0;6.0;ACETONE
7333.0;14052.0;19649.0;17222.0;5816.0;7469.0;7350.0;12957.0;22396.0;20524.0;5386.0;7108.0;18.0;4.0;-6.0;1.0;ACETONE
7249.0;13766.0;19399.0;17004.0;5583.0;7084.0;6917.0;12124.0;20959.0;20524.0;5047.0;6589.0;21.0;4.0;-10.0;1.0;ACETONE
6525.0;12441.0;18879.0;16872.0;5200.0;6759.0;6666.0;11614.0;20192.0;20524.0;4993.0;6699.0;17.0;5.0;-6.0;6.0;ACETONE
6907.0;13093.0;19142.0;16930.0;5355.0;6733.0;6622.0;11407.0;19474.0;20524.0;4739.0;6216.0;17.0;6.0;-6.0;0.0;ACETONE
6249.0;11684.0;18275.0;16633.0;4779.0;5988.0;5923.0;10071.0;17187.0;20524.0;4164.0;5474.0;10.0;6.0;-10.0;-3.0;ACETONE
5398.0;10132.0;16951.0;16393.0;4250.0;5375.0;5231.0;8912.0;15213.0;20524.0;3765.0;5014.0;11.0;7.0;0.0;-3.0;ACETONE
