OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETONE
-29.0;-42.0;-71.0;-184.0;-27.0;-38.0;-54.0;-92.0;-97.0;-231.0;-26.0;-34.0;-15.0;-15.0;8.0;11.0;ACETONE
-17.0;-17.0;-24.0;-78.0;-10.0;-38.0;-54.0;-92.0;-97.0;-231.0;-26.0;-31.0;-15.0;-15.0;13.0;8.0;ACETONE
133.0;230.0;348.0;550.0;83.0;83.0;63.0;123.0;195.0;213.0;40.0;36.0;-7.0;1.0;2.0;1.0;ACETONE
110.0;189.0;300.0;491.0;70.0;71.0;83.0;128.0;184.0;186.0;37.0;56.0;-10.0;1.0;-4.0;4.0;ACETONE
211.0;353.0;538.0;769.0;114.0;122.0;127.0;222.0;342.0;202.0;57.0;72.0;-15.0;1.0;-14.0;4.0;ACETONE
162.0;275.0;400.0;617.0;87.0;99.0;122.0;173.0;184.0;202.0;41.0;51.0;-10.0;1.0;-14.0;0.0;ACETONE
115.0;188.0;313.0;458.0;63.0;69.0;66.0;106.0;115.0;104.0;37.0;51.0;-10.0;1.0;-14.0;0.0;ACETONE
105.0;172.0;278.0;411.0;54.0;56.0;80.0;118.0;115.0;121.0;23.0;21.0;-7.0;6.0;-7.0;3.0;ACETONE
98.0;182.0;293.0;435.0;63.0;70.0;64.0;116.0;202.0;104.0;16.0;16.0;-7.0;6.0;-5.0;3.0;ACETONE
-42.0;-73.0;-129.0;-127.0;-11.0;3.0;-10.0;10.0;79.0;78.0;-3.0;-2.0;-3.0;2.0;7.0;2.0;ACETONE
-23.0;-24.0;8.0;33.0;14.0;14.0;14.0;63.0;167.0;230.0;10.0;18.0;1.0;4.0;15.0;2.0;ACETONE
21.0;42.0;62.0;140.0;32.0;41.0;13.0;60.0;156.0;176.0;17.0;41.0;3.0;7.0;14.0;2.0;ACETONE
21.0;42.0;112.0;239.0;32.0;41.0;14.0;63.0;167.0;170.0;37.0;41.0;4.0;4.0;15.0;9.0;ACETONE
51.0;97.0;181.0;315.0;56.0;64.0;56.0;158.0;287.0;378.0;43.0;66.0;3.0;10.0;19.0;13.0;ACETONE
72.0;130.0;246.0;394.0;69.0;85.0;57.0;130.0;240.0;380.0;54.0;80.0;1.0;2.0;20.0;9.0;ACETONE
91.0;167.0;272.0;446.0;75.0;89.0;63.0;152.0;327.0;498.0;70.0;85.0;-7.0;2.0;8.0;5.0;ACETONE
143.0;244.0;439.0;716.0;115.0;146.0;134.0;297.0;531.0;761.0;102.0;146.0;-7.0;2.0;2.0;0.0;ACETONE
226.0;384.0;642.0;1051.0;166.0;213.0;178.0;337.0;605.0;994.0;135.0;184.0;-7.0;0.0;1.0;0.0;ACETONE
263.0;448.0;750.0;1268.0;188.0;238.0;237.0;466.0;828.0;1206.0;158.0;217.0;-7.0;-2.0;1.0;0.0;ACETONE
282.0;492.0;823.0;1339.0;206.0;268.0;240.0;446.0;711.0;1051.0;165.0;244.0;-6.0;-2.0;1.0;0.0;ACETONE
220.0;365.0;624.0;1030.0;165.0;228.0;229.0;404.0;650.0;984.0;151.0;207.0;-6.0;-1.0;3.0;0.0;ACETONE
235.0;406.0;713.0;1164.0;191.0;262.0;209.0;399.0;702.0;1088.0;170.0;239.0;-4.0;0.0;3.0;0.0;ACETONE
238.0;415.0;687.0;1079.0;163.0;204.0;175.0;323.0;535.0;815.0;127.0;198.0;-6.0;5.0;3.0;0.0;ACETONE
188.0;337.0;602.0;951.0;151.0;204.0;157.0;293.0;515.0;867.0;136.0;196.0;-6.0;6.0;9.0;0.0;ACETONE
225.0;395.0;714.0;1147.0;172.0;235.0;216.0;420.0;764.0;1138.0;161.0;238.0;-6.0;6.0;6.0;5.0;ACETONE
293.0;528.0;882.0;1473.0;234.0;315.0;274.0;499.0;861.0;1367.0;202.0;299.0;-4.0;6.0;10.0;7.0;ACETONE
307.0;532.0;925.0;1509.0;233.0;316.0;288.0;522.0;913.0;1384.0;195.0;300.0;-6.0;6.0;10.0;9.0;ACETONE
317.0;545.0;945.0;1449.0;226.0;316.0;290.0;576.0;970.0;1480.0;217.0;310.0;-4.0;2.0;13.0;9.0;ACETONE
289.0;510.0;884.0;1487.0;233.0;316.0;281.0;507.0;834.0;1388.0;195.0;277.0;-4.0;-1.0;13.0;9.0;ACETONE
207.0;349.0;626.0;1026.0;157.0;229.0;213.0;414.0;688.0;1027.0;146.0;207.0;-4.0;-3.0;18.0;5.0;ACETONE
252.0;455.0;787.0;1195.0;185.0;246.0;257.0;478.0;760.0;1156.0;177.0;246.0;-8.0;-4.0;6.0;1.0;ACETONE
302.0;530.0;893.0;1419.0;211.0;281.0;245.0;460.0;793.0;1133.0;184.0;269.0;-2.0;-4.0;9.0;1.0;ACETONE
378.0;645.0;1084.0;1704.0;257.0;325.0;284.0;504.0;902.0;1384.0;206.0;287.0;-12.0;-3.0;6.0;1.0;ACETONE
310.0;535.0;929.0;1539.0;230.0;303.0;277.0;509.0;857.0;1369.0;201.0;287.0;-8.0;-1.0;17.0;2.0;ACETONE
317.0;533.0;893.0;1391.0;209.0;283.0;267.0;490.0;826.0;1258.0;190.0;271.0;-14.0;0.0;6.0;2.0;ACETONE
335.0;566.0;975.0;1524.0;229.0;290.0;262.0;474.0;858.0;1364.0;202.0;276.0;-8.0;0.0;18.0;9.0;ACETONE
349.0;597.0;1020.0;1617.0;245.0;338.0;350.0;645.0;1086.0;1639.0;241.0;354.0;-10.0;3.0;15.0;8.0;ACETONE
411.0;723.0;1227.0;1983.0;313.0;447.0;446.0;837.0;1455.0;2339.0;348.0;507.0;-10.0;0.0;16.0;9.0;ACETONE
532.0;910.0;1608.0;2654.0;412.0;566.0;491.0;871.0;1459.0;2317.0;374.0;539.0;-10.0;3.0;15.0;8.0;ACETONE
581.0;1011.0;1742.0;2790.0;439.0;599.0;534.0;973.0;1647.0;2606.0;410.0;574.0;-10.0;3.0;10.0;6.0;ACETONE
586.0;1033.0;1773.0;3002.0;493.0;735.0;592.0;1097.0;1940.0;3171.0;505.0;764.0;-10.0;0.0;19.0;6.0;ACETONE
692.0;1257.0;2185.0;3666.0;597.0;876.0;738.0;1341.0;2325.0;3813.0;606.0;887.0;-7.0;0.0;18.0;6.0;ACETONE
762.0;1386.0;2487.0;4311.0;740.0;1202.0;1057.0;1906.0;3378.0;5567.0;871.0;1304.0;-6.0;0.0;28.0;7.0;ACETONE
