OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ACETONE
57.0;112.0;221.0;415.0;70.0;104.0;27.0;62.0;123.0;235.0;40.0;61.0;0.0;7.0;-1.0;-3.0;ACETONE
53.0;106.0;202.0;363.0;54.0;80.0;25.0;50.0;103.0;179.0;29.0;63.0;0.0;6.0;-5.0;-3.0;ACETONE
47.0;96.0;186.0;355.0;63.0;104.0;29.0;65.0;144.0;300.0;56.0;97.0;0.0;1.0;-1.0;-3.0;ACETONE
72.0;148.0;297.0;575.0;104.0;176.0;54.0;118.0;250.0;513.0;95.0;164.0;1.0;-1.0;-1.0;-2.0;ACETONE
99.0;202.0;402.0;771.0;142.0;238.0;73.0;157.0;334.0;676.0;127.0;217.0;-4.0;-1.0;-5.0;-2.0;ACETONE
122.0;250.0;504.0;1001.0;186.0;318.0;105.0;224.0;468.0;923.0;176.0;307.0;-4.0;-1.0;-5.0;-1.0;ACETONE
159.0;322.0;641.0;1251.0;230.0;376.0;124.0;260.0;545.0;1102.0;207.0;353.0;5.0;-1.0;-4.0;-2.0;ACETONE
181.0;362.0;711.0;1332.0;235.0;373.0;126.0;266.0;546.0;1063.0;186.0;311.0;9.0;0.0;-4.0;-3.0;ACETONE
160.0;322.0;616.0;1162.0;203.0;335.0;114.0;243.0;497.0;956.0;172.0;283.0;13.0;0.0;-1.0;-3.0;ACETONE
149.0;296.0;564.0;1046.0;180.0;288.0;95.0;202.0;415.0;790.0;142.0;232.0;12.0;0.0;0.0;-3.0;ACETONE
125.0;253.0;493.0;941.0;166.0;282.0;95.0;203.0;421.0;832.0;149.0;252.0;15.0;0.0;0.0;-3.0;ACETONE
139.0;280.0;544.0;1019.0;174.0;280.0;95.0;201.0;413.0;794.0;140.0;230.0;12.0;1.0;2.0;-2.0;ACETONE
127.0;256.0;494.0;927.0;160.0;266.0;91.0;192.0;397.0;781.0;141.0;245.0;12.0;3.0;2.0;-1.0;ACETONE
138.0;282.0;550.0;1036.0;183.0;299.0;101.0;214.0;439.0;857.0;153.0;256.0;1.0;3.0;-2.0;-1.0;ACETONE
142.0;286.0;557.0;1040.0;181.0;297.0;104.0;221.0;435.0;848.0;150.0;246.0;1.0;1.0;-6.0;-1.0;ACETONE
136.0;273.0;522.0;981.0;173.0;294.0;107.0;224.0;463.0;900.0;166.0;291.0;4.0;1.0;-2.0;-1.0;ACETONE
