OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AIR
14.0;14.0;17.0;32.0;5.0;-9.0;-50.0;-75.0;-123.0;-144.0;-9.0;-5.0;7.0;3.0;3.0;-11.0;AIR
15.0;24.0;17.0;32.0;8.0;-9.0;-50.0;-75.0;-123.0;-144.0;-9.0;-5.0;2.0;5.0;0.0;-11.0;AIR
-7.0;-13.0;-16.0;-30.0;-6.0;-12.0;-23.0;-40.0;-59.0;-76.0;-11.0;-17.0;0.0;-1.0;1.0;7.0;AIR
-4.0;-8.0;-13.0;-16.0;-6.0;-8.0;-23.0;-40.0;-59.0;-75.0;-7.0;-8.0;0.0;-8.0;1.0;6.0;AIR
27.0;44.0;67.0;139.0;22.0;33.0;38.0;65.0;108.0;180.0;24.0;32.0;1.0;-8.0;-8.0;-14.0;AIR
45.0;67.0;115.0;198.0;33.0;38.0;63.0;100.0;153.0;186.0;26.0;36.0;1.0;-8.0;-11.0;-14.0;AIR
22.0;34.0;62.0;125.0;16.0;14.0;22.0;44.0;83.0;130.0;16.0;22.0;1.0;-11.0;-11.0;-14.0;AIR
22.0;34.0;62.0;125.0;16.0;15.0;23.0;30.0;88.0;132.0;23.0;22.0;1.0;-11.0;-4.0;-7.0;AIR
22.0;34.0;62.0;125.0;16.0;15.0;23.0;42.0;88.0;132.0;23.0;22.0;1.0;-11.0;-3.0;-1.0;AIR
42.0;55.0;101.0;198.0;27.0;15.0;49.0;79.0;130.0;185.0;29.0;36.0;7.0;-7.0;3.0;-1.0;AIR
25.0;44.0;74.0;131.0;17.0;18.0;29.0;49.0;73.0;105.0;19.0;20.0;16.0;-6.0;2.0;-7.0;AIR
27.0;44.0;82.0;141.0;20.0;21.0;29.0;40.0;71.0;90.0;17.0;26.0;13.0;-6.0;2.0;-12.0;AIR
33.0;48.0;88.0;158.0;22.0;23.0;27.0;44.0;80.0;127.0;24.0;30.0;13.0;-6.0;2.0;-12.0;AIR
34.0;40.0;82.0;141.0;20.0;21.0;42.0;66.0;118.0;169.0;25.0;26.0;6.0;-7.0;-3.0;-12.0;AIR
31.0;40.0;79.0;152.0;25.0;23.0;79.0;125.0;183.0;237.0;28.0;36.0;6.0;-8.0;-3.0;-11.0;AIR
33.0;43.0;76.0;173.0;20.0;21.0;73.0;110.0;181.0;240.0;26.0;33.0;3.0;-9.0;-6.0;-7.0;AIR
31.0;40.0;51.0;152.0;14.0;16.0;32.0;51.0;87.0;138.0;26.0;21.0;3.0;-9.0;-6.0;-6.0;AIR
23.0;35.0;55.0;137.0;20.0;19.0;32.0;48.0;89.0;133.0;19.0;23.0;6.0;-9.0;-6.0;-4.0;AIR
39.0;59.0;114.0;206.0;29.0;36.0;36.0;64.0;124.0;217.0;31.0;46.0;10.0;-9.0;-6.0;-4.0;AIR
49.0;80.0;140.0;238.0;38.0;42.0;32.0;60.0;121.0;235.0;35.0;55.0;6.0;-9.0;-6.0;-4.0;AIR
51.0;78.0;153.0;263.0;40.0;47.0;44.0;86.0;149.0;247.0;34.0;49.0;9.0;-8.0;-6.0;-7.0;AIR
34.0;53.0;108.0;187.0;27.0;36.0;39.0;62.0;101.0;171.0;25.0;34.0;18.0;-8.0;-6.0;-7.0;AIR
39.0;54.0;103.0;205.0;30.0;34.0;73.0;126.0;195.0;254.0;29.0;39.0;9.0;-9.0;-2.0;-8.0;AIR
18.0;24.0;49.0;103.0;14.0;14.0;36.0;56.0;91.0;171.0;20.0;17.0;9.0;-9.0;-2.0;-10.0;AIR
18.0;24.0;49.0;103.0;14.0;14.0;70.0;107.0;168.0;211.0;20.0;17.0;7.0;-9.0;-2.0;-10.0;AIR
18.0;24.0;49.0;103.0;14.0;14.0;57.0;79.0;114.0;117.0;16.0;17.0;7.0;-9.0;-5.0;-9.0;AIR
33.0;50.0;77.0;161.0;17.0;16.0;57.0;79.0;114.0;117.0;16.0;20.0;4.0;-6.0;-5.0;-9.0;AIR
35.0;45.0;22.0;161.0;9.0;18.0;77.0;119.0;85.0;64.0;21.0;24.0;7.0;-3.0;-5.0;-4.0;AIR
14.0;12.0;22.0;60.0;9.0;3.0;53.0;73.0;99.0;59.0;12.0;15.0;8.0;-3.0;-9.0;-3.0;AIR
10.0;12.0;12.0;50.0;3.0;3.0;53.0;73.0;85.0;64.0;12.0;6.0;2.0;-3.0;-5.0;-3.0;AIR
11.0;12.0;11.0;49.0;3.0;3.0;48.0;66.0;99.0;124.0;12.0;6.0;2.0;-3.0;-5.0;-2.0;AIR
19.0;23.0;43.0;83.0;12.0;6.0;46.0;61.0;83.0;101.0;12.0;6.0;3.0;-3.0;-6.0;-2.0;AIR
42.0;59.0;101.0;190.0;27.0;27.0;72.0;123.0;176.0;194.0;21.0;23.0;3.0;-7.0;-7.0;-1.0;AIR
54.0;78.0;137.0;222.0;33.0;37.0;76.0;118.0;198.0;289.0;32.0;43.0;3.0;-7.0;-6.0;-1.0;AIR
