OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AIR
54.0;75.0;96.0;146.0;21.0;25.0;26.0;36.0;56.0;118.0;17.0;14.0;-6.0;-2.0;0.0;-5.0;AIR
61.0;88.0;116.0;173.0;28.0;33.0;28.0;46.0;83.0;139.0;22.0;29.0;-10.0;-3.0;0.0;-5.0;AIR
92.0;132.0;185.0;278.0;43.0;55.0;50.0;74.0;130.0;186.0;30.0;39.0;-10.0;-3.0;3.0;1.0;AIR
61.0;88.0;116.0;141.0;26.0;39.0;27.0;48.0;91.0;148.0;26.0;37.0;-10.0;-3.0;3.0;1.0;AIR
61.0;81.0;114.0;190.0;33.0;44.0;26.0;47.0;84.0;138.0;23.0;35.0;-10.0;-3.0;2.0;0.0;AIR
62.0;91.0;127.0;209.0;34.0;46.0;23.0;45.0;87.0;131.0;23.0;34.0;-10.0;-5.0;2.0;1.0;AIR
65.0;97.0;137.0;222.0;36.0;46.0;21.0;39.0;76.0;132.0;24.0;36.0;-10.0;-3.0;2.0;1.0;AIR
48.0;75.0;111.0;184.0;32.0;41.0;11.0;24.0;56.0;108.0;19.0;29.0;-12.0;-5.0;2.0;1.0;AIR
145.0;210.0;294.0;419.0;58.0;66.0;75.0;149.0;261.0;411.0;59.0;69.0;-5.0;10.0;-13.0;1.0;AIR
157.0;227.0;320.0;454.0;64.0;78.0;85.0;166.0;287.0;451.0;67.0;82.0;-3.0;15.0;-13.0;1.0;AIR
176.0;263.0;376.0;524.0;70.0;79.0;64.0;130.0;242.0;404.0;63.0;81.0;-2.0;8.0;-9.0;5.0;AIR
174.0;253.0;357.0;515.0;74.0;91.0;95.0;179.0;306.0;485.0;69.0;90.0;-3.0;14.0;-13.0;4.0;AIR
169.0;256.0;366.0;532.0;77.0;95.0;91.0;169.0;286.0;461.0;69.0;89.0;-3.0;15.0;-13.0;7.0;AIR
164.0;241.0;344.0;505.0;71.0;86.0;80.0;158.0;283.0;469.0;69.0;88.0;-2.0;14.0;-14.0;4.0;AIR
178.0;260.0;370.0;532.0;75.0;90.0;89.0;173.0;310.0;494.0;71.0;88.0;-10.0;9.0;-16.0;4.0;AIR
190.0;284.0;402.0;587.0;84.0;99.0;97.0;188.0;330.0;533.0;79.0;100.0;-10.0;13.0;-16.0;5.0;AIR
204.0;303.0;437.0;634.0;90.0;109.0;109.0;206.0;358.0;575.0;85.0;109.0;-6.0;9.0;-17.0;4.0;AIR
208.0;307.0;443.0;655.0;96.0;120.0;112.0;208.0;363.0;593.0;91.0;118.0;-2.0;9.0;-16.0;5.0;AIR
226.0;335.0;485.0;719.0;104.0;129.0;114.0;215.0;368.0;591.0;89.0;116.0;-6.0;12.0;-17.0;5.0;AIR
191.0;279.0;403.0;598.0;85.0;107.0;89.0;171.0;299.0;475.0;72.0;92.0;-3.0;14.0;-16.0;4.0;AIR
158.0;237.0;347.0;517.0;76.0;94.0;78.0;160.0;291.0;474.0;70.0;92.0;-6.0;11.0;-17.0;4.0;AIR
171.0;257.0;374.0;559.0;78.0;96.0;84.0;166.0;295.0;481.0;72.0;92.0;-10.0;10.0;-17.0;8.0;AIR
192.0;265.0;349.0;490.0;70.0;85.0;65.0;107.0;179.0;271.0;40.0;50.0;-5.0;6.0;-10.0;14.0;AIR
241.0;328.0;431.0;602.0;83.0;98.0;75.0;119.0;206.0;296.0;44.0;52.0;-8.0;1.0;-12.0;11.0;AIR
227.0;314.0;410.0;569.0;79.0;86.0;58.0;96.0;161.0;237.0;35.0;38.0;-8.0;1.0;-9.0;23.0;AIR
218.0;300.0;394.0;545.0;74.0;83.0;54.0;94.0;165.0;254.0;36.0;38.0;-5.0;2.0;-9.0;15.0;AIR
