OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AIR
4.0;5.0;18.0;52.0;4.0;3.0;-8.0;6.0;17.0;47.0;2.0;18.0;-8.0;0.0;-12.0;0.0;AIR
4.0;5.0;13.0;52.0;4.0;3.0;-9.0;6.0;17.0;42.0;2.0;16.0;-8.0;-1.0;-12.0;-2.0;AIR
23.0;5.0;18.0;52.0;4.0;3.0;-12.0;11.0;17.0;35.0;2.0;19.0;-7.0;-1.0;-12.0;-2.0;AIR
23.0;12.0;28.0;87.0;12.0;3.0;-12.0;11.0;18.0;42.0;3.0;16.0;-7.0;2.0;-12.0;-6.0;AIR
39.0;15.0;61.0;93.0;12.0;18.0;-9.0;17.0;23.0;85.0;9.0;19.0;-7.0;2.0;-10.0;-7.0;AIR
21.0;29.0;57.0;120.0;13.0;27.0;-4.0;12.0;22.0;77.0;8.0;15.0;-7.0;2.0;-10.0;-7.0;AIR
31.0;30.0;45.0;110.0;17.0;18.0;-4.0;18.0;26.0;73.0;8.0;18.0;-2.0;4.0;-9.0;-7.0;AIR
19.0;27.0;47.0;123.0;13.0;17.0;-4.0;16.0;29.0;81.0;10.0;19.0;-1.0;2.0;-9.0;-8.0;AIR
19.0;24.0;54.0;130.0;28.0;28.0;-5.0;16.0;22.0;72.0;5.0;25.0;-1.0;1.0;-9.0;-7.0;AIR
16.0;35.0;77.0;129.0;22.0;17.0;-5.0;12.0;44.0;88.0;9.0;23.0;-1.0;4.0;-9.0;-8.0;AIR
15.0;36.0;60.0;124.0;12.0;28.0;-5.0;14.0;23.0;61.0;9.0;12.0;-9.0;1.0;-9.0;-8.0;AIR
16.0;26.0;36.0;97.0;13.0;17.0;-3.0;12.0;22.0;55.0;9.0;16.0;-9.0;1.0;-12.0;-8.0;AIR
