OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIA
366.0;615.0;1104.0;2168.0;426.0;737.0;394.0;732.0;1356.0;2530.0;452.0;740.0;-9.0;3.0;-12.0;4.0;AMMONIA
781.0;1316.0;2319.0;4285.0;743.0;1136.0;668.0;1212.0;2181.0;3952.0;674.0;1056.0;-10.0;0.0;-14.0;4.0;AMMONIA
1084.0;1780.0;3032.0;5361.0;890.0;1314.0;783.0;1388.0;2472.0;4393.0;736.0;1145.0;-11.0;0.0;-12.0;4.0;AMMONIA
1156.0;1886.0;3167.0;5477.0;900.0;1347.0;845.0;1480.0;2609.0;4586.0;764.0;1178.0;-11.0;0.0;-28.0;25.0;AMMONIA
1225.0;1974.0;3280.0;5642.0;925.0;1382.0;893.0;1575.0;2737.0;4778.0;787.0;1209.0;-10.0;-2.0;-28.0;25.0;AMMONIA
1334.0;2165.0;3601.0;6195.0;1011.0;1519.0;1088.0;1875.0;3210.0;5510.0;900.0;1365.0;-11.0;0.0;-28.0;26.0;AMMONIA
1613.0;2579.0;4227.0;7152.0;1145.0;1679.0;1247.0;2124.0;3611.0;6170.0;994.0;1493.0;-11.0;0.0;-28.0;51.0;AMMONIA
1735.0;2750.0;4460.0;7466.0;1189.0;1736.0;1303.0;2207.0;3730.0;6316.0;1014.0;1513.0;-13.0;3.0;-30.0;51.0;AMMONIA
1764.0;2792.0;4508.0;7533.0;1194.0;1750.0;1345.0;2279.0;3844.0;6447.0;1031.0;1541.0;-18.0;3.0;-42.0;32.0;AMMONIA
