OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIA
79.0;146.0;268.0;474.0;89.0;192.0;58.0;92.0;121.0;259.0;49.0;99.0;-3.0;-30.0;60.0;-80.0;AMMONIA
79.0;146.0;268.0;474.0;89.0;192.0;135.0;286.0;596.0;1120.0;184.0;302.0;20.0;-30.0;73.0;-86.0;AMMONIA
176.0;323.0;550.0;880.0;139.0;240.0;146.0;297.0;591.0;1066.0;172.0;279.0;14.0;-31.0;43.0;-101.0;AMMONIA
112.0;198.0;317.0;514.0;89.0;191.0;139.0;279.0;555.0;1016.0;162.0;263.0;21.0;-33.0;41.0;-113.0;AMMONIA
112.0;196.0;315.0;521.0;94.0;213.0;166.0;337.0;654.0;1163.0;192.0;306.0;14.0;-33.0;67.0;-121.0;AMMONIA
193.0;351.0;603.0;997.0;168.0;339.0;252.0;502.0;970.0;1697.0;268.0;429.0;17.0;-40.0;73.0;-124.0;AMMONIA
268.0;474.0;775.0;1198.0;191.0;355.0;257.0;518.0;998.0;1740.0;278.0;450.0;13.0;-42.0;86.0;-141.0;AMMONIA
310.0;559.0;950.0;1512.0;246.0;469.0;349.0;697.0;1342.0;2400.0;382.0;607.0;26.0;-49.0;116.0;-182.0;AMMONIA
528.0;967.0;1659.0;2681.0;421.0;739.0;533.0;1057.0;2007.0;3502.0;562.0;874.0;25.0;-57.0;121.0;-217.0;AMMONIA
784.0;1413.0;2388.0;3810.0;574.0;955.0;688.0;1328.0;2517.0;4355.0;688.0;1057.0;22.0;-58.0;123.0;-229.0;AMMONIA
1008.0;1809.0;3077.0;4916.0;734.0;1180.0;858.0;1647.0;3057.0;5319.0;836.0;1284.0;28.0;-66.0;139.0;-257.0;AMMONIA
1264.0;2277.0;3859.0;6052.0;902.0;1418.0;1069.0;2028.0;3721.0;6392.0;997.0;1513.0;36.0;-70.0;154.0;-268.0;AMMONIA
1530.0;2718.0;4581.0;7193.0;1059.0;1650.0;1255.0;2378.0;4329.0;7369.0;1140.0;1729.0;40.0;-73.0;168.0;-273.0;AMMONIA
1811.0;3226.0;5378.0;8349.0;1216.0;1858.0;1452.0;2734.0;4913.0;8289.0;1268.0;1909.0;32.0;-76.0;160.0;-288.0;AMMONIA
1931.0;3396.0;5678.0;8797.0;1292.0;1995.0;1607.0;2993.0;5344.0;8969.0;1378.0;2049.0;32.0;-77.0;171.0;-304.0;AMMONIA
