OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIUM_CHLORIDE
13.0;27.0;52.0;99.0;18.0;35.0;11.0;23.0;46.0;88.0;18.0;33.0;12.0;-23.0;82.0;-100.0;AMMONIUM_CHLORIDE
15.0;33.0;63.0;118.0;21.0;43.0;12.0;23.0;49.0;101.0;20.0;38.0;10.0;-27.0;69.0;-100.0;AMMONIUM_CHLORIDE
17.0;35.0;66.0;127.0;23.0;47.0;13.0;25.0;60.0;119.0;23.0;43.0;10.0;-27.0;78.0;-100.0;AMMONIUM_CHLORIDE
21.0;41.0;79.0;147.0;26.0;53.0;15.0;31.0;66.0;130.0;26.0;49.0;10.0;-27.0;78.0;-108.0;AMMONIUM_CHLORIDE
24.0;47.0;92.0;172.0;30.0;60.0;17.0;34.0;72.0;148.0;30.0;57.0;18.0;-41.0;95.0;-127.0;AMMONIUM_CHLORIDE
28.0;57.0;111.0;209.0;37.0;73.0;20.0;41.0;88.0;182.0;37.0;71.0;18.0;-42.0;118.0;-157.0;AMMONIUM_CHLORIDE
33.0;67.0;129.0;243.0;43.0;87.0;26.0;52.0;112.0;226.0;44.0;85.0;22.0;-42.0;135.0;-168.0;AMMONIUM_CHLORIDE
41.0;81.0;154.0;291.0;52.0;102.0;31.0;62.0;133.0;269.0;52.0;100.0;27.0;-45.0;147.0;-187.0;AMMONIUM_CHLORIDE
50.0;99.0;185.0;346.0;62.0;123.0;37.0;78.0;161.0;325.0;64.0;119.0;43.0;-45.0;165.0;-196.0;AMMONIUM_CHLORIDE
