OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIUM_CHLORIDE
5.0;10.0;18.0;45.0;8.0;17.0;3.0;8.0;17.0;53.0;7.0;16.0;-4.0;-4.0;-13.0;3.0;AMMONIUM_CHLORIDE
5.0;11.0;23.0;55.0;12.0;24.0;1.0;3.0;21.0;72.0;20.0;35.0;-4.0;-4.0;-13.0;2.0;AMMONIUM_CHLORIDE
14.0;31.0;64.0;142.0;26.0;45.0;1.0;3.0;13.0;53.0;20.0;39.0;-6.0;-3.0;-12.0;4.0;AMMONIUM_CHLORIDE
10.0;23.0;44.0;102.0;20.0;39.0;3.0;3.0;13.0;54.0;20.0;38.0;-6.0;-3.0;-12.0;2.0;AMMONIUM_CHLORIDE
13.0;29.0;65.0;141.0;28.0;54.0;16.0;34.0;75.0;152.0;32.0;58.0;-6.0;-3.0;-13.0;1.0;AMMONIUM_CHLORIDE
20.0;44.0;94.0;209.0;41.0;77.0;20.0;40.0;87.0;196.0;44.0;81.0;-6.0;-5.0;-13.0;-2.0;AMMONIUM_CHLORIDE
34.0;75.0;165.0;363.0;70.0;124.0;34.0;74.0;161.0;340.0;67.0;123.0;-6.0;-5.0;-13.0;-2.0;AMMONIUM_CHLORIDE
41.0;90.0;194.0;415.0;80.0;140.0;39.0;88.0;191.0;397.0;77.0;136.0;-3.0;-5.0;-13.0;-3.0;AMMONIUM_CHLORIDE
45.0;99.0;209.0;446.0;85.0;148.0;26.0;62.0;151.0;353.0;75.0;136.0;-3.0;-5.0;-13.0;-4.0;AMMONIUM_CHLORIDE
