OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIUM_CHLORIDE
14.0;18.0;22.0;67.0;4.0;7.0;41.0;54.0;62.0;71.0;3.0;6.0;-1.0;-3.0;2.0;-7.0;AMMONIUM_CHLORIDE
23.0;32.0;57.0;108.0;13.0;20.0;25.0;33.0;58.0;59.0;6.0;11.0;-1.0;-3.0;-6.0;-7.0;AMMONIUM_CHLORIDE
21.0;28.0;39.0;67.0;13.0;20.0;34.0;44.0;68.0;99.0;12.0;16.0;-1.0;-3.0;-6.0;-5.0;AMMONIUM_CHLORIDE
21.0;28.0;53.0;89.0;14.0;24.0;26.0;34.0;58.0;92.0;13.0;19.0;-1.0;-3.0;-6.0;-1.0;AMMONIUM_CHLORIDE
21.0;34.0;79.0;130.0;21.0;31.0;26.0;35.0;60.0;110.0;14.0;22.0;-2.0;-3.0;-4.0;-1.0;AMMONIUM_CHLORIDE
16.0;26.0;50.0;111.0;18.0;28.0;36.0;49.0;71.0;116.0;12.0;17.0;-2.0;-4.0;1.0;-5.0;AMMONIUM_CHLORIDE
16.0;26.0;20.0;47.0;10.0;25.0;48.0;63.0;70.0;82.0;8.0;19.0;-1.0;-4.0;2.0;-1.0;AMMONIUM_CHLORIDE
52.0;92.0;156.0;271.0;49.0;73.0;55.0;94.0;153.0;252.0;45.0;72.0;-3.0;-1.0;0.0;2.0;AMMONIUM_CHLORIDE
87.0;151.0;253.0;423.0;70.0;107.0;94.0;154.0;254.0;399.0;69.0;97.0;-1.0;-1.0;2.0;-1.0;AMMONIUM_CHLORIDE
94.0;161.0;274.0;466.0;76.0;115.0;102.0;159.0;237.0;393.0;65.0;106.0;-3.0;-1.0;2.0;-2.0;AMMONIUM_CHLORIDE
123.0;213.0;362.0;613.0;108.0;168.0;142.0;242.0;393.0;675.0;106.0;166.0;-7.0;0.0;-5.0;-4.0;AMMONIUM_CHLORIDE
173.0;305.0;525.0;885.0;144.0;236.0;183.0;307.0;517.0;857.0;144.0;224.0;-7.0;2.0;2.0;-2.0;AMMONIUM_CHLORIDE
211.0;373.0;635.0;1044.0;175.0;282.0;245.0;405.0;645.0;1057.0;175.0;266.0;-6.0;2.0;2.0;-2.0;AMMONIUM_CHLORIDE
256.0;446.0;760.0;1275.0;213.0;349.0;274.0;468.0;799.0;1338.0;224.0;332.0;-6.0;2.0;4.0;-4.0;AMMONIUM_CHLORIDE
336.0;576.0;959.0;1606.0;274.0;453.0;410.0;685.0;1112.0;1792.0;285.0;434.0;-6.0;3.0;5.0;-4.0;AMMONIUM_CHLORIDE
416.0;714.0;1194.0;2024.0;343.0;571.0;463.0;794.0;1357.0;2245.0;363.0;557.0;-1.0;2.0;4.0;-3.0;AMMONIUM_CHLORIDE
525.0;903.0;1523.0;2524.0;424.0;709.0;576.0;972.0;1620.0;2731.0;445.0;679.0;-6.0;-1.0;1.0;-8.0;AMMONIUM_CHLORIDE
643.0;1101.0;1843.0;3044.0;512.0;844.0;750.0;1268.0;2098.0;3392.0;537.0;822.0;-4.0;-1.0;1.0;-8.0;AMMONIUM_CHLORIDE
784.0;1338.0;2238.0;3686.0;600.0;957.0;827.0;1386.0;2307.0;3765.0;592.0;895.0;-4.0;3.0;1.0;-3.0;AMMONIUM_CHLORIDE
833.0;1416.0;2351.0;3905.0;643.0;1042.0;857.0;1482.0;2507.0;4151.0;661.0;1001.0;-3.0;1.0;1.0;0.0;AMMONIUM_CHLORIDE
951.0;1608.0;2678.0;4425.0;725.0;1172.0;1004.0;1688.0;2806.0;4596.0;730.0;1095.0;-4.0;10.0;-3.0;0.0;AMMONIUM_CHLORIDE
1028.0;1738.0;2865.0;4668.0;753.0;1185.0;1027.0;1759.0;2945.0;4837.0;748.0;1105.0;-4.0;10.0;-3.0;0.0;AMMONIUM_CHLORIDE
1054.0;1765.0;2930.0;4771.0;765.0;1191.0;1041.0;1777.0;2949.0;4784.0;742.0;1108.0;-8.0;10.0;-5.0;-8.0;AMMONIUM_CHLORIDE
1001.0;1707.0;2816.0;4607.0;739.0;1144.0;1051.0;1752.0;2860.0;4621.0;709.0;1050.0;-8.0;10.0;-5.0;-8.0;AMMONIUM_CHLORIDE
985.0;1662.0;2755.0;4472.0;711.0;1108.0;979.0;1634.0;2703.0;4466.0;690.0;1031.0;-8.0;10.0;-6.0;-7.0;AMMONIUM_CHLORIDE
945.0;1594.0;2659.0;4326.0;690.0;1088.0;952.0;1581.0;2652.0;4321.0;677.0;1009.0;-4.0;10.0;-5.0;0.0;AMMONIUM_CHLORIDE
929.0;1570.0;2607.0;4259.0;684.0;1076.0;1014.0;1707.0;2795.0;4468.0;680.0;1012.0;-4.0;2.0;-6.0;-1.0;AMMONIUM_CHLORIDE
960.0;1616.0;2693.0;4358.0;701.0;1121.0;987.0;1686.0;2820.0;4567.0;712.0;1055.0;-4.0;2.0;-6.0;-1.0;AMMONIUM_CHLORIDE
985.0;1662.0;2762.0;4524.0;727.0;1157.0;1033.0;1720.0;2886.0;4696.0;729.0;1091.0;-4.0;2.0;-7.0;0.0;AMMONIUM_CHLORIDE
1042.0;1748.0;2892.0;4685.0;753.0;1180.0;1066.0;1806.0;2988.0;4840.0;747.0;1098.0;-7.0;2.0;-6.0;-1.0;AMMONIUM_CHLORIDE
1071.0;1798.0;2963.0;4805.0;752.0;1170.0;1087.0;1807.0;2952.0;4780.0;731.0;1084.0;-7.0;2.0;-6.0;-1.0;AMMONIUM_CHLORIDE
1029.0;1744.0;2860.0;4634.0;734.0;1139.0;1121.0;1865.0;3023.0;4792.0;719.0;1060.0;-7.0;2.0;-6.0;-1.0;AMMONIUM_CHLORIDE
996.0;1673.0;2740.0;4458.0;708.0;1104.0;1074.0;1757.0;2851.0;4575.0;703.0;1044.0;-3.0;2.0;-2.0;3.0;AMMONIUM_CHLORIDE
995.0;1662.0;2750.0;4489.0;718.0;1129.0;1024.0;1718.0;2842.0;4644.0;724.0;1079.0;-3.0;3.0;-2.0;1.0;AMMONIUM_CHLORIDE
1041.0;1750.0;2876.0;4654.0;745.0;1175.0;1077.0;1813.0;3008.0;4886.0;751.0;1102.0;-3.0;3.0;-2.0;1.0;AMMONIUM_CHLORIDE
1031.0;1744.0;2863.0;4664.0;746.0;1175.0;1090.0;1830.0;3025.0;4874.0;749.0;1105.0;-1.0;1.0;-3.0;-3.0;AMMONIUM_CHLORIDE
1055.0;1773.0;2909.0;4713.0;743.0;1157.0;1088.0;1809.0;2994.0;4798.0;736.0;1089.0;-3.0;3.0;-3.0;-3.0;AMMONIUM_CHLORIDE
1053.0;1758.0;2886.0;4695.0;733.0;1132.0;1111.0;1852.0;3013.0;4774.0;721.0;1059.0;-3.0;1.0;-3.0;-5.0;AMMONIUM_CHLORIDE
1040.0;1738.0;2841.0;4618.0;725.0;1104.0;1071.0;1810.0;2927.0;4653.0;705.0;1022.0;-3.0;1.0;-1.0;-7.0;AMMONIUM_CHLORIDE
992.0;1660.0;2716.0;4388.0;685.0;1046.0;1016.0;1674.0;2703.0;4340.0;667.0;972.0;-3.0;1.0;-1.0;-7.0;AMMONIUM_CHLORIDE
927.0;1548.0;2535.0;4109.0;642.0;993.0;1013.0;1653.0;2657.0;4160.0;631.0;925.0;-4.0;1.0;-1.0;-7.0;AMMONIUM_CHLORIDE
860.0;1444.0;2374.0;3812.0;602.0;920.0;872.0;1460.0;2418.0;3868.0;589.0;862.0;-4.0;1.0;1.0;-10.0;AMMONIUM_CHLORIDE
830.0;1389.0;2281.0;3657.0;568.0;867.0;854.0;1399.0;2271.0;3691.0;557.0;821.0;-5.0;2.0;-3.0;-7.0;AMMONIUM_CHLORIDE
805.0;1336.0;2177.0;3517.0;546.0;830.0;858.0;1391.0;2226.0;3484.0;533.0;767.0;-5.0;3.0;-3.0;-7.0;AMMONIUM_CHLORIDE
736.0;1229.0;2012.0;3214.0;504.0;764.0;788.0;1281.0;2036.0;3219.0;491.0;715.0;-5.0;2.0;-3.0;-7.0;AMMONIUM_CHLORIDE
740.0;1230.0;2007.0;3235.0;496.0;747.0;800.0;1305.0;2042.0;3155.0;476.0;692.0;-5.0;1.0;2.0;-7.0;AMMONIUM_CHLORIDE
685.0;1140.0;1843.0;2971.0;464.0;700.0;711.0;1157.0;1850.0;2882.0;450.0;649.0;-5.0;1.0;-2.0;-7.0;AMMONIUM_CHLORIDE
673.0;1114.0;1822.0;2893.0;446.0;668.0;669.0;1117.0;1819.0;2877.0;427.0;621.0;-9.0;3.0;-2.0;-7.0;AMMONIUM_CHLORIDE
660.0;1083.0;1779.0;2826.0;432.0;646.0;652.0;1061.0;1692.0;2705.0;420.0;601.0;-13.0;5.0;-4.0;-5.0;AMMONIUM_CHLORIDE
621.0;1029.0;1688.0;2688.0;411.0;616.0;624.0;1034.0;1682.0;2620.0;395.0;569.0;-13.0;6.0;-2.0;-4.0;AMMONIUM_CHLORIDE
621.0;1034.0;1666.0;2645.0;400.0;594.0;657.0;1083.0;1719.0;2632.0;387.0;558.0;-13.0;5.0;-2.0;-4.0;AMMONIUM_CHLORIDE
607.0;1002.0;1635.0;2618.0;399.0;580.0;643.0;1051.0;1640.0;2530.0;381.0;542.0;-8.0;1.0;-4.0;-4.0;AMMONIUM_CHLORIDE
562.0;940.0;1537.0;2464.0;380.0;562.0;607.0;995.0;1559.0;2400.0;363.0;521.0;-3.0;1.0;-3.0;-4.0;AMMONIUM_CHLORIDE
561.0;933.0;1519.0;2414.0;370.0;543.0;534.0;894.0;1449.0;2339.0;350.0;495.0;-3.0;1.0;-2.0;-3.0;AMMONIUM_CHLORIDE
530.0;866.0;1406.0;2236.0;343.0;505.0;510.0;853.0;1387.0;2177.0;325.0;472.0;-3.0;1.0;-2.0;-3.0;AMMONIUM_CHLORIDE
526.0;868.0;1412.0;2234.0;335.0;488.0;504.0;826.0;1332.0;2116.0;316.0;453.0;-7.0;0.0;-3.0;-3.0;AMMONIUM_CHLORIDE
479.0;786.0;1283.0;2047.0;309.0;452.0;490.0;795.0;1228.0;1930.0;295.0;416.0;-1.0;1.0;-2.0;-2.0;AMMONIUM_CHLORIDE
443.0;722.0;1167.0;1869.0;281.0;411.0;438.0;723.0;1153.0;1825.0;272.0;386.0;-1.0;-1.0;7.0;-1.0;AMMONIUM_CHLORIDE
474.0;783.0;1245.0;1951.0;292.0;425.0;441.0;721.0;1164.0;1845.0;277.0;389.0;-1.0;-2.0;7.0;0.0;AMMONIUM_CHLORIDE
424.0;711.0;1141.0;1789.0;270.0;387.0;413.0;680.0;1101.0;1685.0;258.0;364.0;-1.0;-2.0;7.0;0.0;AMMONIUM_CHLORIDE
401.0;647.0;1043.0;1647.0;246.0;360.0;413.0;670.0;1048.0;1611.0;241.0;332.0;-1.0;-2.0;-1.0;1.0;AMMONIUM_CHLORIDE
383.0;619.0;1020.0;1576.0;234.0;339.0;411.0;655.0;986.0;1510.0;222.0;318.0;2.0;-3.0;-1.0;4.0;AMMONIUM_CHLORIDE
381.0;625.0;998.0;1545.0;230.0;329.0;348.0;580.0;926.0;1432.0;216.0;307.0;-2.0;-2.0;-1.0;5.0;AMMONIUM_CHLORIDE
378.0;609.0;986.0;1547.0;229.0;324.0;353.0;571.0;902.0;1395.0;216.0;301.0;-2.0;2.0;-1.0;0.0;AMMONIUM_CHLORIDE
345.0;567.0;904.0;1441.0;214.0;308.0;357.0;576.0;927.0;1438.0;205.0;284.0;-4.0;0.0;-1.0;3.0;AMMONIUM_CHLORIDE
325.0;537.0;869.0;1368.0;201.0;287.0;303.0;509.0;810.0;1275.0;192.0;268.0;-4.0;0.0;-1.0;0.0;AMMONIUM_CHLORIDE
338.0;544.0;874.0;1388.0;206.0;284.0;316.0;529.0;834.0;1280.0;182.0;261.0;-4.0;2.0;-7.0;0.0;AMMONIUM_CHLORIDE
321.0;528.0;862.0;1349.0;194.0;273.0;293.0;487.0;779.0;1231.0;178.0;250.0;-6.0;2.0;-7.0;3.0;AMMONIUM_CHLORIDE
310.0;510.0;817.0;1266.0;186.0;252.0;300.0;495.0;785.0;1191.0;171.0;240.0;-4.0;0.0;-5.0;3.0;AMMONIUM_CHLORIDE
316.0;518.0;825.0;1293.0;186.0;257.0;283.0;457.0;729.0;1148.0;170.0;239.0;-6.0;0.0;-5.0;1.0;AMMONIUM_CHLORIDE
296.0;482.0;771.0;1219.0;179.0;241.0;319.0;512.0;775.0;1139.0;163.0;227.0;-4.0;2.0;3.0;3.0;AMMONIUM_CHLORIDE
307.0;490.0;783.0;1231.0;177.0;238.0;298.0;479.0;750.0;1120.0;160.0;221.0;-6.0;5.0;3.0;1.0;AMMONIUM_CHLORIDE
274.0;445.0;726.0;1116.0;163.0;216.0;269.0;430.0;661.0;1020.0;148.0;205.0;0.0;5.0;3.0;1.0;AMMONIUM_CHLORIDE
273.0;448.0;709.0;1092.0;155.0;205.0;241.0;397.0;613.0;965.0;137.0;186.0;-6.0;3.0;0.0;1.0;AMMONIUM_CHLORIDE
258.0;412.0;651.0;998.0;141.0;187.0;235.0;378.0;581.0;879.0;126.0;173.0;0.0;3.0;0.0;0.0;AMMONIUM_CHLORIDE
294.0;468.0;743.0;1112.0;157.0;207.0;241.0;394.0;604.0;916.0;135.0;188.0;-7.0;2.0;0.0;0.0;AMMONIUM_CHLORIDE
283.0;452.0;720.0;1129.0;157.0;206.0;243.0;387.0;618.0;927.0;142.0;191.0;-9.0;2.0;0.0;-5.0;AMMONIUM_CHLORIDE
271.0;442.0;691.0;1068.0;151.0;198.0;260.0;416.0;651.0;978.0;137.0;185.0;-9.0;2.0;0.0;0.0;AMMONIUM_CHLORIDE
248.0;393.0;634.0;999.0;142.0;190.0;264.0;416.0;629.0;938.0;130.0;174.0;-9.0;4.0;0.0;-2.0;AMMONIUM_CHLORIDE
285.0;459.0;735.0;1099.0;157.0;202.0;251.0;390.0;599.0;887.0;132.0;180.0;-9.0;-2.0;-3.0;-2.0;AMMONIUM_CHLORIDE
232.0;377.0;588.0;914.0;127.0;166.0;267.0;413.0;603.0;863.0;115.0;158.0;-5.0;4.0;-3.0;-3.0;AMMONIUM_CHLORIDE
253.0;400.0;627.0;967.0;136.0;167.0;242.0;394.0;595.0;845.0;119.0;152.0;-2.0;2.0;-4.0;-3.0;AMMONIUM_CHLORIDE
284.0;454.0;689.0;1085.0;143.0;173.0;237.0;371.0;570.0;852.0;123.0;160.0;-2.0;-1.0;-6.0;-3.0;AMMONIUM_CHLORIDE
293.0;472.0;733.0;1097.0;151.0;196.0;245.0;394.0;598.0;896.0;129.0;172.0;-2.0;2.0;-7.0;-3.0;AMMONIUM_CHLORIDE
282.0;450.0;721.0;1080.0;149.0;183.0;273.0;432.0;633.0;878.0;128.0;170.0;-2.0;3.0;-6.0;-3.0;AMMONIUM_CHLORIDE
280.0;447.0;704.0;1049.0;146.0;181.0;247.0;392.0;615.0;882.0;123.0;165.0;-2.0;3.0;-6.0;-2.0;AMMONIUM_CHLORIDE
267.0;422.0;660.0;992.0;136.0;168.0;203.0;322.0;487.0;742.0;110.0;148.0;-2.0;5.0;-4.0;10.0;AMMONIUM_CHLORIDE
269.0;428.0;667.0;984.0;134.0;164.0;240.0;378.0;546.0;764.0;112.0;151.0;-2.0;5.0;-1.0;10.0;AMMONIUM_CHLORIDE
259.0;400.0;627.0;942.0;126.0;154.0;261.0;398.0;573.0;779.0;108.0;147.0;-4.0;6.0;0.0;1.0;AMMONIUM_CHLORIDE
265.0;420.0;651.0;996.0;134.0;161.0;205.0;321.0;483.0;732.0;109.0;145.0;-4.0;2.0;0.0;1.0;AMMONIUM_CHLORIDE
249.0;391.0;607.0;913.0;119.0;142.0;196.0;305.0;448.0;672.0;102.0;135.0;-4.0;5.0;-1.0;3.0;AMMONIUM_CHLORIDE
250.0;397.0;602.0;877.0;117.0;140.0;226.0;350.0;482.0;674.0;96.0;132.0;-4.0;0.0;-4.0;3.0;AMMONIUM_CHLORIDE
244.0;372.0;577.0;851.0;112.0;130.0;220.0;348.0;511.0;720.0;97.0;120.0;-4.0;0.0;-4.0;3.0;AMMONIUM_CHLORIDE
244.0;375.0;573.0;826.0;108.0;125.0;199.0;300.0;418.0;587.0;83.0;111.0;-5.0;1.0;-4.0;5.0;AMMONIUM_CHLORIDE
227.0;353.0;537.0;779.0;102.0;114.0;204.0;320.0;455.0;647.0;84.0;102.0;-2.0;1.0;-5.0;0.0;AMMONIUM_CHLORIDE
215.0;333.0;515.0;740.0;94.0;102.0;165.0;263.0;382.0;574.0;79.0;99.0;-3.0;1.0;-5.0;5.0;AMMONIUM_CHLORIDE
226.0;351.0;537.0;796.0;101.0;109.0;207.0;321.0;437.0;588.0;79.0;96.0;-5.0;1.0;-5.0;2.0;AMMONIUM_CHLORIDE
196.0;310.0;468.0;675.0;86.0;92.0;170.0;259.0;379.0;520.0;72.0;88.0;-5.0;2.0;-4.0;0.0;AMMONIUM_CHLORIDE
209.0;322.0;497.0;722.0;88.0;88.0;151.0;234.0;330.0;462.0;65.0;76.0;-6.0;1.0;-4.0;2.0;AMMONIUM_CHLORIDE
185.0;283.0;439.0;626.0;75.0;72.0;194.0;292.0;399.0;489.0;61.0;67.0;-6.0;2.0;2.0;2.0;AMMONIUM_CHLORIDE
200.0;301.0;446.0;642.0;79.0;75.0;174.0;263.0;365.0;511.0;61.0;73.0;-6.0;1.0;2.0;1.0;AMMONIUM_CHLORIDE
181.0;278.0;413.0;589.0;70.0;64.0;131.0;198.0;282.0;387.0;54.0;59.0;-6.0;2.0;2.0;-2.0;AMMONIUM_CHLORIDE
174.0;267.0;392.0;555.0;69.0;58.0;136.0;204.0;276.0;374.0;50.0;51.0;-6.0;1.0;-8.0;0.0;AMMONIUM_CHLORIDE
190.0;290.0;419.0;568.0;66.0;64.0;129.0;205.0;285.0;396.0;52.0;56.0;-1.0;0.0;-8.0;0.0;AMMONIUM_CHLORIDE
175.0;263.0;393.0;541.0;65.0;56.0;138.0;198.0;272.0;356.0;50.0;49.0;1.0;1.0;7.0;0.0;AMMONIUM_CHLORIDE
