OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;AMMONIUM_CHLORIDE
29.0;40.0;51.0;91.0;7.0;10.0;27.0;43.0;83.0;90.0;11.0;10.0;10.0;-1.0;2.0;-9.0;AMMONIUM_CHLORIDE
34.0;53.0;59.0;89.0;9.0;12.0;68.0;109.0;152.0;180.0;14.0;11.0;10.0;-2.0;0.0;-10.0;AMMONIUM_CHLORIDE
44.0;61.0;76.0;124.0;15.0;13.0;77.0;117.0;177.0;197.0;17.0;13.0;9.0;-5.0;0.0;-5.0;AMMONIUM_CHLORIDE
49.0;75.0;96.0;149.0;15.0;19.0;77.0;117.0;163.0;180.0;15.0;16.0;6.0;-2.0;0.0;-4.0;AMMONIUM_CHLORIDE
89.0;134.0;190.0;265.0;33.0;43.0;80.0;122.0;163.0;178.0;24.0;33.0;9.0;-2.0;2.0;-4.0;AMMONIUM_CHLORIDE
68.0;106.0;157.0;265.0;32.0;47.0;95.0;158.0;230.0;289.0;33.0;38.0;10.0;-3.0;2.0;-8.0;AMMONIUM_CHLORIDE
69.0;104.0;155.0;254.0;36.0;44.0;49.0;90.0;161.0;231.0;34.0;47.0;5.0;-3.0;0.0;-8.0;AMMONIUM_CHLORIDE
51.0;84.0;113.0;182.0;25.0;45.0;60.0;92.0;149.0;213.0;23.0;27.0;10.0;-3.0;0.0;-8.0;AMMONIUM_CHLORIDE
66.0;108.0;145.0;263.0;34.0;45.0;60.0;65.0;131.0;219.0;32.0;39.0;5.0;-5.0;-4.0;-8.0;AMMONIUM_CHLORIDE
58.0;91.0;130.0;241.0;28.0;46.0;77.0;116.0;161.0;201.0;27.0;39.0;7.0;-5.0;-4.0;-8.0;AMMONIUM_CHLORIDE
40.0;64.0;118.0;209.0;28.0;46.0;70.0;101.0;126.0;173.0;21.0;40.0;5.0;-5.0;-4.0;-8.0;AMMONIUM_CHLORIDE
36.0;58.0;93.0;182.0;25.0;38.0;69.0;86.0;157.0;223.0;29.0;36.0;3.0;-4.0;-4.0;-8.0;AMMONIUM_CHLORIDE
30.0;53.0;86.0;156.0;25.0;36.0;65.0;101.0;134.0;127.0;22.0;29.0;3.0;0.0;-4.0;-3.0;AMMONIUM_CHLORIDE
