OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;APPLE_VINEGAR
50.0;97.0;214.0;541.0;119.0;219.0;28.0;61.0;123.0;474.0;94.0;163.0;27.0;-5.0;7.0;-10.0;APPLE_VINEGAR
90.0;180.0;394.0;889.0;188.0;335.0;121.0;247.0;491.0;977.0;180.0;301.0;30.0;-10.0;17.0;-17.0;APPLE_VINEGAR
155.0;302.0;652.0;1407.0;279.0;473.0;163.0;329.0;649.0;1273.0;230.0;392.0;35.0;-10.0;16.0;-17.0;APPLE_VINEGAR
176.0;336.0;679.0;1410.0;277.0;483.0;149.0;298.0;597.0;1177.0;215.0;375.0;17.0;-17.0;14.0;-17.0;APPLE_VINEGAR
222.0;444.0;951.0;2038.0;394.0;671.0;207.0;425.0;876.0;1774.0;323.0;537.0;19.0;-19.0;7.0;-7.0;APPLE_VINEGAR
208.0;394.0;801.0;1726.0;350.0;624.0;225.0;446.0;866.0;1670.0;306.0;508.0;23.0;-13.0;7.0;-7.0;APPLE_VINEGAR
254.0;488.0;982.0;1971.0;375.0;647.0;231.0;461.0;885.0;1656.0;294.0;497.0;18.0;-19.0;3.0;-7.0;APPLE_VINEGAR
241.0;460.0;904.0;1828.0;358.0;656.0;217.0;455.0;939.0;1879.0;344.0;576.0;28.0;-23.0;9.0;-16.0;APPLE_VINEGAR
373.0;737.0;1526.0;3076.0;563.0;931.0;313.0;644.0;1294.0;2547.0;457.0;744.0;19.0;-19.0;9.0;-16.0;APPLE_VINEGAR
353.0;663.0;1343.0;2734.0;510.0;859.0;285.0;570.0;1130.0;2195.0;392.0;646.0;31.0;-13.0;12.0;-16.0;APPLE_VINEGAR
308.0;569.0;1129.0;2294.0;437.0;772.0;261.0;522.0;1013.0;1929.0;343.0;579.0;31.0;-13.0;13.0;-15.0;APPLE_VINEGAR
201.0;369.0;719.0;1443.0;289.0;566.0;230.0;448.0;839.0;1532.0;271.0;459.0;19.0;-13.0;7.0;-15.0;APPLE_VINEGAR
162.0;297.0;568.0;1175.0;252.0;516.0;191.0;391.0;770.0;1444.0;257.0;430.0;17.0;-11.0;6.0;-7.0;APPLE_VINEGAR
209.0;390.0;770.0;1552.0;304.0;576.0;221.0;436.0;845.0;1646.0;300.0;510.0;32.0;-13.0;12.0;-7.0;APPLE_VINEGAR
295.0;564.0;1137.0;2269.0;422.0;727.0;294.0;567.0;1055.0;1918.0;334.0;555.0;34.0;-17.0;7.0;-7.0;APPLE_VINEGAR
236.0;448.0;881.0;1773.0;348.0;640.0;225.0;473.0;956.0;1887.0;344.0;575.0;16.0;-18.0;7.0;-3.0;APPLE_VINEGAR
258.0;493.0;996.0;2074.0;401.0;720.0;256.0;521.0;1026.0;1978.0;347.0;576.0;15.0;-18.0;7.0;-2.0;APPLE_VINEGAR
218.0;413.0;844.0;1863.0;384.0;712.0;257.0;515.0;1017.0;1973.0;353.0;582.0;33.0;-20.0;7.0;-2.0;APPLE_VINEGAR
230.0;426.0;850.0;1807.0;360.0;664.0;229.0;463.0;915.0;1743.0;311.0;513.0;27.0;-20.0;10.0;-3.0;APPLE_VINEGAR
200.0;372.0;741.0;1592.0;328.0;633.0;225.0;473.0;950.0;1888.0;341.0;572.0;21.0;-20.0;11.0;-9.0;APPLE_VINEGAR
307.0;601.0;1273.0;2709.0;523.0;909.0;371.0;743.0;1454.0;2801.0;488.0;803.0;20.0;-10.0;6.0;-9.0;APPLE_VINEGAR
432.0;843.0;1745.0;3573.0;664.0;1097.0;427.0;848.0;1620.0;3086.0;539.0;861.0;22.0;-12.0;6.0;-20.0;APPLE_VINEGAR
333.0;615.0;1213.0;2533.0;504.0;903.0;372.0;725.0;1386.0;2574.0;450.0;739.0;18.0;-10.0;5.0;-9.0;APPLE_VINEGAR
266.0;487.0;957.0;2013.0;413.0;780.0;345.0;674.0;1271.0;2349.0;399.0;662.0;24.0;-10.0;3.0;-9.0;APPLE_VINEGAR
306.0;580.0;1165.0;2410.0;460.0;818.0;355.0;691.0;1308.0;2410.0;417.0;689.0;13.0;-12.0;0.0;-19.0;APPLE_VINEGAR
284.0;528.0;1043.0;2109.0;406.0;748.0;269.0;553.0;1096.0;2107.0;377.0;628.0;13.0;-12.0;0.0;-20.0;APPLE_VINEGAR
282.0;532.0;1052.0;2165.0;419.0;756.0;299.0;591.0;1136.0;2155.0;384.0;637.0;20.0;-12.0;0.0;-36.0;APPLE_VINEGAR
329.0;640.0;1311.0;2737.0;524.0;916.0;381.0;749.0;1439.0;2730.0;483.0;793.0;26.0;-15.0;0.0;-36.0;APPLE_VINEGAR
396.0;758.0;1549.0;3231.0;606.0;1038.0;460.0;903.0;1707.0;3172.0;551.0;897.0;24.0;-12.0;5.0;-36.0;APPLE_VINEGAR
441.0;840.0;1714.0;3585.0;675.0;1145.0;461.0;920.0;1795.0;3432.0;598.0;967.0;28.0;-22.0;5.0;-36.0;APPLE_VINEGAR
486.0;929.0;1880.0;3880.0;724.0;1200.0;542.0;1060.0;1995.0;3714.0;635.0;1011.0;21.0;-22.0;5.0;-36.0;APPLE_VINEGAR
528.0;1014.0;2085.0;4285.0;796.0;1306.0;527.0;1063.0;2078.0;3994.0;695.0;1108.0;36.0;-22.0;7.0;-36.0;APPLE_VINEGAR
550.0;1043.0;2100.0;4290.0;787.0;1296.0;592.0;1150.0;2176.0;4027.0;681.0;1086.0;42.0;-22.0;1.0;-39.0;APPLE_VINEGAR
532.0;1008.0;2032.0;4174.0;777.0;1307.0;560.0;1106.0;2112.0;3968.0;691.0;1099.0;22.0;-22.0;1.0;-45.0;APPLE_VINEGAR
513.0;972.0;1960.0;4078.0;771.0;1312.0;644.0;1239.0;2316.0;4224.0;715.0;1136.0;21.0;-27.0;1.0;-45.0;APPLE_VINEGAR
574.0;1093.0;2228.0;4632.0;872.0;1444.0;614.0;1226.0;2398.0;4505.0;777.0;1229.0;14.0;-27.0;1.0;-45.0;APPLE_VINEGAR
587.0;1106.0;2197.0;4456.0;826.0;1361.0;565.0;1130.0;2216.0;4189.0;728.0;1159.0;35.0;-22.0;1.0;-43.0;APPLE_VINEGAR
623.0;1199.0;2428.0;4890.0;886.0;1428.0;686.0;1320.0;2443.0;4407.0;745.0;1178.0;18.0;-22.0;1.0;-41.0;APPLE_VINEGAR
594.0;1116.0;2216.0;4557.0;853.0;1426.0;601.0;1196.0;2329.0;4426.0;767.0;1226.0;25.0;-19.0;3.0;-41.0;APPLE_VINEGAR
595.0;1123.0;2259.0;4611.0;873.0;1463.0;702.0;1359.0;2582.0;4739.0;803.0;1270.0;18.0;-19.0;1.0;-43.0;APPLE_VINEGAR
616.0;1160.0;2310.0;4711.0;876.0;1451.0;616.0;1229.0;2384.0;4519.0;787.0;1259.0;23.0;-22.0;1.0;-57.0;APPLE_VINEGAR
584.0;1098.0;2207.0;4582.0;864.0;1440.0;682.0;1320.0;2504.0;4648.0;786.0;1257.0;15.0;-21.0;1.0;-62.0;APPLE_VINEGAR
646.0;1226.0;2454.0;5051.0;943.0;1542.0;709.0;1379.0;2635.0;4913.0;846.0;1336.0;28.0;-21.0;1.0;-62.0;APPLE_VINEGAR
690.0;1303.0;2622.0;5428.0;1007.0;1640.0;810.0;1544.0;2890.0;5308.0;905.0;1424.0;19.0;-21.0;-1.0;-62.0;APPLE_VINEGAR
772.0;1461.0;2952.0;6031.0;1097.0;1771.0;811.0;1594.0;3039.0;5672.0;974.0;1531.0;19.0;-19.0;-4.0;-61.0;APPLE_VINEGAR
