OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;APPLE_VINEGAR
5.0;8.0;16.0;33.0;3.0;6.0;6.0;12.0;16.0;24.0;5.0;8.0;87.0;-123.0;441.0;-516.0;APPLE_VINEGAR
10.0;14.0;25.0;44.0;6.0;12.0;11.0;20.0;31.0;50.0;8.0;10.0;127.0;-125.0;482.0;-567.0;APPLE_VINEGAR
15.0;23.0;37.0;68.0;9.0;16.0;17.0;24.0;38.0;59.0;9.0;14.0;95.0;-127.0;380.0;-571.0;APPLE_VINEGAR
19.0;30.0;48.0;82.0;12.0;19.0;20.0;35.0;55.0;73.0;12.0;19.0;82.0;-145.0;421.0;-625.0;APPLE_VINEGAR
22.0;37.0;59.0;98.0;15.0;22.0;24.0;36.0;57.0;87.0;15.0;21.0;139.0;-127.0;612.0;-567.0;APPLE_VINEGAR
31.0;46.0;71.0;120.0;16.0;26.0;29.0;44.0;70.0;105.0;17.0;25.0;136.0;-125.0;551.0;-567.0;APPLE_VINEGAR
33.0;49.0;80.0;130.0;18.0;29.0;31.0;50.0;77.0;118.0;19.0;27.0;124.0;-153.0;523.0;-660.0;APPLE_VINEGAR
35.0;54.0;82.0;136.0;19.0;31.0;33.0;53.0;79.0;124.0;20.0;29.0;124.0;-153.0;523.0;-660.0;APPLE_VINEGAR
35.0;52.0;89.0;143.0;20.0;32.0;34.0;56.0;88.0;134.0;22.0;31.0;124.0;-153.0;523.0;-660.0;APPLE_VINEGAR
38.0;57.0;100.0;159.0;23.0;35.0;43.0;63.0;98.0;151.0;24.0;34.0;193.0;-217.0;819.0;-891.0;APPLE_VINEGAR
42.0;65.0;106.0;169.0;26.0;38.0;40.0;62.0;99.0;155.0;24.0;36.0;171.0;-220.0;785.0;-895.0;APPLE_VINEGAR
48.0;75.0;115.0;190.0;27.0;42.0;46.0;74.0;114.0;178.0;29.0;40.0;250.0;-225.0;1122.0;-929.0;APPLE_VINEGAR
51.0;82.0;129.0;212.0;31.0;45.0;52.0;81.0;124.0;193.0;31.0;45.0;207.0;-230.0;760.0;-998.0;APPLE_VINEGAR
56.0;87.0;138.0;227.0;33.0;49.0;57.0;84.0;132.0;206.0;32.0;46.0;208.0;-263.0;928.0;-1137.0;APPLE_VINEGAR
60.0;94.0;149.0;238.0;36.0;53.0;58.0;91.0;144.0;224.0;35.0;53.0;278.0;-288.0;1255.0;-1224.0;APPLE_VINEGAR
68.0;102.0;164.0;261.0;39.0;58.0;64.0;104.0;165.0;251.0;40.0;56.0;393.0;-359.0;1709.0;-1470.0;APPLE_VINEGAR
74.0;112.0;176.0;278.0;41.0;63.0;69.0;108.0;172.0;271.0;43.0;61.0;424.0;-359.0;1871.0;-1470.0;APPLE_VINEGAR
77.0;121.0;194.0;306.0;45.0;68.0;76.0;117.0;185.0;288.0;46.0;66.0;412.0;-359.0;1847.0;-1470.0;APPLE_VINEGAR
83.0;132.0;206.0;325.0;48.0;72.0;82.0;129.0;202.0;312.0;48.0;70.0;301.0;-360.0;1384.0;-1463.0;APPLE_VINEGAR
89.0;135.0;215.0;343.0;51.0;75.0;86.0;135.0;212.0;330.0;52.0;72.0;367.0;-360.0;1619.0;-1463.0;APPLE_VINEGAR
92.0;144.0;227.0;356.0;53.0;79.0;89.0;140.0;218.0;335.0;52.0;77.0;381.0;-347.0;1688.0;-1427.0;APPLE_VINEGAR
100.0;154.0;237.0;373.0;55.0;83.0;89.0;144.0;225.0;354.0;53.0;79.0;404.0;-350.0;1750.0;-1427.0;APPLE_VINEGAR
104.0;159.0;251.0;395.0;58.0;86.0;95.0;150.0;238.0;373.0;58.0;84.0;306.0;-352.0;1257.0;-1427.0;APPLE_VINEGAR
103.0;159.0;250.0;397.0;60.0;88.0;99.0;153.0;241.0;377.0;59.0;84.0;378.0;-350.0;1646.0;-1427.0;APPLE_VINEGAR
110.0;169.0;263.0;412.0;61.0;90.0;105.0;163.0;253.0;389.0;60.0;88.0;371.0;-346.0;1591.0;-1412.0;APPLE_VINEGAR
111.0;175.0;271.0;424.0;63.0;93.0;105.0;165.0;255.0;400.0;62.0;90.0;381.0;-346.0;1641.0;-1412.0;APPLE_VINEGAR
114.0;179.0;280.0;436.0;64.0;95.0;109.0;172.0;268.0;415.0;63.0;92.0;338.0;-316.0;1338.0;-1272.0;APPLE_VINEGAR
117.0;179.0;280.0;445.0;67.0;97.0;107.0;170.0;267.0;418.0;64.0;93.0;231.0;-264.0;1026.0;-1067.0;APPLE_VINEGAR
115.0;183.0;284.0;447.0;66.0;98.0;111.0;171.0;270.0;425.0;65.0;95.0;241.0;-257.0;1015.0;-1063.0;APPLE_VINEGAR
121.0;190.0;292.0;462.0;68.0;100.0;109.0;172.0;271.0;427.0;65.0;96.0;196.0;-257.0;805.0;-1063.0;APPLE_VINEGAR
123.0;189.0;297.0;465.0;68.0;100.0;114.0;180.0;285.0;445.0;67.0;97.0;224.0;-257.0;922.0;-1063.0;APPLE_VINEGAR
121.0;190.0;297.0;470.0;69.0;101.0;115.0;185.0;289.0;447.0;70.0;101.0;246.0;-265.0;1044.0;-1082.0;APPLE_VINEGAR
126.0;197.0;305.0;476.0;71.0;105.0;117.0;185.0;292.0;453.0;70.0;102.0;255.0;-265.0;1094.0;-1104.0;APPLE_VINEGAR
124.0;196.0;309.0;489.0;72.0;108.0;117.0;187.0;292.0;458.0;72.0;103.0;247.0;-265.0;1097.0;-1104.0;APPLE_VINEGAR
127.0;197.0;314.0;496.0;73.0;108.0;119.0;193.0;301.0;468.0;72.0;105.0;264.0;-265.0;1079.0;-1104.0;APPLE_VINEGAR
129.0;200.0;320.0;504.0;74.0;109.0;120.0;189.0;298.0;470.0;72.0;106.0;207.0;-225.0;858.0;-951.0;APPLE_VINEGAR
129.0;201.0;317.0;504.0;75.0;110.0;126.0;198.0;311.0;485.0;72.0;108.0;171.0;-200.0;699.0;-824.0;APPLE_VINEGAR
129.0;201.0;320.0;505.0;75.0;110.0;120.0;193.0;301.0;470.0;73.0;106.0;109.0;-149.0;465.0;-631.0;APPLE_VINEGAR
131.0;204.0;321.0;502.0;75.0;110.0;117.0;189.0;299.0;468.0;72.0;107.0;106.0;-128.0;262.0;-558.0;APPLE_VINEGAR
127.0;199.0;313.0;498.0;74.0;110.0;122.0;192.0;304.0;474.0;73.0;105.0;73.0;-125.0;314.0;-558.0;APPLE_VINEGAR
127.0;196.0;314.0;491.0;73.0;110.0;122.0;191.0;300.0;476.0;72.0;106.0;106.0;-125.0;410.0;-558.0;APPLE_VINEGAR
129.0;204.0;320.0;506.0;75.0;111.0;118.0;193.0;309.0;482.0;74.0;109.0;97.0;-128.0;446.0;-586.0;APPLE_VINEGAR
132.0;205.0;322.0;505.0;76.0;112.0;125.0;201.0;316.0;492.0;74.0;110.0;200.0;-226.0;862.0;-974.0;APPLE_VINEGAR
137.0;211.0;336.0;526.0;78.0;116.0;128.0;202.0;322.0;507.0;77.0;113.0;232.0;-271.0;1046.0;-1097.0;APPLE_VINEGAR
140.0;219.0;345.0;538.0;80.0;118.0;135.0;209.0;328.0;517.0;79.0;115.0;248.0;-271.0;1097.0;-1097.0;APPLE_VINEGAR
136.0;215.0;340.0;549.0;82.0;120.0;136.0;211.0;333.0;516.0;80.0;117.0;256.0;-271.0;1087.0;-1097.0;APPLE_VINEGAR
143.0;222.0;354.0;556.0;82.0;121.0;137.0;214.0;342.0;534.0;80.0;118.0;152.0;-193.0;598.0;-734.0;APPLE_VINEGAR
145.0;228.0;358.0;562.0;83.0;121.0;134.0;216.0;338.0;520.0;80.0;116.0;42.0;-64.0;145.0;-226.0;APPLE_VINEGAR
142.0;220.0;351.0;547.0;82.0;120.0;127.0;205.0;329.0;512.0;78.0;115.0;1.0;-3.0;35.0;-63.0;APPLE_VINEGAR
143.0;220.0;344.0;541.0;80.0;118.0;131.0;206.0;325.0;502.0;77.0;114.0;1.0;-3.0;35.0;-63.0;APPLE_VINEGAR
134.0;209.0;336.0;529.0;78.0;115.0;124.0;195.0;314.0;496.0;76.0;111.0;1.0;-3.0;35.0;-63.0;APPLE_VINEGAR
130.0;204.0;323.0;516.0;76.0;113.0;123.0;197.0;311.0;487.0;74.0;108.0;6.0;-3.0;78.0;-136.0;APPLE_VINEGAR
130.0;204.0;327.0;517.0;77.0;113.0;124.0;201.0;312.0;494.0;74.0;109.0;6.0;-1.0;90.0;-136.0;APPLE_VINEGAR
