OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BALSAMIC_VINEGAR
37.0;30.0;8.0;11.0;4.0;11.0;56.0;85.0;125.0;194.0;13.0;34.0;32.0;15.0;13.0;-4.0;BALSAMIC_VINEGAR
42.0;77.0;127.0;296.0;60.0;77.0;113.0;187.0;313.0;468.0;60.0;102.0;30.0;17.0;24.0;-8.0;BALSAMIC_VINEGAR
48.0;86.0;148.0;331.0;62.0;98.0;102.0;161.0;293.0;430.0;64.0;110.0;23.0;10.0;16.0;-4.0;BALSAMIC_VINEGAR
97.0;190.0;280.0;503.0;93.0;144.0;127.0;232.0;387.0;623.0;109.0;175.0;18.0;17.0;16.0;1.0;BALSAMIC_VINEGAR
210.0;369.0;590.0;1023.0;172.0;254.0;203.0;366.0;627.0;995.0;159.0;246.0;23.0;13.0;26.0;-3.0;BALSAMIC_VINEGAR
223.0;399.0;686.0;1181.0;195.0;284.0;213.0;373.0;693.0;1203.0;184.0;296.0;32.0;14.0;21.0;-1.0;BALSAMIC_VINEGAR
259.0;449.0;731.0;1244.0;213.0;309.0;264.0;484.0;800.0;1251.0;197.0;298.0;18.0;11.0;10.0;1.0;BALSAMIC_VINEGAR
231.0;379.0;638.0;1157.0;198.0;302.0;217.0;381.0;695.0;1246.0;197.0;303.0;15.0;11.0;13.0;1.0;BALSAMIC_VINEGAR
280.0;485.0;809.0;1349.0;222.0;331.0;252.0;451.0;791.0;1383.0;213.0;331.0;11.0;11.0;5.0;1.0;BALSAMIC_VINEGAR
240.0;435.0;739.0;1313.0;216.0;326.0;266.0;461.0;782.0;1278.0;207.0;329.0;11.0;15.0;4.0;1.0;BALSAMIC_VINEGAR
339.0;570.0;933.0;1546.0;255.0;366.0;322.0;566.0;939.0;1513.0;238.0;360.0;16.0;8.0;5.0;1.0;BALSAMIC_VINEGAR
335.0;585.0;945.0;1609.0;260.0;380.0;346.0;576.0;968.0;1514.0;240.0;359.0;12.0;8.0;4.0;1.0;BALSAMIC_VINEGAR
329.0;551.0;915.0;1526.0;255.0;375.0;305.0;537.0;904.0;1426.0;240.0;356.0;19.0;8.0;5.0;-8.0;BALSAMIC_VINEGAR
260.0;449.0;736.0;1267.0;214.0;324.0;271.0;462.0;809.0;1348.0;222.0;347.0;23.0;5.0;6.0;-8.0;BALSAMIC_VINEGAR
318.0;535.0;879.0;1505.0;240.0;350.0;269.0;486.0;860.0;1413.0;231.0;349.0;20.0;6.0;6.0;-8.0;BALSAMIC_VINEGAR
353.0;591.0;988.0;1633.0;275.0;391.0;289.0;519.0;938.0;1551.0;246.0;380.0;20.0;5.0;2.0;-8.0;BALSAMIC_VINEGAR
318.0;519.0;912.0;1504.0;248.0;362.0;261.0;489.0;871.0;1497.0;236.0;362.0;26.0;6.0;2.0;-1.0;BALSAMIC_VINEGAR
304.0;520.0;850.0;1418.0;236.0;351.0;312.0;548.0;923.0;1461.0;231.0;344.0;8.0;20.0;2.0;-1.0;BALSAMIC_VINEGAR
308.0;531.0;888.0;1532.0;252.0;367.0;280.0;515.0;886.0;1480.0;233.0;361.0;24.0;18.0;9.0;6.0;BALSAMIC_VINEGAR
321.0;566.0;910.0;1558.0;251.0;362.0;272.0;489.0;848.0;1490.0;229.0;368.0;18.0;15.0;4.0;6.0;BALSAMIC_VINEGAR
347.0;574.0;941.0;1588.0;256.0;378.0;333.0;567.0;999.0;1540.0;242.0;370.0;30.0;12.0;8.0;6.0;BALSAMIC_VINEGAR
372.0;636.0;1050.0;1700.0;273.0;389.0;331.0;583.0;954.0;1623.0;254.0;382.0;18.0;24.0;4.0;16.0;BALSAMIC_VINEGAR
299.0;522.0;880.0;1444.0;250.0;379.0;262.0;477.0;858.0;1440.0;244.0;371.0;18.0;9.0;8.0;6.0;BALSAMIC_VINEGAR
190.0;351.0;593.0;1125.0;200.0;314.0;226.0;427.0;740.0;1209.0;189.0;282.0;12.0;9.0;6.0;1.0;BALSAMIC_VINEGAR
198.0;329.0;545.0;816.0;137.0;208.0;156.0;290.0;504.0;788.0;122.0;198.0;30.0;6.0;6.0;-1.0;BALSAMIC_VINEGAR
117.0;209.0;322.0;582.0;105.0;170.0;156.0;276.0;495.0;776.0;122.0;198.0;18.0;6.0;8.0;1.0;BALSAMIC_VINEGAR
167.0;284.0;473.0;749.0;105.0;156.0;110.0;215.0;367.0;591.0;88.0;126.0;17.0;3.0;6.0;1.0;BALSAMIC_VINEGAR
14.0;22.0;22.0;53.0;19.0;35.0;64.0;69.0;140.0;212.0;25.0;56.0;34.0;3.0;3.0;1.0;BALSAMIC_VINEGAR
12.0;22.0;22.0;53.0;19.0;36.0;64.0;90.0;147.0;213.0;25.0;56.0;17.0;7.0;3.0;-1.0;BALSAMIC_VINEGAR
18.0;22.0;22.0;53.0;19.0;36.0;64.0;90.0;147.0;213.0;19.0;36.0;16.0;7.0;9.0;3.0;BALSAMIC_VINEGAR
36.0;76.0;97.0;186.0;40.0;70.0;64.0;117.0;241.0;405.0;56.0;90.0;23.0;7.0;3.0;-5.0;BALSAMIC_VINEGAR
55.0;101.0;172.0;333.0;59.0;102.0;77.0;141.0;269.0;457.0;81.0;133.0;21.0;7.0;7.0;-5.0;BALSAMIC_VINEGAR
117.0;193.0;336.0;587.0;98.0;160.0;169.0;285.0;473.0;766.0;117.0;184.0;17.0;13.0;7.0;3.0;BALSAMIC_VINEGAR
177.0;288.0;457.0;706.0;130.0;185.0;118.0;231.0;416.0;687.0;112.0;184.0;19.0;10.0;7.0;4.0;BALSAMIC_VINEGAR
136.0;228.0;339.0;560.0;103.0;147.0;144.0;242.0;393.0;595.0;99.0;162.0;20.0;10.0;3.0;4.0;BALSAMIC_VINEGAR
141.0;261.0;387.0;645.0;110.0;167.0;175.0;303.0;484.0;762.0;112.0;169.0;19.0;16.0;7.0;2.0;BALSAMIC_VINEGAR
141.0;242.0;400.0;670.0;112.0;173.0;156.0;270.0;469.0;727.0;109.0;174.0;16.0;16.0;9.0;0.0;BALSAMIC_VINEGAR
176.0;320.0;521.0;920.0;159.0;236.0;181.0;313.0;570.0;1024.0;167.0;258.0;20.0;10.0;9.0;-4.0;BALSAMIC_VINEGAR
235.0;403.0;689.0;1278.0;233.0;346.0;261.0;475.0;836.0;1462.0;247.0;393.0;14.0;2.0;21.0;0.0;BALSAMIC_VINEGAR
413.0;700.0;1105.0;1919.0;311.0;438.0;357.0;633.0;1123.0;1899.0;314.0;495.0;21.0;2.0;35.0;-8.0;BALSAMIC_VINEGAR
572.0;975.0;1549.0;2545.0;401.0;550.0;398.0;721.0;1255.0;2078.0;339.0;510.0;26.0;1.0;26.0;-8.0;BALSAMIC_VINEGAR
555.0;962.0;1645.0;2914.0;530.0;796.0;609.0;1094.0;1910.0;3241.0;523.0;787.0;26.0;1.0;26.0;-11.0;BALSAMIC_VINEGAR
834.0;1420.0;2326.0;3803.0;612.0;853.0;626.0;1138.0;2013.0;3426.0;554.0;840.0;28.0;1.0;23.0;-16.0;BALSAMIC_VINEGAR
1052.0;1774.0;2936.0;5116.0;904.0;1418.0;1205.0;2218.0;4033.0;7242.0;1258.0;1938.0;28.0;0.0;41.0;-17.0;BALSAMIC_VINEGAR
2350.0;3909.0;6285.0;9883.0;1532.0;1976.0;1475.0;2640.0;4575.0;7621.0;1204.0;1752.0;28.0;0.0;28.0;-17.0;BALSAMIC_VINEGAR
1865.0;3133.0;5141.0;8250.0;1287.0;1727.0;1339.0;2375.0;4050.0;6775.0;1078.0;1576.0;27.0;0.0;34.0;-17.0;BALSAMIC_VINEGAR
1702.0;2845.0;4602.0;7375.0;1153.0;1577.0;1320.0;2298.0;3809.0;6112.0;967.0;1407.0;17.0;2.0;18.0;0.0;BALSAMIC_VINEGAR
1473.0;2427.0;3852.0;6096.0;935.0;1288.0;1043.0;1845.0;3111.0;5076.0;812.0;1187.0;20.0;2.0;9.0;0.0;BALSAMIC_VINEGAR
1232.0;2056.0;3265.0;5149.0;805.0;1106.0;874.0;1555.0;2608.0;4294.0;688.0;1008.0;28.0;2.0;8.0;1.0;BALSAMIC_VINEGAR
1106.0;1791.0;2848.0;4467.0;697.0;991.0;784.0;1401.0;2457.0;4144.0;664.0;996.0;18.0;2.0;8.0;1.0;BALSAMIC_VINEGAR
1170.0;1986.0;3161.0;5035.0;753.0;1042.0;801.0;1400.0;2407.0;4042.0;632.0;941.0;22.0;3.0;8.0;0.0;BALSAMIC_VINEGAR
1003.0;1663.0;2697.0;4357.0;694.0;964.0;783.0;1376.0;2390.0;4038.0;644.0;949.0;22.0;4.0;8.0;-1.0;BALSAMIC_VINEGAR
1074.0;1786.0;2963.0;5122.0;952.0;1547.0;1433.0;2532.0;4398.0;7431.0;1202.0;1751.0;30.0;4.0;16.0;-5.0;BALSAMIC_VINEGAR
1898.0;3169.0;5035.0;7896.0;1213.0;1620.0;1282.0;2254.0;3868.0;6385.0;1016.0;1492.0;33.0;7.0;33.0;-9.0;BALSAMIC_VINEGAR
1667.0;2787.0;4536.0;7579.0;1290.0;1942.0;1759.0;3109.0;5388.0;9098.0;1490.0;2192.0;36.0;0.0;39.0;-26.0;BALSAMIC_VINEGAR
2754.0;4700.0;7861.0;12005.0;2105.0;2838.0;2423.0;4283.0;7412.0;12418.0;2001.0;2877.0;28.0;0.0;75.0;-26.0;BALSAMIC_VINEGAR
3343.0;5617.0;9054.0;12627.0;2171.0;2834.0;2380.0;4087.0;6940.0;11262.0;1745.0;2500.0;35.0;0.0;39.0;-26.0;BALSAMIC_VINEGAR
2826.0;4663.0;7459.0;10955.0;1736.0;2312.0;1914.0;3342.0;5671.0;9180.0;1431.0;2051.0;8.0;8.0;6.0;2.0;BALSAMIC_VINEGAR
2084.0;3382.0;5220.0;7947.0;1223.0;1696.0;1392.0;2424.0;4051.0;6508.0;994.0;1449.0;11.0;10.0;5.0;4.0;BALSAMIC_VINEGAR
1375.0;2144.0;3279.0;4965.0;772.0;1104.0;922.0;1632.0;2709.0;4292.0;665.0;969.0;10.0;9.0;6.0;5.0;BALSAMIC_VINEGAR
987.0;1604.0;2433.0;3682.0;624.0;1043.0;949.0;1697.0;2968.0;5045.0;830.0;1252.0;23.0;8.0;5.0;4.0;BALSAMIC_VINEGAR
1330.0;2103.0;3181.0;4800.0;738.0;1015.0;802.0;1408.0;2378.0;3757.0;584.0;851.0;27.0;8.0;9.0;4.0;BALSAMIC_VINEGAR
952.0;1531.0;2256.0;3376.0;521.0;743.0;616.0;1089.0;1814.0;2923.0;445.0;647.0;24.0;8.0;9.0;8.0;BALSAMIC_VINEGAR
709.0;1130.0;1608.0;2349.0;362.0;513.0;502.0;854.0;1359.0;2019.0;292.0;439.0;30.0;8.0;4.0;8.0;BALSAMIC_VINEGAR
517.0;769.0;1022.0;1377.0;210.0;317.0;305.0;533.0;852.0;1204.0;169.0;245.0;24.0;11.0;4.0;5.0;BALSAMIC_VINEGAR
385.0;539.0;1022.0;1377.0;210.0;317.0;334.0;584.0;970.0;1541.0;238.0;352.0;22.0;6.0;4.0;3.0;BALSAMIC_VINEGAR
381.0;595.0;851.0;1276.0;209.0;295.0;334.0;584.0;970.0;1541.0;238.0;354.0;21.0;2.0;6.0;5.0;BALSAMIC_VINEGAR
626.0;1021.0;1505.0;2186.0;323.0;427.0;406.0;678.0;1075.0;1607.0;244.0;352.0;22.0;2.0;11.0;3.0;BALSAMIC_VINEGAR
409.0;624.0;791.0;1100.0;171.0;252.0;213.0;390.0;676.0;1066.0;153.0;233.0;31.0;2.0;6.0;6.0;BALSAMIC_VINEGAR
350.0;530.0;712.0;884.0;126.0;190.0;238.0;394.0;603.0;787.0;102.0;136.0;21.0;8.0;0.0;6.0;BALSAMIC_VINEGAR
253.0;351.0;405.0;392.0;64.0;100.0;146.0;239.0;344.0;459.0;55.0;88.0;14.0;14.0;0.0;10.0;BALSAMIC_VINEGAR
200.0;282.0;271.0;401.0;77.0;110.0;153.0;248.0;342.0;461.0;60.0;90.0;21.0;12.0;0.0;3.0;BALSAMIC_VINEGAR
253.0;351.0;405.0;401.0;77.0;110.0;155.0;268.0;411.0;713.0;109.0;195.0;12.0;12.0;20.0;2.0;BALSAMIC_VINEGAR
536.0;888.0;1442.0;2502.0;427.0;605.0;535.0;946.0;1585.0;2598.0;417.0;634.0;17.0;4.0;17.0;-14.0;BALSAMIC_VINEGAR
708.0;1106.0;1618.0;2389.0;368.0;509.0;391.0;700.0;1162.0;1905.0;299.0;429.0;17.0;-4.0;31.0;-31.0;BALSAMIC_VINEGAR
578.0;924.0;1519.0;2864.0;535.0;830.0;738.0;1330.0;2308.0;3898.0;660.0;993.0;35.0;-4.0;54.0;-34.0;BALSAMIC_VINEGAR
1106.0;1808.0;3019.0;5188.0;876.0;1224.0;935.0;1691.0;2975.0;5073.0;829.0;1241.0;34.0;-5.0;85.0;-62.0;BALSAMIC_VINEGAR
1530.0;2583.0;4325.0;7506.0;1255.0;1765.0;1442.0;2590.0;4478.0;7573.0;1237.0;1830.0;42.0;-8.0;124.0;-77.0;BALSAMIC_VINEGAR
2219.0;3711.0;6232.0;10260.0;1725.0;2402.0;2087.0;3694.0;6423.0;10778.0;1748.0;2550.0;72.0;-23.0;234.0;-130.0;BALSAMIC_VINEGAR
3078.0;5225.0;8651.0;12657.0;2252.0;2999.0;2620.0;4601.0;7947.0;13341.0;2146.0;3126.0;113.0;-39.0;460.0;-231.0;BALSAMIC_VINEGAR
4141.0;6981.0;11516.0;14605.0;2942.0;3902.0;3464.0;6112.0;10646.0;17848.0;2874.0;4086.0;201.0;-39.0;886.0;-231.0;BALSAMIC_VINEGAR
5338.0;8925.0;14308.0;15753.0;3593.0;4667.0;4231.0;7433.0;12584.0;20380.0;3247.0;4583.0;131.0;-39.0;505.0;-231.0;BALSAMIC_VINEGAR
5876.0;9651.0;15074.0;16044.0;3626.0;4609.0;4291.0;7377.0;12196.0;19401.0;3008.0;4163.0;60.0;-20.0;160.0;-94.0;BALSAMIC_VINEGAR
4681.0;7643.0;11886.0;14343.0;2735.0;3592.0;3269.0;5586.0;9292.0;14897.0;2305.0;3267.0;44.0;-15.0;131.0;-78.0;BALSAMIC_VINEGAR
3776.0;6091.0;9454.0;12715.0;2171.0;2898.0;2550.0;4390.0;7364.0;11579.0;1774.0;2541.0;44.0;-15.0;131.0;-78.0;BALSAMIC_VINEGAR
2816.0;4503.0;6911.0;10365.0;1642.0;2276.0;1990.0;3492.0;5838.0;9495.0;1483.0;2144.0;42.0;-15.0;94.0;-78.0;BALSAMIC_VINEGAR
2608.0;4207.0;6674.0;10150.0;1633.0;2253.0;2034.0;3570.0;6070.0;10002.0;1588.0;2330.0;86.0;-33.0;301.0;-169.0;BALSAMIC_VINEGAR
3020.0;5006.0;8029.0;11925.0;2021.0;2729.0;2477.0;4299.0;7243.0;11797.0;1873.0;2697.0;98.0;-33.0;415.0;-192.0;BALSAMIC_VINEGAR
