OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BALSAMIC_VINEGAR
116.0;187.0;317.0;565.0;99.0;140.0;103.0;172.0;286.0;464.0;83.0;135.0;4.0;5.0;8.0;-7.0;BALSAMIC_VINEGAR
130.0;194.0;332.0;607.0;97.0;132.0;179.0;283.0;376.0;466.0;70.0;116.0;-11.0;5.0;-10.0;-4.0;BALSAMIC_VINEGAR
100.0;163.0;277.0;392.0;63.0;93.0;93.0;161.0;245.0;356.0;56.0;94.0;-12.0;5.0;-10.0;-4.0;BALSAMIC_VINEGAR
102.0;156.0;256.0;436.0;65.0;81.0;168.0;259.0;355.0;393.0;56.0;94.0;-12.0;5.0;-10.0;-6.0;BALSAMIC_VINEGAR
68.0;124.0;168.0;296.0;52.0;70.0;122.0;177.0;228.0;243.0;45.0;63.0;-15.0;5.0;-8.0;6.0;BALSAMIC_VINEGAR
67.0;121.0;204.0;355.0;54.0;83.0;94.0;147.0;208.0;304.0;54.0;88.0;-11.0;5.0;-8.0;6.0;BALSAMIC_VINEGAR
153.0;230.0;384.0;630.0;98.0;134.0;101.0;168.0;287.0;451.0;77.0;114.0;7.0;-7.0;-2.0;3.0;BALSAMIC_VINEGAR
159.0;268.0;441.0;730.0;107.0;144.0;168.0;234.0;359.0;456.0;85.0;116.0;12.0;-10.0;-2.0;4.0;BALSAMIC_VINEGAR
154.0;248.0;457.0;705.0;111.0;151.0;114.0;171.0;306.0;489.0;75.0;106.0;13.0;-21.0;-15.0;5.0;BALSAMIC_VINEGAR
162.0;249.0;477.0;741.0;108.0;159.0;138.0;200.0;328.0;519.0;95.0;133.0;18.0;-21.0;-6.0;7.0;BALSAMIC_VINEGAR
215.0;358.0;598.0;961.0;138.0;190.0;168.0;288.0;433.0;678.0;96.0;147.0;13.0;-21.0;-12.0;7.0;BALSAMIC_VINEGAR
156.0;252.0;484.0;764.0;116.0;156.0;101.0;160.0;336.0;498.0;84.0;114.0;10.0;-21.0;-12.0;14.0;BALSAMIC_VINEGAR
194.0;331.0;539.0;782.0;116.0;155.0;138.0;199.0;338.0;515.0;76.0;124.0;17.0;-20.0;-23.0;14.0;BALSAMIC_VINEGAR
117.0;202.0;366.0;541.0;81.0;112.0;112.0;154.0;270.0;355.0;47.0;72.0;9.0;-17.0;-24.0;21.0;BALSAMIC_VINEGAR
125.0;205.0;365.0;575.0;81.0;112.0;112.0;155.0;202.0;355.0;52.0;61.0;9.0;-17.0;-24.0;13.0;BALSAMIC_VINEGAR
131.0;210.0;365.0;575.0;74.0;93.0;112.0;154.0;174.0;292.0;52.0;72.0;7.0;-20.0;-24.0;24.0;BALSAMIC_VINEGAR
125.0;205.0;365.0;587.0;91.0;122.0;100.0;141.0;243.0;397.0;67.0;87.0;9.0;-17.0;-13.0;13.0;BALSAMIC_VINEGAR
177.0;326.0;571.0;897.0;138.0;195.0;210.0;337.0;538.0;787.0;134.0;183.0;7.0;-13.0;-10.0;4.0;BALSAMIC_VINEGAR
275.0;452.0;775.0;1267.0;193.0;256.0;199.0;316.0;566.0;934.0;145.0;219.0;4.0;-17.0;-10.0;4.0;BALSAMIC_VINEGAR
308.0;516.0;909.0;1408.0;223.0;296.0;236.0;395.0;693.0;1078.0;163.0;255.0;0.0;-13.0;-10.0;4.0;BALSAMIC_VINEGAR
269.0;446.0;772.0;1221.0;197.0;271.0;208.0;373.0;686.0;1081.0;163.0;246.0;0.0;-13.0;-12.0;16.0;BALSAMIC_VINEGAR
234.0;390.0;680.0;1108.0;179.0;242.0;232.0;371.0;595.0;917.0;126.0;207.0;-2.0;-9.0;-12.0;13.0;BALSAMIC_VINEGAR
175.0;303.0;504.0;814.0;135.0;198.0;184.0;262.0;382.0;583.0;101.0;158.0;-2.0;-15.0;-12.0;25.0;BALSAMIC_VINEGAR
151.0;267.0;463.0;690.0;157.0;165.0;184.0;197.0;366.0;646.0;109.0;173.0;5.0;-15.0;-10.0;11.0;BALSAMIC_VINEGAR
210.0;369.0;620.0;1046.0;166.0;223.0;144.0;238.0;449.0;775.0;124.0;187.0;17.0;-19.0;-2.0;-6.0;BALSAMIC_VINEGAR
213.0;349.0;641.0;1035.0;157.0;222.0;215.0;367.0;579.0;891.0;145.0;215.0;16.0;-22.0;-2.0;-6.0;BALSAMIC_VINEGAR
