OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BIOETHANOL
169.0;1311.0;2269.0;3284.0;370.0;403.0;295.0;715.0;1561.0;2774.0;440.0;566.0;9.0;-5.0;40.0;-10.0;BIOETHANOL
363.0;792.0;1244.0;1629.0;88.0;-104.0;-77.0;-418.0;-1607.0;-3557.0;-685.0;-982.0;1.0;2.0;-7.0;-12.0;BIOETHANOL
1434.0;3157.0;5151.0;1629.0;76.0;453.0;-77.0;-418.0;-1607.0;-3557.0;-685.0;-982.0;-4.0;1.0;-25.0;-12.0;BIOETHANOL
873.0;1948.0;3285.0;1362.0;88.0;40.0;-299.0;-655.0;-1624.0;-4141.0;-902.0;-1327.0;-6.0;2.0;-25.0;-3.0;BIOETHANOL
1434.0;3276.0;3285.0;4735.0;402.0;40.0;-299.0;-655.0;-1624.0;-3557.0;-685.0;-982.0;-7.0;1.0;-25.0;-3.0;BIOETHANOL
873.0;1948.0;5641.0;9279.0;1198.0;1060.0;661.0;1020.0;934.0;-289.0;-415.0;-892.0;-6.0;1.0;-16.0;-12.0;BIOETHANOL
1065.0;2606.0;5641.0;9279.0;1198.0;1134.0;902.0;1644.0;2412.0;2644.0;95.0;-178.0;-6.0;-1.0;-12.0;-12.0;BIOETHANOL
2604.0;5352.0;10320.0;16120.0;1989.0;1998.0;2255.0;4305.0;6987.0;9318.0;937.0;770.0;-6.0;-2.0;-12.0;-15.0;BIOETHANOL
4014.0;8167.0;14749.0;21214.0;2907.0;2970.0;3713.0;6810.0;11329.0;15280.0;1499.0;1278.0;0.0;-1.0;-4.0;-15.0;BIOETHANOL
3991.0;8886.0;15165.0;21170.0;2577.0;2480.0;2772.0;5144.0;8313.0;10918.0;1070.0;772.0;0.0;-2.0;-4.0;-16.0;BIOETHANOL
2973.0;6628.0;10777.0;14546.0;1485.0;1061.0;582.0;991.0;1210.0;730.0;-121.0;-308.0;1.0;-4.0;-4.0;-19.0;BIOETHANOL
1864.0;4665.0;8365.0;12199.0;1301.0;1000.0;610.0;959.0;988.0;106.0;-277.0;-650.0;5.0;-6.0;-4.0;-16.0;BIOETHANOL
1311.0;2416.0;3788.0;9925.0;1216.0;987.0;584.0;991.0;1060.0;151.0;-277.0;-650.0;6.0;-4.0;-4.0;-16.0;BIOETHANOL
