OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BIOETHANOL
317.0;811.0;1237.0;2033.0;347.0;341.0;207.0;380.0;657.0;881.0;56.0;-52.0;25.0;4.0;91.0;-27.0;BIOETHANOL
317.0;811.0;1237.0;2033.0;295.0;172.0;-10.0;-113.0;-376.0;-1003.0;-225.0;-405.0;33.0;7.0;126.0;-33.0;BIOETHANOL
-8.0;-9.0;-25.0;-45.0;-5.0;-10.0;-3.0;-1.0;12.0;-16.0;1.0;-11.0;-4.0;-3.0;3.0;-2.0;BIOETHANOL
6.0;-4.0;-24.0;-34.0;-4.0;1.0;0.0;0.0;12.0;4.0;1.0;4.0;-7.0;-3.0;-2.0;-9.0;BIOETHANOL
15.0;19.0;28.0;62.0;12.0;3.0;0.0;0.0;12.0;31.0;1.0;15.0;-7.0;-2.0;-4.0;-9.0;BIOETHANOL
15.0;48.0;58.0;317.0;61.0;50.0;18.0;46.0;112.0;220.0;54.0;56.0;-9.0;-3.0;-2.0;-9.0;BIOETHANOL
33.0;48.0;205.0;378.0;55.0;69.0;15.0;47.0;107.0;195.0;45.0;44.0;-7.0;-2.0;-4.0;-10.0;BIOETHANOL
36.0;114.0;205.0;378.0;61.0;69.0;36.0;78.0;184.0;362.0;72.0;84.0;-6.0;-2.0;-4.0;-11.0;BIOETHANOL
54.0;157.0;358.0;681.0;109.0;134.0;32.0;76.0;149.0;272.0;55.0;60.0;-4.0;3.0;1.0;-14.0;BIOETHANOL
42.0;46.0;444.0;707.0;98.0;45.0;32.0;76.0;149.0;272.0;55.0;60.0;2.0;9.0;1.0;-17.0;BIOETHANOL
42.0;46.0;96.0;158.0;23.0;30.0;9.0;25.0;35.0;81.0;44.0;16.0;2.0;9.0;10.0;-18.0;BIOETHANOL
42.0;46.0;36.0;158.0;23.0;30.0;8.0;22.0;96.0;81.0;44.0;19.0;0.0;10.0;10.0;-18.0;BIOETHANOL
42.0;46.0;37.0;158.0;17.0;20.0;16.0;41.0;96.0;210.0;44.0;60.0;-5.0;6.0;10.0;-18.0;BIOETHANOL
54.0;76.0;169.0;401.0;89.0;141.0;103.0;222.0;490.0;912.0;153.0;175.0;-5.0;-1.0;15.0;-16.0;BIOETHANOL
93.0;333.0;820.0;1995.0;423.0;666.0;711.0;1636.0;3545.0;6642.0;1103.0;1447.0;-10.0;-1.0;15.0;-2.0;BIOETHANOL
1393.0;4573.0;8807.0;15135.0;2094.0;2493.0;2881.0;5975.0;11124.0;17624.0;2450.0;2845.0;-3.0;1.0;-8.0;-2.0;BIOETHANOL
3199.0;7214.0;13007.0;18791.0;2286.0;2464.0;2485.0;5105.0;9471.0;15130.0;2127.0;2499.0;-12.0;-2.0;-15.0;0.0;BIOETHANOL
2896.0;6706.0;12582.0;19913.0;2792.0;3312.0;3978.0;7994.0;14565.0;22770.0;3093.0;3586.0;-7.0;1.0;-15.0;-2.0;BIOETHANOL
5091.0;10045.0;17824.0;23628.0;3375.0;3728.0;4687.0;9191.0;16330.0;25327.0;3311.0;3776.0;-7.0;1.0;-15.0;-5.0;BIOETHANOL
