OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BUTANE
26.0;51.0;98.0;191.0;35.0;63.0;12.0;24.0;56.0;101.0;36.0;75.0;3.0;5.0;13.0;8.0;BUTANE
23.0;47.0;100.0;229.0;51.0;106.0;22.0;46.0;98.0;233.0;46.0;90.0;5.0;5.0;14.0;13.0;BUTANE
44.0;90.0;190.0;403.0;80.0;145.0;34.0;67.0;145.0;294.0;52.0;97.0;3.0;-3.0;11.0;20.0;BUTANE
40.0;85.0;187.0;451.0;95.0;197.0;48.0;102.0;227.0;514.0;99.0;193.0;3.0;-3.0;12.0;13.0;BUTANE
80.0;168.0;352.0;775.0;162.0;314.0;75.0;159.0;350.0;739.0;145.0;268.0;3.0;-3.0;15.0;5.0;BUTANE
103.0;213.0;444.0;932.0;185.0;334.0;79.0;172.0;374.0;799.0;154.0;284.0;3.0;-3.0;12.0;6.0;BUTANE
105.0;217.0;448.0;911.0;188.0;352.0;85.0;168.0;419.0;783.0;166.0;324.0;4.0;-4.0;11.0;-6.0;BUTANE
143.0;303.0;609.0;1218.0;262.0;459.0;128.0;269.0;578.0;1197.0;232.0;427.0;7.0;-3.0;29.0;-6.0;BUTANE
178.0;363.0;714.0;1465.0;270.0;489.0;142.0;296.0;703.0;1291.0;259.0;503.0;7.0;-3.0;29.0;-6.0;BUTANE
200.0;381.0;793.0;1641.0;315.0;569.0;162.0;355.0;698.0;1555.0;274.0;521.0;7.0;-3.0;28.0;-6.0;BUTANE
203.0;435.0;856.0;1654.0;323.0;573.0;162.0;317.0;720.0;1432.0;256.0;500.0;6.0;-1.0;36.0;2.0;BUTANE
186.0;388.0;781.0;1637.0;336.0;615.0;168.0;322.0;723.0;1453.0;279.0;502.0;5.0;5.0;28.0;2.0;BUTANE
206.0;421.0;863.0;1750.0;296.0;540.0;175.0;388.0;786.0;1699.0;285.0;546.0;5.0;13.0;28.0;1.0;BUTANE
182.0;416.0;753.0;1628.0;325.0;642.0;166.0;314.0;595.0;1379.0;238.0;427.0;5.0;13.0;22.0;-5.0;BUTANE
208.0;433.0;860.0;1925.0;288.0;528.0;167.0;331.0;722.0;1589.0;312.0;580.0;6.0;12.0;22.0;-5.0;BUTANE
214.0;412.0;793.0;1727.0;330.0;571.0;179.0;366.0;702.0;1504.0;259.0;514.0;10.0;0.0;24.0;-5.0;BUTANE
211.0;394.0;788.0;1501.0;285.0;586.0;184.0;345.0;749.0;1526.0;307.0;499.0;12.0;0.0;19.0;-5.0;BUTANE
240.0;477.0;867.0;1718.0;309.0;576.0;222.0;460.0;847.0;1898.0;335.0;585.0;14.0;8.0;33.0;-6.0;BUTANE
283.0;556.0;1037.0;2289.0;417.0;746.0;241.0;478.0;962.0;1846.0;360.0;551.0;12.0;16.0;18.0;-5.0;BUTANE
316.0;594.0;1126.0;2393.0;438.0;806.0;249.0;528.0;1131.0;2163.0;400.0;717.0;-1.0;3.0;16.0;-5.0;BUTANE
298.0;590.0;1125.0;2183.0;437.0;751.0;242.0;507.0;987.0;2114.0;384.0;698.0;-2.0;3.0;24.0;0.0;BUTANE
296.0;580.0;1115.0;2113.0;408.0;674.0;245.0;468.0;917.0;1717.0;313.0;590.0;-2.0;-2.0;15.0;-2.0;BUTANE
299.0;585.0;1161.0;2262.0;451.0;787.0;265.0;560.0;1137.0;2469.0;442.0;745.0;-1.0;-6.0;20.0;-2.0;BUTANE
335.0;660.0;1312.0;2592.0;480.0;874.0;278.0;600.0;1208.0;2526.0;444.0;838.0;4.0;-6.0;20.0;-6.0;BUTANE
324.0;640.0;1277.0;2519.0;464.0;839.0;269.0;585.0;1110.0;2376.0;408.0;754.0;6.0;-3.0;20.0;-6.0;BUTANE
311.0;617.0;1206.0;2430.0;468.0;826.0;274.0;567.0;1078.0;2101.0;424.0;745.0;4.0;-3.0;26.0;-6.0;BUTANE
312.0;639.0;1279.0;2480.0;462.0;846.0;258.0;565.0;1109.0;2256.0;419.0;732.0;4.0;-3.0;20.0;-6.0;BUTANE
310.0;637.0;1259.0;2436.0;436.0;837.0;274.0;547.0;1028.0;2120.0;410.0;757.0;4.0;-3.0;20.0;1.0;BUTANE
310.0;608.0;1130.0;2320.0;412.0;755.0;251.0;544.0;1118.0;2179.0;369.0;589.0;10.0;-3.0;17.0;1.0;BUTANE
290.0;555.0;1159.0;2285.0;390.0;761.0;232.0;516.0;1003.0;2064.0;417.0;739.0;8.0;-2.0;15.0;1.0;BUTANE
309.0;600.0;1138.0;2238.0;446.0;804.0;271.0;561.0;1205.0;2310.0;399.0;740.0;8.0;-2.0;17.0;2.0;BUTANE
303.0;600.0;1207.0;2257.0;425.0;702.0;239.0;486.0;1054.0;1983.0;406.0;670.0;5.0;-2.0;21.0;2.0;BUTANE
291.0;575.0;1117.0;2329.0;435.0;789.0;248.0;496.0;1029.0;2091.0;379.0;733.0;5.0;-2.0;17.0;-3.0;BUTANE
263.0;560.0;1108.0;2049.0;394.0;778.0;235.0;509.0;1007.0;2196.0;421.0;702.0;5.0;-2.0;20.0;-3.0;BUTANE
314.0;630.0;1199.0;2166.0;435.0;789.0;270.0;528.0;1090.0;1984.0;344.0;545.0;8.0;-3.0;27.0;1.0;BUTANE
297.0;585.0;1066.0;2049.0;421.0;803.0;279.0;518.0;1129.0;2347.0;408.0;597.0;4.0;-3.0;22.0;-3.0;BUTANE
305.0;625.0;1104.0;2167.0;401.0;788.0;275.0;539.0;1183.0;2415.0;432.0;743.0;5.0;-3.0;22.0;-3.0;BUTANE
321.0;634.0;1278.0;2548.0;423.0;775.0;285.0;616.0;1224.0;2353.0;457.0;835.0;5.0;-3.0;19.0;-3.0;BUTANE
339.0;680.0;1293.0;2656.0;492.0;911.0;287.0;569.0;1272.0;2356.0;396.0;742.0;5.0;-3.0;23.0;-3.0;BUTANE
