OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;BUTANE
17.0;55.0;141.0;367.0;77.0;137.0;25.0;89.0;198.0;466.0;104.0;158.0;2.0;-6.0;5.0;8.0;BUTANE
25.0;105.0;248.0;560.0;115.0;196.0;44.0;104.0;234.0;541.0;118.0;178.0;1.0;-6.0;6.0;10.0;BUTANE
52.0;110.0;285.0;697.0;150.0;215.0;42.0;112.0;248.0;552.0;138.0;214.0;-1.0;-6.0;3.0;7.0;BUTANE
45.0;168.0;387.0;849.0;160.0;243.0;66.0;153.0;330.0;748.0;152.0;236.0;-1.0;-6.0;6.0;7.0;BUTANE
40.0;147.0;355.0;806.0;167.0;249.0;68.0;156.0;380.0;749.0;159.0;252.0;-1.0;-7.0;-5.0;7.0;BUTANE
75.0;174.0;391.0;834.0;180.0;269.0;78.0;167.0;389.0;852.0;170.0;264.0;4.0;-7.0;3.0;6.0;BUTANE
87.0;206.0;453.0;971.0;186.0;286.0;74.0;171.0;365.0;864.0;156.0;267.0;6.0;-2.0;-5.0;18.0;BUTANE
84.0;183.0;427.0;839.0;180.0;275.0;71.0;172.0;429.0;907.0;194.0;280.0;4.0;1.0;-5.0;18.0;BUTANE
54.0;208.0;436.0;956.0;186.0;283.0;88.0;189.0;365.0;956.0;180.0;283.0;4.0;7.0;-10.0;19.0;BUTANE
57.0;214.0;466.0;1017.0;201.0;312.0;83.0;201.0;419.0;893.0;189.0;288.0;2.0;5.0;1.0;18.0;BUTANE
63.0;219.0;451.0;924.0;185.0;281.0;80.0;191.0;398.0;892.0;174.0;291.0;2.0;6.0;1.0;13.0;BUTANE
72.0;202.0;466.0;907.0;186.0;277.0;74.0;176.0;372.0;839.0;162.0;246.0;2.0;-2.0;1.0;13.0;BUTANE
79.0;182.0;414.0;837.0;166.0;258.0;74.0;160.0;336.0;762.0;146.0;235.0;2.0;-11.0;1.0;18.0;BUTANE
53.0;175.0;402.0;879.0;167.0;257.0;68.0;159.0;344.0;668.0;146.0;238.0;13.0;-11.0;7.0;16.0;BUTANE
33.0;166.0;367.0;783.0;157.0;247.0;67.0;138.0;320.0;724.0;146.0;225.0;13.0;-11.0;9.0;19.0;BUTANE
36.0;175.0;363.0;781.0;155.0;239.0;55.0;142.0;317.0;697.0;134.0;212.0;13.0;-11.0;7.0;16.0;BUTANE
70.0;153.0;352.0;740.0;144.0;225.0;53.0;135.0;285.0;694.0;146.0;207.0;12.0;-7.0;5.0;19.0;BUTANE
72.0;158.0;331.0;764.0;151.0;237.0;52.0;144.0;312.0;685.0;135.0;210.0;10.0;-2.0;8.0;19.0;BUTANE
64.0;165.0;368.0;753.0;147.0;244.0;64.0;153.0;332.0;692.0;147.0;205.0;12.0;-2.0;5.0;19.0;BUTANE
55.0;165.0;381.0;762.0;159.0;240.0;65.0;144.0;322.0;712.0;135.0;218.0;10.0;-2.0;1.0;11.0;BUTANE
64.0;156.0;358.0;738.0;150.0;232.0;67.0;124.0;305.0;644.0;146.0;186.0;8.0;-1.0;1.0;20.0;BUTANE
70.0;147.0;319.0;711.0;142.0;228.0;60.0;128.0;290.0;655.0;141.0;210.0;10.0;-1.0;2.0;13.0;BUTANE
65.0;157.0;355.0;782.0;143.0;225.0;50.0;142.0;340.0;679.0;132.0;230.0;11.0;-1.0;2.0;8.0;BUTANE
63.0;174.0;382.0;776.0;160.0;238.0;58.0;160.0;336.0;742.0;148.0;234.0;5.0;-1.0;2.0;11.0;BUTANE
63.0;172.0;372.0;821.0;154.0;225.0;66.0;138.0;354.0;707.0;138.0;243.0;5.0;-5.0;1.0;11.0;BUTANE
61.0;178.0;372.0;775.0;138.0;228.0;56.0;142.0;324.0;607.0;136.0;223.0;5.0;-5.0;-3.0;18.0;BUTANE
61.0;172.0;333.0;777.0;157.0;228.0;70.0;136.0;318.0;703.0;132.0;214.0;5.0;-7.0;-3.0;11.0;BUTANE
60.0;156.0;346.0;678.0;136.0;219.0;60.0;126.0;291.0;592.0;130.0;194.0;6.0;-7.0;-3.0;10.0;BUTANE
61.0;144.0;292.0;663.0;143.0;207.0;62.0;132.0;296.0;680.0;131.0;218.0;5.0;-7.0;1.0;6.0;BUTANE
46.0;153.0;313.0;708.0;143.0;209.0;52.0;104.0;296.0;640.0;128.0;211.0;6.0;-3.0;5.0;8.0;BUTANE
75.0;154.0;339.0;716.0;132.0;215.0;47.0;144.0;269.0;625.0;126.0;206.0;2.0;-7.0;5.0;4.0;BUTANE
72.0;148.0;336.0;726.0;144.0;202.0;64.0;120.0;302.0;655.0;136.0;201.0;2.0;-9.0;-1.0;5.0;BUTANE
43.0;141.0;322.0;711.0;147.0;208.0;49.0;128.0;266.0;632.0;131.0;186.0;7.0;-11.0;5.0;5.0;BUTANE
40.0;148.0;330.0;673.0;136.0;205.0;52.0;136.0;294.0;673.0;142.0;216.0;8.0;-11.0;0.0;10.0;BUTANE
57.0;141.0;331.0;672.0;142.0;223.0;60.0;125.0;302.0;654.0;134.0;211.0;7.0;-12.0;-1.0;14.0;BUTANE
57.0;151.0;350.0;699.0;139.0;211.0;53.0;126.0;275.0;582.0;126.0;198.0;8.0;-11.0;0.0;10.0;BUTANE
59.0;141.0;339.0;696.0;147.0;207.0;48.0;124.0;280.0;542.0;128.0;207.0;7.0;-9.0;0.0;14.0;BUTANE
59.0;140.0;301.0;680.0;138.0;227.0;52.0;126.0;272.0;632.0;128.0;188.0;1.0;-5.0;-10.0;11.0;BUTANE
41.0;150.0;332.0;660.0;115.0;205.0;59.0;99.0;281.0;571.0;108.0;196.0;1.0;-5.0;-10.0;10.0;BUTANE
54.0;141.0;318.0;713.0;143.0;208.0;56.0;132.0;255.0;582.0;93.0;192.0;1.0;-5.0;-7.0;10.0;BUTANE
39.0;148.0;300.0;654.0;141.0;207.0;64.0;125.0;238.0;566.0;137.0;200.0;0.0;-5.0;-7.0;2.0;BUTANE
37.0;138.0;291.0;675.0;135.0;232.0;68.0;123.0;315.0;544.0;113.0;199.0;0.0;-6.0;-5.0;2.0;BUTANE
34.0;146.0;326.0;719.0;139.0;219.0;61.0;126.0;268.0;620.0;120.0;195.0;6.0;-6.0;3.0;2.0;BUTANE
59.0;136.0;300.0;678.0;135.0;209.0;54.0;105.0;279.0;646.0;130.0;200.0;6.0;-7.0;8.0;8.0;BUTANE
35.0;141.0;307.0;647.0;126.0;199.0;49.0;112.0;263.0;612.0;128.0;198.0;7.0;-9.0;7.0;8.0;BUTANE
52.0;128.0;306.0;669.0;124.0;219.0;48.0;126.0;282.0;602.0;120.0;195.0;7.0;-9.0;9.0;10.0;BUTANE
40.0;140.0;315.0;703.0;150.0;217.0;55.0;125.0;281.0;637.0;131.0;202.0;14.0;-3.0;11.0;7.0;BUTANE
29.0;151.0;330.0;719.0;143.0;229.0;55.0;122.0;290.0;616.0;114.0;199.0;10.0;-6.0;6.0;10.0;BUTANE
33.0;147.0;322.0;697.0;131.0;216.0;55.0;135.0;276.0;568.0;131.0;186.0;11.0;-6.0;6.0;16.0;BUTANE
34.0;150.0;321.0;708.0;131.0;216.0;47.0;126.0;304.0;604.0;132.0;196.0;10.0;-6.0;6.0;14.0;BUTANE
