OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;CALCIUM_NITRATE
46.0;87.0;165.0;307.0;57.0;93.0;30.0;63.0;136.0;277.0;52.0;94.0;11.0;-3.0;13.0;-5.0;CALCIUM_NITRATE
106.0;202.0;368.0;652.0;112.0;175.0;55.0;118.0;241.0;486.0;88.0;152.0;1.0;-3.0;16.0;-5.0;CALCIUM_NITRATE
106.0;204.0;367.0;673.0;117.0;190.0;59.0;122.0;252.0;493.0;92.0;165.0;1.0;-3.0;9.0;-5.0;CALCIUM_NITRATE
94.0;181.0;337.0;614.0;109.0;184.0;61.0;125.0;249.0;500.0;91.0;160.0;1.0;-3.0;9.0;-3.0;CALCIUM_NITRATE
88.0;170.0;321.0;585.0;105.0;180.0;57.0;124.0;253.0;505.0;92.0;159.0;6.0;-3.0;4.0;-2.0;CALCIUM_NITRATE
117.0;223.0;403.0;728.0;127.0;210.0;70.0;145.0;306.0;602.0;111.0;194.0;11.0;-3.0;6.0;0.0;CALCIUM_NITRATE
143.0;275.0;504.0;925.0;160.0;270.0;93.0;193.0;397.0;797.0;148.0;259.0;6.0;-3.0;13.0;0.0;CALCIUM_NITRATE
194.0;370.0;692.0;1265.0;221.0;366.0;131.0;270.0;554.0;1088.0;202.0;353.0;2.0;-2.0;16.0;5.0;CALCIUM_NITRATE
257.0;489.0;905.0;1663.0;291.0;479.0;170.0;351.0;706.0;1427.0;263.0;459.0;2.0;-1.0;15.0;8.0;CALCIUM_NITRATE
332.0;628.0;1154.0;2113.0;367.0;597.0;224.0;449.0;904.0;1769.0;324.0;561.0;2.0;1.0;11.0;10.0;CALCIUM_NITRATE
397.0;747.0;1381.0;2507.0;433.0;707.0;272.0;548.0;1099.0;2133.0;388.0;668.0;3.0;2.0;11.0;9.0;CALCIUM_NITRATE
474.0;886.0;1627.0;2933.0;504.0;818.0;322.0;646.0;1269.0;2478.0;450.0;776.0;3.0;3.0;9.0;18.0;CALCIUM_NITRATE
559.0;1038.0;1899.0;3400.0;579.0;929.0;371.0;755.0;1475.0;2851.0;517.0;876.0;3.0;2.0;21.0;19.0;CALCIUM_NITRATE
625.0;1169.0;2114.0;3814.0;651.0;1049.0;430.0;859.0;1683.0;3239.0;583.0;990.0;16.0;1.0;14.0;24.0;CALCIUM_NITRATE
721.0;1331.0;2423.0;4320.0;728.0;1160.0;485.0;974.0;1888.0;3604.0;645.0;1088.0;11.0;0.0;14.0;29.0;CALCIUM_NITRATE
797.0;1470.0;2661.0;4756.0;798.0;1273.0;551.0;1087.0;2100.0;3987.0;707.0;1186.0;7.0;0.0;28.0;20.0;CALCIUM_NITRATE
878.0;1605.0;2905.0;5167.0;869.0;1377.0;605.0;1192.0;2293.0;4330.0;768.0;1287.0;5.0;1.0;19.0;19.0;CALCIUM_NITRATE
962.0;1762.0;3170.0;5608.0;937.0;1483.0;670.0;1318.0;2504.0;4695.0;830.0;1396.0;15.0;0.0;22.0;29.0;CALCIUM_NITRATE
1056.0;1917.0;3428.0;6035.0;1006.0;1583.0;738.0;1426.0;2729.0;5076.0;888.0;1473.0;16.0;0.0;19.0;17.0;CALCIUM_NITRATE
1129.0;2049.0;3641.0;6357.0;1063.0;1675.0;803.0;1542.0;2915.0;5373.0;944.0;1561.0;15.0;0.0;19.0;29.0;CALCIUM_NITRATE
1209.0;2185.0;3876.0;6749.0;1114.0;1753.0;857.0;1652.0;3119.0;5753.0;991.0;1627.0;6.0;0.0;23.0;23.0;CALCIUM_NITRATE
1256.0;2269.0;4018.0;6996.0;1158.0;1818.0;899.0;1728.0;3239.0;5966.0;1032.0;1694.0;4.0;0.0;17.0;21.0;CALCIUM_NITRATE
1321.0;2369.0;4173.0;7273.0;1197.0;1879.0;960.0;1821.0;3374.0;6171.0;1074.0;1752.0;2.0;1.0;14.0;19.0;CALCIUM_NITRATE
1371.0;2471.0;4366.0;7579.0;1249.0;1937.0;996.0;1893.0;3516.0;6432.0;1104.0;1803.0;3.0;2.0;18.0;20.0;CALCIUM_NITRATE
1406.0;2528.0;4472.0;7767.0;1280.0;1994.0;1028.0;1950.0;3639.0;6643.0;1139.0;1857.0;3.0;3.0;14.0;13.0;CALCIUM_NITRATE
1425.0;2561.0;4538.0;7879.0;1297.0;2015.0;1064.0;2005.0;3726.0;6765.0;1153.0;1878.0;3.0;2.0;11.0;15.0;CALCIUM_NITRATE
1409.0;2532.0;4499.0;7833.0;1289.0;2020.0;1061.0;2009.0;3713.0;6775.0;1162.0;1882.0;5.0;0.0;11.0;8.0;CALCIUM_NITRATE
1402.0;2524.0;4490.0;7788.0;1287.0;2016.0;1051.0;1995.0;3712.0;6790.0;1156.0;1882.0;5.0;0.0;17.0;12.0;CALCIUM_NITRATE
1401.0;2517.0;4485.0;7811.0;1294.0;2031.0;1082.0;2045.0;3791.0;6855.0;1177.0;1902.0;7.0;0.0;11.0;10.0;CALCIUM_NITRATE
1417.0;2561.0;4519.0;7902.0;1306.0;2035.0;1077.0;2043.0;3790.0;6886.0;1178.0;1900.0;7.0;-4.0;17.0;15.0;CALCIUM_NITRATE
1443.0;2598.0;4593.0;7978.0;1309.0;2059.0;1105.0;2087.0;3836.0;7000.0;1190.0;1927.0;7.0;-5.0;20.0;18.0;CALCIUM_NITRATE
1450.0;2596.0;4558.0;7914.0;1298.0;2047.0;1115.0;2077.0;3793.0;6850.0;1169.0;1886.0;10.0;-6.0;22.0;20.0;CALCIUM_NITRATE
1349.0;2417.0;4262.0;7410.0;1221.0;1939.0;1050.0;1962.0;3596.0;6472.0;1103.0;1789.0;10.0;-6.0;19.0;8.0;CALCIUM_NITRATE
1253.0;2267.0;4002.0;6971.0;1153.0;1836.0;979.0;1837.0;3410.0;6149.0;1047.0;1709.0;10.0;-6.0;19.0;-4.0;CALCIUM_NITRATE
1174.0;2139.0;3797.0;6645.0;1106.0;1767.0;931.0;1760.0;3250.0;5925.0;1010.0;1641.0;3.0;-7.0;11.0;-8.0;CALCIUM_NITRATE
1125.0;2044.0;3623.0;6346.0;1058.0;1687.0;878.0;1679.0;3126.0;5659.0;969.0;1580.0;6.0;-7.0;5.0;-9.0;CALCIUM_NITRATE
