OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;CALCIUM_NITRATE
50.0;100.0;193.0;396.0;76.0;130.0;39.0;84.0;170.0;344.0;67.0;122.0;3.0;6.0;7.0;-7.0;CALCIUM_NITRATE
39.0;78.0;160.0;336.0;64.0;115.0;39.0;77.0;157.0;329.0;65.0;119.0;10.0;7.0;7.0;-3.0;CALCIUM_NITRATE
42.0;84.0;173.0;362.0;67.0;115.0;37.0;74.0;152.0;307.0;62.0;114.0;6.0;6.0;7.0;-3.0;CALCIUM_NITRATE
47.0;98.0;203.0;451.0;90.0;157.0;52.0;109.0;227.0;476.0;93.0;170.0;8.0;4.0;7.0;-3.0;CALCIUM_NITRATE
68.0;137.0;277.0;582.0;108.0;185.0;58.0;120.0;243.0;485.0;97.0;172.0;6.0;3.0;8.0;-3.0;CALCIUM_NITRATE
54.0;109.0;218.0;438.0;83.0;147.0;45.0;95.0;189.0;383.0;75.0;137.0;6.0;4.0;8.0;2.0;CALCIUM_NITRATE
48.0;96.0;200.0;426.0;83.0;146.0;47.0;99.0;208.0;435.0;87.0;158.0;6.0;3.0;8.0;6.0;CALCIUM_NITRATE
65.0;130.0;273.0;584.0;111.0;192.0;62.0;130.0;268.0;559.0;111.0;198.0;4.0;3.0;8.0;4.0;CALCIUM_NITRATE
94.0;186.0;375.0;760.0;141.0;234.0;74.0;153.0;323.0;659.0;129.0;233.0;8.0;3.0;11.0;10.0;CALCIUM_NITRATE
103.0;206.0;409.0;822.0;150.0;251.0;80.0;171.0;348.0;703.0;136.0;241.0;4.0;5.0;11.0;8.0;CALCIUM_NITRATE
98.0;194.0;386.0;775.0;143.0;244.0;82.0;170.0;348.0;708.0;133.0;239.0;0.0;5.0;11.0;8.0;CALCIUM_NITRATE
112.0;219.0;427.0;839.0;153.0;259.0;85.0;178.0;366.0;748.0;146.0;260.0;-2.0;5.0;13.0;25.0;CALCIUM_NITRATE
144.0;281.0;537.0;1038.0;186.0;307.0;104.0;213.0;433.0;884.0;168.0;300.0;-2.0;5.0;9.0;18.0;CALCIUM_NITRATE
193.0;373.0;706.0;1326.0;233.0;376.0;133.0;271.0;549.0;1102.0;212.0;372.0;7.0;15.0;10.0;25.0;CALCIUM_NITRATE
266.0;510.0;951.0;1759.0;305.0;488.0;175.0;356.0;715.0;1436.0;268.0;470.0;12.0;11.0;18.0;19.0;CALCIUM_NITRATE
308.0;588.0;1095.0;2041.0;355.0;570.0;203.0;418.0;840.0;1663.0;314.0;552.0;7.0;17.0;17.0;25.0;CALCIUM_NITRATE
357.0;681.0;1259.0;2338.0;407.0;651.0;239.0;492.0;981.0;1931.0;362.0;628.0;8.0;11.0;20.0;21.0;CALCIUM_NITRATE
