OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;DIESEL
25.0;74.0;151.0;273.0;51.0;59.0;22.0;45.0;92.0;173.0;33.0;47.0;32.0;15.0;22.0;10.0;DIESEL
34.0;75.0;186.0;348.0;71.0;69.0;16.0;63.0;112.0;228.0;36.0;58.0;24.0;8.0;11.0;2.0;DIESEL
43.0;109.0;242.0;480.0;87.0;84.0;47.0;126.0;257.0;562.0;91.0;132.0;35.0;10.0;21.0;2.0;DIESEL
115.0;307.0;654.0;1118.0;181.0;186.0;54.0;176.0;357.0;742.0;124.0;167.0;31.0;8.0;4.0;0.0;DIESEL
177.0;514.0;1024.0;1764.0;270.0;296.0;130.0;336.0;749.0;1553.0;274.0;344.0;31.0;8.0;5.0;-4.0;DIESEL
399.0;1082.0;2008.0;3604.0;510.0;515.0;259.0;623.0;1386.0;2714.0;445.0;547.0;42.0;-1.0;5.0;-4.0;DIESEL
587.0;1623.0;2990.0;4830.0;654.0;633.0;342.0;817.0;1755.0;3352.0;529.0;629.0;38.0;12.0;3.0;0.0;DIESEL
784.0;1894.0;3467.0;5400.0;732.0;709.0;370.0;915.0;1901.0;3569.0;558.0;670.0;29.0;8.0;3.0;0.0;DIESEL
707.0;1899.0;3439.0;5631.0;707.0;692.0;381.0;938.0;1966.0;3668.0;572.0;713.0;29.0;12.0;3.0;0.0;DIESEL
822.0;2029.0;3607.0;5990.0;768.0;745.0;384.0;930.0;1973.0;3726.0;584.0;710.0;25.0;5.0;3.0;3.0;DIESEL
774.0;2014.0;3668.0;5984.0;789.0;785.0;390.0;918.0;1929.0;3613.0;566.0;691.0;30.0;5.0;3.0;0.0;DIESEL
1015.0;2107.0;3764.0;5696.0;737.0;768.0;405.0;978.0;2007.0;3763.0;588.0;706.0;36.0;5.0;4.0;0.0;DIESEL
907.0;2150.0;3869.0;6091.0;778.0;743.0;412.0;979.0;2026.0;3766.0;584.0;707.0;30.0;9.0;9.0;3.0;DIESEL
1077.0;2182.0;4000.0;6238.0;825.0;737.0;409.0;972.0;2061.0;3858.0;600.0;728.0;30.0;9.0;12.0;7.0;DIESEL
1117.0;2170.0;3880.0;6098.0;813.0;803.0;435.0;1032.0;2122.0;3906.0;591.0;721.0;32.0;12.0;5.0;8.0;DIESEL
892.0;2343.0;4007.0;6394.0;825.0;785.0;426.0;1023.0;2110.0;3923.0;612.0;760.0;30.0;12.0;20.0;12.0;DIESEL
1116.0;2264.0;3965.0;6402.0;798.0;793.0;439.0;1023.0;2114.0;3929.0;607.0;728.0;30.0;15.0;16.0;1.0;DIESEL
1150.0;2308.0;4140.0;6266.0;799.0;798.0;411.0;1005.0;2103.0;3923.0;615.0;761.0;30.0;11.0;18.0;1.0;DIESEL
881.0;2311.0;4102.0;6290.0;851.0;842.0;450.0;1058.0;2204.0;4030.0;621.0;762.0;37.0;11.0;16.0;1.0;DIESEL
