OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;DIESEL
187.0;275.0;512.0;739.0;90.0;101.0;43.0;93.0;183.0;348.0;61.0;105.0;-9.0;6.0;-7.0;-8.0;DIESEL
239.0;367.0;655.0;1086.0;127.0;120.0;60.0;141.0;283.0;545.0;85.0;114.0;-13.0;18.0;-7.0;-7.0;DIESEL
232.0;433.0;754.0;1122.0;145.0;120.0;78.0;149.0;295.0;529.0;85.0;121.0;-17.0;27.0;-6.0;-7.0;DIESEL
239.0;454.0;828.0;1178.0;162.0;163.0;83.0;179.0;356.0;641.0;96.0;131.0;-17.0;17.0;-6.0;0.0;DIESEL
314.0;529.0;894.0;1291.0;169.0;198.0;90.0;184.0;363.0;626.0;110.0;160.0;-17.0;15.0;-5.0;0.0;DIESEL
301.0;510.0;865.0;1380.0;161.0;183.0;107.0;214.0;429.0;774.0;123.0;169.0;-21.0;17.0;-1.0;3.0;DIESEL
210.0;594.0;1049.0;1493.0;192.0;193.0;108.0;215.0;433.0;733.0;118.0;155.0;-13.0;7.0;-1.0;0.0;DIESEL
142.0;581.0;1000.0;1566.0;190.0;186.0;114.0;222.0;439.0;769.0;110.0;159.0;-3.0;6.0;3.0;3.0;DIESEL
208.0;546.0;1024.0;1530.0;168.0;231.0;95.0;207.0;399.0;720.0;127.0;151.0;-13.0;7.0;-1.0;-3.0;DIESEL
185.0;588.0;1033.0;1394.0;174.0;207.0;109.0;212.0;435.0;772.0;126.0;166.0;-19.0;7.0;-1.0;2.0;DIESEL
174.0;568.0;960.0;1393.0;175.0;175.0;109.0;226.0;463.0;816.0;127.0;165.0;-13.0;11.0;-14.0;-3.0;DIESEL
266.0;588.0;1097.0;1539.0;170.0;197.0;111.0;220.0;436.0;750.0;123.0;167.0;-17.0;11.0;-14.0;2.0;DIESEL
228.0;587.0;1052.0;1554.0;188.0;170.0;107.0;220.0;408.0;692.0;115.0;157.0;-19.0;11.0;-18.0;2.0;DIESEL
325.0;562.0;948.0;1397.0;160.0;177.0;108.0;220.0;459.0;767.0;120.0;161.0;-18.0;13.0;-14.0;2.0;DIESEL
352.0;580.0;1062.0;1507.0;179.0;165.0;108.0;225.0;444.0;780.0;129.0;153.0;-17.0;7.0;-14.0;2.0;DIESEL
308.0;637.0;1081.0;1603.0;178.0;182.0;103.0;221.0;440.0;788.0;123.0;168.0;-17.0;7.0;0.0;5.0;DIESEL
235.0;579.0;1090.0;1502.0;184.0;221.0;130.0;251.0;478.0;818.0;134.0;178.0;-14.0;17.0;-17.0;3.0;DIESEL
308.0;624.0;1067.0;1602.0;206.0;159.0;114.0;238.0;466.0;815.0;136.0;173.0;-14.0;9.0;-11.0;3.0;DIESEL
221.0;654.0;1165.0;1566.0;211.0;185.0;117.0;232.0;460.0;838.0;124.0;193.0;-14.0;21.0;-14.0;-6.0;DIESEL
402.0;703.0;1159.0;1655.0;215.0;212.0;121.0;267.0;518.0;914.0;146.0;180.0;-20.0;13.0;-11.0;-6.0;DIESEL
400.0;688.0;1129.0;1776.0;222.0;180.0;118.0;220.0;451.0;768.0;118.0;174.0;-20.0;13.0;-11.0;-2.0;DIESEL
370.0;678.0;1112.0;1693.0;206.0;207.0;124.0;264.0;500.0;840.0;136.0;180.0;-20.0;19.0;-11.0;-2.0;DIESEL
349.0;697.0;1210.0;1625.0;220.0;191.0;115.0;228.0;468.0;830.0;139.0;186.0;-20.0;12.0;-11.0;-2.0;DIESEL
349.0;641.0;1055.0;1519.0;203.0;193.0;123.0;260.0;518.0;896.0;139.0;190.0;-19.0;16.0;-11.0;-1.0;DIESEL
221.0;648.0;1122.0;1731.0;206.0;206.0;108.0;214.0;421.0;743.0;116.0;169.0;-19.0;18.0;-12.0;4.0;DIESEL
372.0;639.0;1098.0;1517.0;194.0;225.0;108.0;226.0;434.0;772.0;128.0;177.0;-19.0;15.0;-12.0;4.0;DIESEL
156.0;684.0;1195.0;1811.0;220.0;200.0;123.0;272.0;522.0;882.0;145.0;197.0;-17.0;15.0;-7.0;5.0;DIESEL
284.0;628.0;1082.0;1638.0;202.0;191.0;118.0;236.0;477.0;816.0;123.0;172.0;-14.0;17.0;-12.0;5.0;DIESEL
