OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ETHANOL
96.0;189.0;364.0;709.0;128.0;197.0;75.0;154.0;312.0;605.0;107.0;177.0;-1.0;-5.0;7.0;2.0;ETHANOL
108.0;212.0;418.0;793.0;144.0;217.0;82.0;171.0;346.0;673.0;124.0;201.0;-4.0;-5.0;7.0;-1.0;ETHANOL
121.0;243.0;504.0;1026.0;189.0;307.0;125.0;267.0;545.0;1065.0;195.0;315.0;-5.0;-6.0;11.0;-6.0;ETHANOL
183.0;359.0;709.0;1353.0;241.0;362.0;140.0;288.0;587.0;1152.0;207.0;339.0;-4.0;-5.0;8.0;-6.0;ETHANOL
198.0;393.0;771.0;1467.0;259.0;391.0;149.0;306.0;622.0;1214.0;221.0;354.0;-4.0;-4.0;6.0;-6.0;ETHANOL
195.0;372.0;714.0;1340.0;232.0;351.0;131.0;266.0;535.0;1009.0;184.0;298.0;-4.0;-1.0;8.0;-7.0;ETHANOL
169.0;326.0;622.0;1170.0;206.0;318.0;121.0;242.0;483.0;936.0;169.0;280.0;-4.0;0.0;10.0;-3.0;ETHANOL
158.0;305.0;586.0;1113.0;196.0;304.0;117.0;238.0;472.0;904.0;163.0;271.0;0.0;0.0;14.0;-3.0;ETHANOL
174.0;365.0;756.0;1527.0;294.0;486.0;216.0;452.0;913.0;1801.0;327.0;530.0;0.0;0.0;12.0;-3.0;ETHANOL
304.0;599.0;1172.0;2227.0;390.0;590.0;246.0;501.0;1004.0;1940.0;346.0;564.0;0.0;0.0;11.0;-6.0;ETHANOL
299.0;575.0;1094.0;2037.0;350.0;523.0;209.0;420.0;835.0;1609.0;286.0;467.0;0.0;0.0;11.0;-6.0;ETHANOL
258.0;497.0;952.0;1777.0;313.0;470.0;188.0;384.0;766.0;1465.0;260.0;429.0;0.0;0.0;14.0;-6.0;ETHANOL
237.0;461.0;885.0;1657.0;289.0;446.0;172.0;347.0;698.0;1343.0;242.0;396.0;-1.0;0.0;7.0;-3.0;ETHANOL
224.0;433.0;815.0;1521.0;265.0;402.0;156.0;316.0;619.0;1186.0;209.0;341.0;-5.0;0.0;2.0;-3.0;ETHANOL
188.0;368.0;707.0;1341.0;237.0;371.0;146.0;299.0;606.0;1170.0;210.0;344.0;-5.0;0.0;2.0;-3.0;ETHANOL
202.0;396.0;763.0;1446.0;255.0;400.0;158.0;323.0;641.0;1235.0;225.0;367.0;-5.0;-2.0;2.0;-3.0;ETHANOL
205.0;396.0;754.0;1409.0;244.0;377.0;142.0;290.0;582.0;1121.0;201.0;329.0;-5.0;-2.0;2.0;-3.0;ETHANOL
183.0;359.0;687.0;1306.0;231.0;360.0;145.0;302.0;604.0;1129.0;208.0;344.0;-7.0;-2.0;2.0;-3.0;ETHANOL
198.0;393.0;768.0;1473.0;259.0;404.0;157.0;323.0;648.0;1257.0;226.0;373.0;-5.0;0.0;2.0;-2.0;ETHANOL
219.0;434.0;856.0;1641.0;295.0;460.0;186.0;392.0;793.0;1548.0;283.0;463.0;-4.0;1.0;6.0;-2.0;ETHANOL
297.0;622.0;1264.0;2489.0;451.0;679.0;289.0;588.0;1169.0;2248.0;397.0;624.0;-3.0;2.0;6.0;1.0;ETHANOL
344.0;655.0;1241.0;2335.0;410.0;618.0;262.0;549.0;1120.0;2237.0;414.0;685.0;-3.0;1.0;1.0;2.0;ETHANOL
412.0;804.0;1557.0;2931.0;502.0;754.0;337.0;687.0;1371.0;2632.0;472.0;755.0;-1.0;1.0;6.0;2.0;ETHANOL
466.0;932.0;1844.0;3560.0;638.0;979.0;487.0;998.0;2003.0;3838.0;686.0;1099.0;-3.0;1.0;1.0;2.0;ETHANOL
669.0;1275.0;2383.0;4332.0;716.0;1022.0;466.0;932.0;1844.0;3523.0;632.0;1004.0;-1.0;-3.0;1.0;2.0;ETHANOL
626.0;1209.0;2315.0;4294.0;730.0;1067.0;483.0;963.0;1874.0;3536.0;624.0;968.0;-1.0;-3.0;1.0;2.0;ETHANOL
567.0;1102.0;2110.0;3970.0;687.0;1036.0;483.0;980.0;1947.0;3738.0;668.0;1064.0;-5.0;-5.0;0.0;-2.0;ETHANOL
656.0;1281.0;2467.0;4582.0;782.0;1139.0;531.0;1055.0;2052.0;3852.0;672.0;1048.0;-5.0;-6.0;0.0;-2.0;ETHANOL
606.0;1143.0;2140.0;3892.0;656.0;955.0;419.0;836.0;1642.0;3129.0;553.0;889.0;-5.0;-6.0;4.0;-3.0;ETHANOL
529.0;1004.0;1895.0;3474.0;590.0;861.0;371.0;737.0;1441.0;2717.0;477.0;761.0;-10.0;-6.0;6.0;-4.0;ETHANOL
431.0;834.0;1580.0;2950.0;510.0;775.0;332.0;671.0;1320.0;2520.0;445.0;715.0;-6.0;-6.0;4.0;-3.0;ETHANOL
410.0;793.0;1517.0;2837.0;498.0;765.0;336.0;678.0;1336.0;2548.0;451.0;718.0;-6.0;-5.0;4.0;-3.0;ETHANOL
423.0;809.0;1534.0;2857.0;495.0;758.0;339.0;682.0;1337.0;2543.0;448.0;716.0;-10.0;-4.0;4.0;-2.0;ETHANOL
403.0;768.0;1452.0;2669.0;458.0;692.0;291.0;580.0;1138.0;2166.0;386.0;621.0;-6.0;-4.0;4.0;-2.0;ETHANOL
353.0;675.0;1272.0;2359.0;408.0;622.0;261.0;523.0;1028.0;1955.0;347.0;567.0;-6.0;-1.0;1.0;-2.0;ETHANOL
328.0;631.0;1194.0;2240.0;389.0;602.0;270.0;568.0;1182.0;2407.0;457.0;798.0;-11.0;-1.0;-1.0;-7.0;ETHANOL
577.0;1159.0;2277.0;4355.0;759.0;1136.0;564.0;1137.0;2232.0;4263.0;757.0;1188.0;-11.0;0.0;-1.0;-7.0;ETHANOL
796.0;1562.0;3022.0;5611.0;948.0;1339.0;670.0;1320.0;2543.0;4763.0;818.0;1272.0;-10.0;1.0;4.0;-7.0;ETHANOL
801.0;1533.0;2872.0;5213.0;870.0;1250.0;595.0;1163.0;2242.0;4215.0;734.0;1144.0;-10.0;0.0;1.0;-3.0;ETHANOL
678.0;1277.0;2358.0;4282.0;714.0;1031.0;462.0;913.0;1761.0;3286.0;573.0;910.0;-10.0;-1.0;1.0;-2.0;ETHANOL
524.0;991.0;1842.0;3372.0;572.0;858.0;383.0;754.0;1464.0;2779.0;486.0;781.0;-10.0;1.0;4.0;-1.0;ETHANOL
459.0;883.0;1667.0;3071.0;526.0;796.0;352.0;706.0;1385.0;2634.0;467.0;756.0;-6.0;-1.0;1.0;-2.0;ETHANOL
447.0;856.0;1627.0;3054.0;533.0;840.0;405.0;831.0;1665.0;3231.0;585.0;945.0;-10.0;-1.0;1.0;-1.0;ETHANOL
626.0;1227.0;2377.0;4507.0;801.0;1224.0;649.0;1313.0;2600.0;4952.0;877.0;1374.0;-6.0;-1.0;3.0;-1.0;ETHANOL
927.0;1788.0;3387.0;6250.0;1064.0;1533.0;809.0;1591.0;3072.0;5726.0;979.0;1503.0;-5.0;-1.0;3.0;-1.0;ETHANOL
945.0;1797.0;3360.0;6100.0;1024.0;1482.0;780.0;1557.0;3038.0;5733.0;1012.0;1574.0;-6.0;-4.0;3.0;-5.0;ETHANOL
1051.0;1984.0;3663.0;6515.0;1066.0;1480.0;716.0;1391.0;2642.0;4868.0;839.0;1297.0;-5.0;-4.0;3.0;-2.0;ETHANOL
778.0;1460.0;2700.0;4866.0;828.0;1219.0;574.0;1138.0;2198.0;4109.0;717.0;1128.0;-5.0;-4.0;1.0;-2.0;ETHANOL
687.0;1314.0;2486.0;4610.0;794.0;1171.0;569.0;1125.0;2178.0;4073.0;700.0;1100.0;-5.0;-5.0;-1.0;-5.0;ETHANOL
657.0;1244.0;2307.0;4193.0;720.0;1088.0;539.0;1075.0;2100.0;3961.0;687.0;1079.0;-6.0;-5.0;1.0;-2.0;ETHANOL
672.0;1280.0;2397.0;4376.0;731.0;1078.0;510.0;1010.0;1943.0;3683.0;646.0;1023.0;-11.0;-4.0;-1.0;-2.0;ETHANOL
642.0;1258.0;2401.0;4469.0;768.0;1154.0;564.0;1117.0;2173.0;4036.0;715.0;1119.0;-13.0;-7.0;-2.0;6.0;ETHANOL
696.0;1310.0;2428.0;4454.0;761.0;1164.0;603.0;1211.0;2352.0;4559.0;811.0;1289.0;-13.0;-4.0;-1.0;6.0;ETHANOL
847.0;1640.0;3142.0;5866.0;1032.0;1549.0;835.0;1646.0;3157.0;5873.0;1013.0;1555.0;-13.0;0.0;-2.0;8.0;ETHANOL
1026.0;1921.0;3535.0;6276.0;1028.0;1440.0;711.0;1386.0;2641.0;4901.0;841.0;1307.0;-13.0;-4.0;-4.0;9.0;ETHANOL
796.0;1492.0;2750.0;4942.0;826.0;1211.0;585.0;1157.0;2199.0;4136.0;719.0;1129.0;-13.0;0.0;-4.0;2.0;ETHANOL
680.0;1289.0;2411.0;4405.0;744.0;1114.0;538.0;1055.0;2038.0;3791.0;659.0;1036.0;-13.0;1.0;-3.0;2.0;ETHANOL
620.0;1171.0;2166.0;3962.0;676.0;1024.0;496.0;982.0;1886.0;3547.0;616.0;968.0;-13.0;1.0;-3.0;2.0;ETHANOL
580.0;1103.0;2063.0;3801.0;660.0;1011.0;493.0;986.0;1906.0;3641.0;645.0;1029.0;-12.0;1.0;-3.0;2.0;ETHANOL
643.0;1235.0;2330.0;4285.0;726.0;1074.0;512.0;1011.0;1956.0;3622.0;637.0;999.0;-11.0;1.0;0.0;0.0;ETHANOL
616.0;1169.0;2171.0;3936.0;664.0;994.0;470.0;942.0;1849.0;3536.0;628.0;1006.0;-6.0;-2.0;5.0;0.0;ETHANOL
628.0;1199.0;2252.0;4090.0;694.0;1036.0;497.0;998.0;1946.0;3671.0;653.0;1038.0;-3.0;-2.0;10.0;0.0;ETHANOL
635.0;1207.0;2254.0;4115.0;696.0;1030.0;479.0;951.0;1847.0;3462.0;601.0;955.0;-3.0;-2.0;8.0;0.0;ETHANOL
585.0;1118.0;2094.0;3815.0;644.0;968.0;446.0;885.0;1719.0;3241.0;565.0;902.0;-3.0;-2.0;8.0;0.0;ETHANOL
540.0;1030.0;1949.0;3620.0;612.0;921.0;427.0;845.0;1627.0;3063.0;536.0;852.0;-4.0;-2.0;10.0;0.0;ETHANOL
520.0;983.0;1837.0;3363.0;571.0;859.0;390.0;779.0;1526.0;2900.0;528.0;878.0;-4.0;-4.0;7.0;0.0;ETHANOL
592.0;1154.0;2216.0;4151.0;736.0;1154.0;617.0;1252.0;2489.0;4791.0;861.0;1383.0;-10.0;-5.0;2.0;1.0;ETHANOL
977.0;1860.0;3485.0;6366.0;1075.0;1580.0;859.0;1700.0;3272.0;6095.0;1051.0;1609.0;-10.0;-5.0;3.0;2.0;ETHANOL
1058.0;1968.0;3612.0;6395.0;1051.0;1476.0;723.0;1400.0;2664.0;4931.0;844.0;1296.0;-10.0;-5.0;3.0;2.0;ETHANOL
800.0;1498.0;2810.0;5135.0;872.0;1281.0;644.0;1277.0;2472.0;4704.0;820.0;1288.0;-9.0;-6.0;3.0;4.0;ETHANOL
801.0;1503.0;2769.0;4960.0;823.0;1190.0;571.0;1124.0;2160.0;4032.0;695.0;1094.0;-7.0;-4.0;5.0;4.0;ETHANOL
684.0;1297.0;2425.0;4436.0;750.0;1113.0;537.0;1064.0;2036.0;3796.0;657.0;1033.0;-4.0;-4.0;5.0;2.0;ETHANOL
630.0;1190.0;2223.0;4066.0;689.0;1038.0;493.0;970.0;1875.0;3507.0;611.0;967.0;-7.0;-4.0;1.0;2.0;ETHANOL
600.0;1143.0;2150.0;3929.0;675.0;1004.0;484.0;960.0;1867.0;3510.0;617.0;954.0;-4.0;-3.0;4.0;2.0;ETHANOL
621.0;1182.0;2206.0;4046.0;683.0;1024.0;492.0;972.0;1887.0;3542.0;621.0;984.0;-7.0;-3.0;3.0;4.0;ETHANOL
623.0;1185.0;2219.0;4079.0;690.0;1031.0;498.0;986.0;1915.0;3583.0;628.0;987.0;-7.0;-3.0;4.0;4.0;ETHANOL
600.0;1157.0;2164.0;3940.0;667.0;986.0;464.0;913.0;1771.0;3328.0;575.0;928.0;-7.0;-3.0;3.0;6.0;ETHANOL
563.0;1068.0;1992.0;3626.0;617.0;936.0;442.0;892.0;1745.0;3328.0;591.0;951.0;-7.0;-3.0;5.0;8.0;ETHANOL
597.0;1132.0;2103.0;3849.0;653.0;974.0;463.0;916.0;1777.0;3343.0;582.0;920.0;-7.0;-5.0;3.0;4.0;ETHANOL
573.0;1084.0;2018.0;3693.0;628.0;945.0;447.0;895.0;1749.0;3318.0;588.0;923.0;-6.0;-3.0;3.0;3.0;ETHANOL
633.0;1218.0;2309.0;4276.0;742.0;1121.0;552.0;1092.0;2154.0;4032.0;705.0;1108.0;-6.0;-3.0;-3.0;1.0;ETHANOL
717.0;1361.0;2572.0;4692.0;788.0;1149.0;559.0;1096.0;2108.0;3916.0;681.0;1067.0;-10.0;-5.0;-3.0;1.0;ETHANOL
