OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ETHANOL
-49.0;-101.0;-111.0;420.0;154.0;256.0;44.0;101.0;230.0;521.0;106.0;195.0;-7.0;3.0;2.0;4.0;ETHANOL
-49.0;-101.0;-111.0;420.0;206.0;532.0;207.0;473.0;532.0;1100.0;212.0;368.0;-7.0;3.0;2.0;8.0;ETHANOL
58.0;118.0;244.0;497.0;206.0;621.0;181.0;386.0;817.0;1670.0;325.0;581.0;-7.0;3.0;2.0;2.0;ETHANOL
58.0;118.0;244.0;1272.0;236.0;399.0;181.0;386.0;817.0;1670.0;325.0;581.0;-7.0;3.0;1.0;2.0;ETHANOL
155.0;316.0;641.0;1272.0;237.0;528.0;181.0;386.0;817.0;1670.0;325.0;581.0;-7.0;5.0;1.0;0.0;ETHANOL
155.0;316.0;641.0;1272.0;237.0;528.0;200.0;454.0;1005.0;2096.0;393.0;663.0;-10.0;5.0;1.0;0.0;ETHANOL
193.0;400.0;816.0;1599.0;284.0;533.0;276.0;674.0;1663.0;3891.0;393.0;663.0;-10.0;6.0;1.0;0.0;ETHANOL
193.0;400.0;816.0;1599.0;284.0;533.0;326.0;699.0;1461.0;2960.0;548.0;925.0;-10.0;5.0;1.0;2.0;ETHANOL
288.0;596.0;1201.0;2335.0;417.0;676.0;195.0;419.0;892.0;1846.0;350.0;601.0;-10.0;3.0;2.0;13.0;ETHANOL
