OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ETHANOL
18.0;36.0;77.0;150.0;26.0;42.0;12.0;26.0;54.0;106.0;18.0;28.0;10.0;2.0;7.0;0.0;ETHANOL
21.0;39.0;80.0;157.0;28.0;43.0;10.0;22.0;46.0;98.0;16.0;26.0;5.0;2.0;7.0;0.0;ETHANOL
17.0;33.0;65.0;126.0;23.0;38.0;10.0;23.0;52.0;107.0;17.0;27.0;8.0;2.0;13.0;1.0;ETHANOL
18.0;35.0;68.0;116.0;19.0;27.0;8.0;15.0;34.0;59.0;10.0;19.0;7.0;2.0;7.0;1.0;ETHANOL
13.0;25.0;48.0;92.0;16.0;23.0;8.0;16.0;35.0;53.0;8.0;14.0;6.0;2.0;11.0;1.0;ETHANOL
16.0;33.0;68.0;128.0;20.0;32.0;8.0;17.0;39.0;80.0;12.0;19.0;6.0;1.0;7.0;2.0;ETHANOL
17.0;32.0;65.0;131.0;23.0;34.0;9.0;16.0;35.0;65.0;8.0;16.0;6.0;1.0;7.0;5.0;ETHANOL
10.0;21.0;41.0;75.0;19.0;26.0;5.0;13.0;26.0;55.0;8.0;15.0;7.0;7.0;5.0;4.0;ETHANOL
9.0;18.0;38.0;80.0;15.0;23.0;5.0;12.0;24.0;55.0;9.0;15.0;5.0;7.0;12.0;4.0;ETHANOL
16.0;33.0;66.0;126.0;24.0;40.0;11.0;23.0;48.0;104.0;21.0;32.0;-4.0;-5.0;-12.0;-5.0;ETHANOL
18.0;38.0;81.0;152.0;28.0;46.0;12.0;26.0;54.0;116.0;22.0;36.0;-5.0;-5.0;-12.0;-5.0;ETHANOL
14.0;29.0;65.0;140.0;34.0;69.0;18.0;45.0;102.0;226.0;47.0;88.0;-4.0;-5.0;-11.0;-5.0;ETHANOL
44.0;88.0;181.0;351.0;65.0;107.0;30.0;67.0;149.0;311.0;61.0;113.0;-8.0;-5.0;-11.0;-5.0;ETHANOL
53.0;109.0;218.0;426.0;77.0;127.0;33.0;70.0;151.0;312.0;61.0;104.0;-3.0;-5.0;-11.0;-5.0;ETHANOL
42.0;89.0;190.0;414.0;88.0;167.0;53.0;120.0;269.0;574.0;112.0;198.0;-5.0;-5.0;-11.0;-9.0;ETHANOL
