OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;FORMIC ACID
30.0;125.0;217.0;362.0;50.0;68.0;-22.0;-35.0;-28.0;73.0;31.0;49.0;-9.0;-9.0;-1.0;-6.0;FORMIC ACID
28.0;64.0;101.0;169.0;28.0;42.0;-22.0;-35.0;-47.0;74.0;16.0;37.0;-4.0;-11.0;-1.0;-6.0;FORMIC ACID
7.0;19.0;31.0;62.0;5.0;7.0;-40.0;-79.0;-124.0;-66.0;-2.0;-4.0;10.0;-13.0;17.0;4.0;FORMIC ACID
12.0;18.0;53.0;62.0;4.0;7.0;-48.0;-88.0;-131.0;-98.0;-2.0;-4.0;10.0;-13.0;17.0;3.0;FORMIC ACID
23.0;49.0;69.0;98.0;15.0;14.0;-48.0;-88.0;-131.0;-98.0;-2.0;10.0;10.0;-5.0;28.0;11.0;FORMIC ACID
18.0;41.0;87.0;159.0;16.0;18.0;-40.0;-79.0;-124.0;-66.0;2.0;10.0;10.0;-13.0;16.0;10.0;FORMIC ACID
48.0;82.0;143.0;180.0;27.0;30.0;-48.0;-88.0;-117.0;-61.0;18.0;19.0;8.0;-12.0;11.0;5.0;FORMIC ACID
51.0;87.0;158.0;243.0;32.0;45.0;-57.0;-93.0;-117.0;76.0;18.0;30.0;11.0;-12.0;11.0;5.0;FORMIC ACID
51.0;98.0;169.0;256.0;32.0;31.0;-57.0;-88.0;-116.0;-45.0;6.0;15.0;11.0;-14.0;1.0;5.0;FORMIC ACID
30.0;65.0;105.0;243.0;32.0;22.0;-57.0;-88.0;-116.0;-45.0;6.0;15.0;11.0;-14.0;12.0;11.0;FORMIC ACID
30.0;64.0;99.0;171.0;32.0;27.0;-57.0;-88.0;-116.0;-45.0;6.0;15.0;20.0;-12.0;7.0;8.0;FORMIC ACID
47.0;97.0;156.0;255.0;34.0;38.0;-35.0;-54.0;-74.0;15.0;12.0;18.0;13.0;-11.0;7.0;21.0;FORMIC ACID
54.0;91.0;150.0;241.0;33.0;44.0;-35.0;-49.0;-64.0;34.0;11.0;26.0;19.0;-9.0;7.0;18.0;FORMIC ACID
58.0;99.0;163.0;244.0;34.0;43.0;-29.0;-42.0;-55.0;54.0;22.0;30.0;12.0;-7.0;7.0;18.0;FORMIC ACID
49.0;90.0;163.0;249.0;35.0;45.0;-27.0;-40.0;-22.0;55.0;21.0;38.0;19.0;-9.0;9.0;19.0;FORMIC ACID
64.0;116.0;210.0;363.0;50.0;58.0;-18.0;-26.0;-21.0;121.0;24.0;48.0;18.0;-7.0;5.0;13.0;FORMIC ACID
69.0;124.0;220.0;357.0;46.0;52.0;-9.0;-26.0;-22.0;88.0;18.0;49.0;22.0;-5.0;13.0;13.0;FORMIC ACID
