OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;FORMIC ACID
9.0;32.0;59.0;113.0;5.0;13.0;-8.0;-20.0;-27.0;-12.0;-3.0;-14.0;-10.0;0.0;7.0;12.0;FORMIC ACID
9.0;13.0;26.0;39.0;5.0;-6.0;-11.0;-20.0;-27.0;-12.0;-3.0;-14.0;-10.0;4.0;7.0;11.0;FORMIC ACID
9.0;13.0;26.0;35.0;-1.0;-10.0;-19.0;-36.0;-54.0;-71.0;-8.0;-14.0;-10.0;2.0;8.0;10.0;FORMIC ACID
5.0;7.0;19.0;30.0;-1.0;-10.0;-19.0;-36.0;-54.0;-71.0;-8.0;-14.0;-6.0;4.0;15.0;15.0;FORMIC ACID
9.0;8.0;19.0;35.0;-1.0;-10.0;-19.0;-36.0;-54.0;-71.0;-8.0;-14.0;-6.0;4.0;8.0;18.0;FORMIC ACID
11.0;32.0;71.0;59.0;26.0;39.0;23.0;22.0;90.0;148.0;10.0;35.0;8.0;-2.0;-10.0;10.0;FORMIC ACID
12.0;31.0;63.0;93.0;19.0;31.0;20.0;38.0;67.0;113.0;17.0;21.0;8.0;-2.0;-10.0;10.0;FORMIC ACID
12.0;27.0;51.0;121.0;20.0;34.0;20.0;38.0;67.0;113.0;17.0;30.0;13.0;-2.0;-10.0;5.0;FORMIC ACID
14.0;33.0;132.0;225.0;42.0;60.0;35.0;66.0;114.0;204.0;30.0;41.0;10.0;11.0;-6.0;6.0;FORMIC ACID
14.0;33.0;104.0;125.0;27.0;44.0;28.0;54.0;84.0;153.0;24.0;38.0;24.0;11.0;-1.0;6.0;FORMIC ACID
30.0;71.0;130.0;209.0;39.0;50.0;34.0;59.0;98.0;149.0;23.0;37.0;17.0;11.0;-1.0;7.0;FORMIC ACID
21.0;48.0;104.0;168.0;30.0;46.0;34.0;44.0;84.0;165.0;31.0;46.0;17.0;11.0;-1.0;7.0;FORMIC ACID
39.0;81.0;145.0;241.0;45.0;71.0;39.0;73.0;130.0;234.0;41.0;69.0;19.0;5.0;-3.0;7.0;FORMIC ACID
72.0;139.0;255.0;411.0;72.0;98.0;45.0;93.0;170.0;313.0;56.0;93.0;22.0;5.0;-6.0;7.0;FORMIC ACID
78.0;156.0;294.0;511.0;84.0;121.0;55.0;109.0;197.0;384.0;66.0;106.0;22.0;5.0;-6.0;8.0;FORMIC ACID
62.0;126.0;237.0;413.0;70.0;105.0;50.0;103.0;190.0;363.0;61.0;99.0;16.0;5.0;-3.0;8.0;FORMIC ACID
80.0;166.0;312.0;549.0;91.0;128.0;77.0;149.0;267.0;476.0;82.0;122.0;14.0;6.0;-10.0;8.0;FORMIC ACID
90.0;182.0;338.0;589.0;104.0;148.0;70.0;139.0;275.0;518.0;88.0;130.0;26.0;-1.0;-10.0;1.0;FORMIC ACID
101.0;201.0;376.0;661.0;109.0;164.0;76.0;146.0;283.0;542.0;92.0;147.0;22.0;-2.0;-10.0;12.0;FORMIC ACID
130.0;256.0;474.0;778.0;130.0;189.0;85.0;176.0;347.0;628.0;108.0;165.0;21.0;-4.0;-12.0;12.0;FORMIC ACID
112.0;220.0;409.0;713.0;122.0;176.0;87.0;173.0;320.0;604.0;104.0;169.0;17.0;-2.0;-18.0;8.0;FORMIC ACID
125.0;245.0;434.0;763.0;127.0;182.0;97.0;192.0;360.0;646.0;111.0;170.0;21.0;-2.0;-18.0;16.0;FORMIC ACID
115.0;226.0;411.0;740.0;126.0;183.0;91.0;183.0;344.0;652.0;106.0;166.0;20.0;10.0;-18.0;8.0;FORMIC ACID
132.0;267.0;496.0;843.0;142.0;196.0;98.0;201.0;375.0;695.0;118.0;187.0;23.0;11.0;-5.0;11.0;FORMIC ACID
139.0;273.0;505.0;871.0;145.0;206.0;111.0;214.0;404.0;717.0;118.0;191.0;20.0;10.0;-5.0;8.0;FORMIC ACID
149.0;297.0;548.0;959.0;156.0;225.0;109.0;219.0;427.0;790.0;134.0;208.0;25.0;9.0;-3.0;5.0;FORMIC ACID
163.0;326.0;610.0;1050.0;174.0;254.0;145.0;273.0;510.0;917.0;153.0;239.0;30.0;16.0;-5.0;5.0;FORMIC ACID
191.0;374.0;695.0;1193.0;189.0;275.0;144.0;277.0;502.0;894.0;151.0;230.0;20.0;7.0;-8.0;5.0;FORMIC ACID
156.0;304.0;543.0;937.0;152.0;229.0;106.0;214.0;420.0;778.0;130.0;204.0;21.0;8.0;-8.0;-1.0;FORMIC ACID
435.0;1219.0;2741.0;5466.0;945.0;1475.0;1100.0;2142.0;4030.0;7194.0;1188.0;1782.0;21.0;4.0;-4.0;-1.0;FORMIC ACID
2414.0;4447.0;7602.0;12136.0;1738.0;2254.0;1518.0;2868.0;5228.0;9176.0;1469.0;2158.0;21.0;4.0;-8.0;5.0;FORMIC ACID
2334.0;4302.0;7462.0;12062.0;1764.0;2323.0;1629.0;3012.0;5398.0;9267.0;1484.0;2174.0;12.0;4.0;-8.0;1.0;FORMIC ACID
2241.0;4123.0;7160.0;11572.0;1722.0;2296.0;1607.0;2965.0;5308.0;9103.0;1453.0;2129.0;14.0;8.0;-4.0;5.0;FORMIC ACID
