OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;GASOLINE
18.0;36.0;62.0;115.0;20.0;39.0;13.0;28.0;64.0;136.0;27.0;51.0;-11.0;-1.0;0.0;-6.0;GASOLINE
25.0;51.0;94.0;192.0;37.0;66.0;22.0;44.0;96.0;202.0;41.0;77.0;-4.0;-1.0;0.0;-6.0;GASOLINE
34.0;68.0;132.0;252.0;49.0;87.0;27.0;59.0;128.0;270.0;50.0;90.0;-4.0;-1.0;0.0;-6.0;GASOLINE
38.0;75.0;141.0;283.0;51.0;85.0;29.0;56.0;117.0;238.0;45.0;80.0;-11.0;-3.0;-6.0;-6.0;GASOLINE
35.0;69.0;129.0;235.0;42.0;69.0;24.0;46.0;93.0;178.0;33.0;59.0;-12.0;-4.0;-7.0;-8.0;GASOLINE
25.0;50.0;91.0;178.0;32.0;53.0;19.0;40.0;81.0;153.0;29.0;47.0;-12.0;-3.0;-7.0;-8.0;GASOLINE
24.0;47.0;88.0;172.0;29.0;50.0;16.0;34.0;76.0;159.0;28.0;52.0;-12.0;-3.0;-7.0;-3.0;GASOLINE
26.0;50.0;91.0;172.0;28.0;44.0;16.0;29.0;63.0;129.0;24.0;43.0;-17.0;0.0;-7.0;-6.0;GASOLINE
20.0;42.0;78.0;147.0;26.0;40.0;12.0;24.0;55.0;115.0;20.0;35.0;-12.0;6.0;-7.0;-3.0;GASOLINE
21.0;41.0;70.0;131.0;22.0;34.0;11.0;25.0;57.0;121.0;21.0;34.0;-11.0;6.0;-4.0;-3.0;GASOLINE
21.0;39.0;71.0;130.0;22.0;36.0;14.0;27.0;64.0;141.0;34.0;74.0;-10.0;1.0;-7.0;-2.0;GASOLINE
42.0;87.0;172.0;369.0;80.0;180.0;74.0;154.0;319.0;667.0;132.0;252.0;-10.0;0.0;-7.0;-2.0;GASOLINE
125.0;247.0;478.0;947.0;180.0;335.0;125.0;256.0;519.0;1032.0;194.0;351.0;-2.0;1.0;-2.0;1.0;GASOLINE
155.0;300.0;572.0;1085.0;201.0;364.0;131.0;270.0;540.0;1065.0;198.0;352.0;-2.0;-1.0;-2.0;1.0;GASOLINE
149.0;284.0;530.0;996.0;181.0;318.0;112.0;230.0;468.0;926.0;168.0;299.0;-3.0;2.0;-3.0;1.0;GASOLINE
132.0;260.0;492.0;950.0;180.0;328.0;124.0;251.0;499.0;976.0;183.0;324.0;-3.0;2.0;-3.0;-2.0;GASOLINE
138.0;272.0;532.0;1049.0;212.0;412.0;162.0;332.0;675.0;1357.0;257.0;470.0;-3.0;2.0;-4.0;-2.0;GASOLINE
230.0;451.0;869.0;1700.0;325.0;607.0;236.0;474.0;954.0;1889.0;355.0;631.0;-7.0;-2.0;-4.0;-6.0;GASOLINE
314.0;604.0;1134.0;2164.0;404.0;743.0;294.0;597.0;1181.0;2300.0;424.0;756.0;-7.0;0.0;-4.0;-7.0;GASOLINE
385.0;719.0;1337.0;2526.0;473.0;866.0;361.0;726.0;1418.0;2715.0;491.0;865.0;-7.0;0.0;-6.0;-9.0;GASOLINE
442.0;817.0;1487.0;2730.0;502.0;909.0;381.0;752.0;1463.0;2771.0;497.0;864.0;-1.0;-2.0;0.0;-7.0;GASOLINE
443.0;816.0;1492.0;2732.0;491.0;875.0;356.0;700.0;1351.0;2553.0;462.0;802.0;-1.0;-2.0;0.0;-9.0;GASOLINE
393.0;732.0;1326.0;2387.0;420.0;737.0;297.0;588.0;1158.0;2169.0;383.0;654.0;-1.0;0.0;1.0;-7.0;GASOLINE
285.0;544.0;1024.0;1938.0;358.0;652.0;264.0;524.0;1027.0;1976.0;371.0;667.0;1.0;0.0;1.0;-2.0;GASOLINE
312.0;590.0;1112.0;2168.0;414.0;794.0;330.0;648.0;1255.0;2396.0;437.0;778.0;-14.0;0.0;2.0;-2.0;GASOLINE
397.0;740.0;1342.0;2465.0;466.0;901.0;374.0;724.0;1388.0;2653.0;482.0;842.0;-14.0;0.0;-5.0;-2.0;GASOLINE
413.0;763.0;1380.0;2496.0;445.0;799.0;328.0;641.0;1234.0;2328.0;417.0;724.0;-6.0;0.0;2.0;-2.0;GASOLINE
