OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;GASOLINE
21.0;41.0;79.0;162.0;38.0;99.0;45.0;102.0;208.0;408.0;83.0;156.0;2.0;-1.0;12.0;-10.0;GASOLINE
48.0;91.0;172.0;305.0;57.0;185.0;69.0;144.0;287.0;544.0;99.0;161.0;-2.0;1.0;7.0;-9.0;GASOLINE
79.0;148.0;274.0;481.0;79.0;109.0;27.0;60.0;121.0;247.0;46.0;66.0;-2.0;-1.0;8.0;-1.0;GASOLINE
48.0;91.0;172.0;305.0;57.0;98.0;38.0;76.0;145.0;281.0;54.0;84.0;-2.0;-2.0;1.0;-2.0;GASOLINE
44.0;81.0;157.0;282.0;47.0;73.0;28.0;55.0;101.0;191.0;37.0;60.0;-2.0;-2.0;1.0;-2.0;GASOLINE
43.0;81.0;147.0;259.0;40.0;98.0;37.0;76.0;145.0;281.0;31.0;51.0;3.0;-2.0;1.0;-2.0;GASOLINE
48.0;88.0;166.0;306.0;55.0;106.0;37.0;87.0;182.0;386.0;76.0;132.0;3.0;-3.0;12.0;-2.0;GASOLINE
91.0;175.0;327.0;622.0;113.0;194.0;68.0;146.0;289.0;579.0;106.0;168.0;6.0;-2.0;8.0;-2.0;GASOLINE
93.0;174.0;319.0;611.0;105.0;161.0;59.0;115.0;218.0;404.0;73.0;114.0;4.0;-3.0;12.0;-2.0;GASOLINE
47.0;92.0;176.0;336.0;57.0;94.0;28.0;61.0;121.0;236.0;43.0;74.0;6.0;-3.0;7.0;-2.0;GASOLINE
42.0;80.0;151.0;290.0;51.0;82.0;22.0;55.0;118.0;229.0;42.0;64.0;9.0;0.0;7.0;-8.0;GASOLINE
32.0;63.0;116.0;219.0;40.0;68.0;22.0;48.0;83.0;156.0;32.0;52.0;8.0;0.0;2.0;-8.0;GASOLINE
30.0;53.0;98.0;174.0;28.0;44.0;9.0;22.0;55.0;95.0;17.0;26.0;1.0;-1.0;7.0;-8.0;GASOLINE
