OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;HYDROGEN_PEROXIDE
2.0;0.0;-35.0;34.0;5.0;-14.0;-3.0;7.0;-4.0;-8.0;-2.0;-11.0;-7.0;-3.0;0.0;-44.0;HYDROGEN_PEROXIDE
2.0;0.0;-35.0;-10.0;5.0;-14.0;-3.0;7.0;-10.0;-8.0;-2.0;-11.0;-8.0;-2.0;-31.0;17.0;HYDROGEN_PEROXIDE
2.0;-3.0;-29.0;-19.0;5.0;-14.0;-5.0;7.0;-10.0;-8.0;-1.0;-11.0;-8.0;-3.0;-31.0;17.0;HYDROGEN_PEROXIDE
57.0;-3.0;-40.0;-20.0;5.0;-14.0;-5.0;2.0;-13.0;-8.0;-1.0;-6.0;-13.0;-3.0;-1.0;14.0;HYDROGEN_PEROXIDE
60.0;-3.0;-40.0;-30.0;0.0;-11.0;-5.0;0.0;-10.0;-14.0;0.0;-6.0;-23.0;-3.0;-76.0;56.0;HYDROGEN_PEROXIDE
72.0;1.0;-19.0;29.0;2.0;-4.0;0.0;1.0;11.0;5.0;-1.0;12.0;-22.0;22.0;-71.0;101.0;HYDROGEN_PEROXIDE
72.0;6.0;-8.0;29.0;8.0;-4.0;0.0;1.0;12.0;5.0;0.0;9.0;-22.0;12.0;-107.0;84.0;HYDROGEN_PEROXIDE
35.0;0.0;6.0;51.0;5.0;0.0;-1.0;2.0;-4.0;16.0;1.0;0.0;-3.0;16.0;-26.0;32.0;HYDROGEN_PEROXIDE
30.0;12.0;7.0;45.0;9.0;0.0;-4.0;4.0;-4.0;12.0;1.0;-8.0;1.0;11.0;-19.0;42.0;HYDROGEN_PEROXIDE
23.0;12.0;7.0;45.0;6.0;-1.0;-1.0;7.0;-6.0;17.0;-1.0;-8.0;1.0;0.0;-19.0;48.0;HYDROGEN_PEROXIDE
30.0;12.0;-5.0;3.0;5.0;-3.0;0.0;4.0;-6.0;18.0;-1.0;-8.0;11.0;-13.0;60.0;-59.0;HYDROGEN_PEROXIDE
83.0;12.0;-14.0;2.0;6.0;-8.0;2.0;4.0;-6.0;2.0;-3.0;-12.0;25.0;-23.0;86.0;-77.0;HYDROGEN_PEROXIDE
85.0;8.0;-23.0;0.0;-2.0;-13.0;0.0;-1.0;-5.0;-7.0;-3.0;-13.0;32.0;-23.0;134.0;-77.0;HYDROGEN_PEROXIDE
