OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ISOPROPANOL
4353.0;8180.0;15101.0;21344.0;3660.0;4576.0;3942.0;7243.0;13255.0;23131.0;3630.0;5022.0;-3.0;5.0;-8.0;-3.0;ISOPROPANOL
4843.0;8940.0;15866.0;21341.0;3510.0;4158.0;3210.0;5831.0;10511.0;17982.0;2751.0;3780.0;-3.0;6.0;-13.0;-5.0;ISOPROPANOL
3074.0;5603.0;10014.0;16656.0;2468.0;3116.0;2284.0;4121.0;7420.0;12733.0;1973.0;2769.0;-3.0;1.0;-13.0;-7.0;ISOPROPANOL
2132.0;3773.0;6571.0;11513.0;2129.0;3395.0;2912.0;5347.0;9680.0;16723.0;2570.0;3446.0;0.0;1.0;-13.0;-8.0;ISOPROPANOL
2813.0;5142.0;9431.0;16588.0;2644.0;3566.0;2871.0;5255.0;9501.0;16316.0;2504.0;3427.0;0.0;1.0;-9.0;-8.0;ISOPROPANOL
2808.0;4867.0;8264.0;13274.0;1912.0;2444.0;1691.0;3086.0;5615.0;9882.0;1595.0;2380.0;0.0;1.0;-17.0;-8.0;ISOPROPANOL
2122.0;3893.0;6909.0;11567.0;1810.0;2578.0;1975.0;3638.0;6741.0;12031.0;1934.0;2815.0;2.0;1.0;-10.0;-8.0;ISOPROPANOL
2566.0;4696.0;8555.0;14666.0;2252.0;3016.0;2332.0;4276.0;7740.0;13527.0;2113.0;2966.0;2.0;-1.0;-9.0;-4.0;ISOPROPANOL
2568.0;4702.0;8387.0;13990.0;2066.0;2714.0;2046.0;3759.0;6857.0;12123.0;1961.0;2829.0;-3.0;-1.0;-9.0;-2.0;ISOPROPANOL
2367.0;4124.0;7129.0;11625.0;1689.0;2166.0;1449.0;2559.0;4498.0;7705.0;1208.0;1746.0;-3.0;3.0;-7.0;-4.0;ISOPROPANOL
1338.0;2286.0;3953.0;6678.0;1035.0;1482.0;1050.0;1908.0;3419.0;5999.0;979.0;1485.0;-3.0;3.0;-7.0;-4.0;ISOPROPANOL
1338.0;2491.0;4529.0;7763.0;1198.0;1652.0;1160.0;2140.0;3884.0;6846.0;1106.0;1628.0;-3.0;3.0;-5.0;1.0;ISOPROPANOL
1320.0;2352.0;4163.0;7049.0;1082.0;1499.0;1035.0;1859.0;3356.0;5844.0;932.0;1378.0;-3.0;3.0;-5.0;-5.0;ISOPROPANOL
1117.0;1992.0;3556.0;6130.0;956.0;1353.0;935.0;1688.0;3053.0;5302.0;851.0;1255.0;-5.0;1.0;-6.0;-5.0;ISOPROPANOL
984.0;1722.0;3010.0;5068.0;778.0;1094.0;720.0;1299.0;2313.0;4038.0;641.0;969.0;-8.0;1.0;-9.0;-1.0;ISOPROPANOL
755.0;1321.0;2326.0;4018.0;637.0;945.0;629.0;1152.0;2092.0;3748.0;609.0;911.0;-5.0;1.0;-6.0;-1.0;ISOPROPANOL
745.0;1326.0;2392.0;4152.0;661.0;968.0;644.0;1184.0;2178.0;3913.0;647.0;979.0;-8.0;-2.0;-9.0;-1.0;ISOPROPANOL
840.0;1555.0;2913.0;5281.0;862.0;1272.0;903.0;1692.0;3143.0;5681.0;937.0;1387.0;-8.0;-2.0;-14.0;1.0;ISOPROPANOL
1204.0;2239.0;4130.0;7304.0;1146.0;1595.0;1120.0;2052.0;3796.0;6783.0;1112.0;1619.0;-7.0;-2.0;-14.0;1.0;ISOPROPANOL
1372.0;2515.0;4567.0;7956.0;1228.0;1682.0;1178.0;2165.0;3962.0;7031.0;1124.0;1651.0;-6.0;-2.0;-6.0;1.0;ISOPROPANOL
1402.0;2546.0;4631.0;7978.0;1243.0;1706.0;1209.0;2203.0;3995.0;7059.0;1143.0;1669.0;-6.0;4.0;-12.0;1.0;ISOPROPANOL
1378.0;2509.0;4547.0;7906.0;1230.0;1696.0;1203.0;2208.0;4070.0;7277.0;1178.0;1699.0;-6.0;4.0;-10.0;-7.0;ISOPROPANOL
1432.0;2636.0;4852.0;8449.0;1321.0;1818.0;1267.0;2348.0;4326.0;7728.0;1251.0;1829.0;-7.0;4.0;-6.0;-7.0;ISOPROPANOL
1596.0;2904.0;5248.0;9066.0;1394.0;1886.0;1338.0;2421.0;4400.0;7729.0;1248.0;1819.0;-4.0;2.0;-6.0;-7.0;ISOPROPANOL
1542.0;2747.0;4906.0;8439.0;1293.0;1781.0;1242.0;2285.0;4143.0;7379.0;1197.0;1788.0;-4.0;4.0;-6.0;-6.0;ISOPROPANOL
