OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ISOPROPANOL
114.0;203.0;360.0;628.0;100.0;139.0;75.0;136.0;254.0;465.0;80.0;126.0;-5.0;-3.0;-11.0;23.0;ISOPROPANOL
162.0;291.0;525.0;889.0;142.0;206.0;128.0;237.0;415.0;714.0;119.0;183.0;-5.0;-3.0;-13.0;21.0;ISOPROPANOL
205.0;366.0;646.0;1100.0;174.0;251.0;138.0;252.0;468.0;847.0;143.0;226.0;-5.0;-3.0;-13.0;17.0;ISOPROPANOL
237.0;425.0;738.0;1268.0;201.0;285.0;180.0;325.0;569.0;986.0;164.0;253.0;-4.0;-5.0;-13.0;20.0;ISOPROPANOL
235.0;417.0;717.0;1231.0;195.0;284.0;185.0;329.0;571.0;975.0;159.0;245.0;-4.0;-5.0;-18.0;32.0;ISOPROPANOL
231.0;412.0;711.0;1215.0;192.0;284.0;180.0;325.0;578.0;987.0;160.0;251.0;-4.0;-5.0;-19.0;35.0;ISOPROPANOL
211.0;378.0;669.0;1167.0;186.0;275.0;168.0;301.0;529.0;944.0;158.0;246.0;-10.0;-4.0;-29.0;33.0;ISOPROPANOL
224.0;400.0;700.0;1201.0;191.0;285.0;166.0;307.0;544.0;992.0;168.0;256.0;-14.0;-2.0;-29.0;35.0;ISOPROPANOL
244.0;437.0;778.0;1319.0;209.0;308.0;205.0;363.0;635.0;1099.0;179.0;278.0;-14.0;2.0;-29.0;40.0;ISOPROPANOL
266.0;471.0;826.0;1420.0;223.0;325.0;207.0;375.0;666.0;1146.0;188.0;291.0;-14.0;4.0;-31.0;45.0;ISOPROPANOL
258.0;464.0;805.0;1378.0;220.0;324.0;193.0;348.0;636.0;1118.0;188.0;288.0;-14.0;3.0;-33.0;40.0;ISOPROPANOL
242.0;433.0;760.0;1292.0;207.0;304.0;199.0;357.0;626.0;1074.0;179.0;275.0;-12.0;3.0;-28.0;47.0;ISOPROPANOL
256.0;456.0;799.0;1378.0;221.0;325.0;209.0;373.0;661.0;1150.0;189.0;300.0;-6.0;5.0;-29.0;49.0;ISOPROPANOL
277.0;494.0;862.0;1479.0;233.0;342.0;229.0;406.0;709.0;1213.0;203.0;316.0;-12.0;5.0;-33.0;55.0;ISOPROPANOL
287.0;511.0;898.0;1527.0;246.0;361.0;237.0;424.0;738.0;1276.0;209.0;326.0;-11.0;7.0;-30.0;53.0;ISOPROPANOL
301.0;534.0;931.0;1585.0;249.0;366.0;247.0;436.0;761.0;1278.0;212.0;329.0;-11.0;9.0;-30.0;49.0;ISOPROPANOL
277.0;492.0;851.0;1457.0;235.0;350.0;217.0;389.0;703.0;1217.0;206.0;317.0;-11.0;6.0;-30.0;52.0;ISOPROPANOL
279.0;497.0;876.0;1489.0;238.0;343.0;236.0;415.0;736.0;1240.0;205.0;316.0;-11.0;6.0;-32.0;51.0;ISOPROPANOL
293.0;512.0;902.0;1528.0;243.0;361.0;243.0;433.0;772.0;1294.0;215.0;331.0;-11.0;4.0;-30.0;49.0;ISOPROPANOL
289.0;509.0;898.0;1540.0;244.0;360.0;217.0;396.0;703.0;1247.0;210.0;328.0;-11.0;4.0;-32.0;38.0;ISOPROPANOL
303.0;538.0;933.0;1588.0;252.0;368.0;237.0;423.0;751.0;1297.0;217.0;339.0;-11.0;4.0;-32.0;50.0;ISOPROPANOL
290.0;523.0;927.0;1637.0;282.0;467.0;302.0;567.0;1041.0;1878.0;325.0;518.0;-16.0;2.0;-32.0;32.0;ISOPROPANOL
446.0;809.0;1429.0;2476.0;399.0;588.0;370.0;673.0;1212.0;2089.0;346.0;535.0;-16.0;0.0;-29.0;41.0;ISOPROPANOL
447.0;810.0;1416.0;2447.0;391.0;574.0;365.0;659.0;1181.0;2047.0;340.0;527.0;-16.0;0.0;-29.0;41.0;ISOPROPANOL
452.0;817.0;1447.0;2508.0;403.0;602.0;378.0;697.0;1251.0;2219.0;370.0;574.0;-11.0;-2.0;-27.0;50.0;ISOPROPANOL
469.0;849.0;1518.0;2696.0;441.0;701.0;434.0;812.0;1498.0;2712.0;466.0;753.0;-11.0;-5.0;-27.0;34.0;ISOPROPANOL
601.0;1113.0;2039.0;3642.0;608.0;922.0;566.0;1051.0;1931.0;3468.0;600.0;964.0;-11.0;-4.0;-29.0;42.0;ISOPROPANOL
751.0;1368.0;2443.0;4262.0;686.0;986.0;576.0;1074.0;1942.0;3423.0;568.0;880.0;-11.0;-6.0;-27.0;28.0;ISOPROPANOL
642.0;1165.0;2057.0;3536.0;574.0;846.0;540.0;991.0;1790.0;3120.0;512.0;805.0;-11.0;-6.0;-27.0;40.0;ISOPROPANOL
631.0;1133.0;2001.0;3434.0;548.0;813.0;494.0;906.0;1640.0;2873.0;473.0;733.0;-7.0;-6.0;-33.0;38.0;ISOPROPANOL
