OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;ISOPROPANOL
133.0;259.0;492.0;927.0;159.0;236.0;115.0;224.0;446.0;858.0;151.0;239.0;-12.0;-7.0;-2.0;0.0;ISOPROPANOL
167.0;319.0;597.0;1112.0;187.0;280.0;137.0;270.0;529.0;1014.0;177.0;271.0;-11.0;-7.0;-2.0;0.0;ISOPROPANOL
179.0;340.0;625.0;1150.0;193.0;284.0;129.0;251.0;486.0;929.0;160.0;250.0;-11.0;-7.0;1.0;0.0;ISOPROPANOL
149.0;275.0;510.0;925.0;153.0;229.0;103.0;194.0;377.0;703.0;122.0;193.0;-11.0;-7.0;1.0;6.0;ISOPROPANOL
113.0;208.0;387.0;698.0;118.0;177.0;81.0;150.0;300.0;561.0;96.0;154.0;-8.0;-7.0;1.0;4.0;ISOPROPANOL
92.0;171.0;314.0;567.0;92.0;139.0;60.0;112.0;214.0;394.0;67.0;101.0;-11.0;-4.0;-2.0;6.0;ISOPROPANOL
60.0;108.0;196.0;358.0;59.0;87.0;37.0;66.0;122.0;231.0;37.0;56.0;-11.0;-4.0;-5.0;4.0;ISOPROPANOL
35.0;61.0;112.0;208.0;33.0;47.0;33.0;61.0;122.0;231.0;18.0;26.0;-11.0;-9.0;-8.0;6.0;ISOPROPANOL
35.0;61.0;112.0;228.0;39.0;64.0;33.0;61.0;122.0;231.0;15.0;26.0;-7.0;-5.0;-8.0;2.0;ISOPROPANOL
