OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;KEROSENE
162.0;297.0;552.0;1029.0;175.0;264.0;118.0;229.0;432.0;798.0;140.0;212.0;2.0;-4.0;-3.0;-1.0;KEROSENE
166.0;298.0;537.0;968.0;158.0;223.0;99.0;193.0;353.0;660.0;112.0;167.0;2.0;1.0;-4.0;-1.0;KEROSENE
149.0;267.0;476.0;855.0;134.0;180.0;99.0;136.0;251.0;495.0;86.0;125.0;1.0;7.0;-9.0;-1.0;KEROSENE
150.0;271.0;504.0;926.0;153.0;216.0;92.0;185.0;354.0;684.0;120.0;186.0;1.0;7.0;-9.0;-1.0;KEROSENE
181.0;334.0;620.0;1159.0;196.0;304.0;143.0;282.0;536.0;1004.0;181.0;287.0;3.0;11.0;-8.0;-1.0;KEROSENE
244.0;449.0;843.0;1578.0;272.0;421.0;215.0;411.0;761.0;1405.0;245.0;386.0;2.0;7.0;-9.0;-2.0;KEROSENE
300.0;547.0;1009.0;1854.0;311.0;469.0;239.0;453.0;825.0;1514.0;258.0;398.0;3.0;9.0;-8.0;-2.0;KEROSENE
292.0;526.0;951.0;1740.0;286.0;423.0;213.0;405.0;751.0;1402.0;238.0;366.0;2.0;7.0;-8.0;1.0;KEROSENE
290.0;534.0;993.0;1838.0;317.0;524.0;274.0;529.0;1001.0;1879.0;328.0;535.0;2.0;22.0;-8.0;1.0;KEROSENE
415.0;761.0;1412.0;2625.0;467.0;768.0;426.0;803.0;1513.0;2777.0;479.0;768.0;2.0;19.0;-6.0;1.0;KEROSENE
577.0;1053.0;1937.0;3567.0;627.0;1000.0;590.0;1101.0;2013.0;3624.0;614.0;966.0;-6.0;12.0;-6.0;3.0;KEROSENE
728.0;1309.0;2367.0;4278.0;728.0;1146.0;666.0;1226.0;2241.0;4090.0;686.0;1080.0;6.0;12.0;-6.0;3.0;KEROSENE
821.0;1468.0;2641.0;4726.0;803.0;1248.0;739.0;1352.0;2458.0;4411.0;741.0;1170.0;3.0;4.0;-6.0;3.0;KEROSENE
872.0;1550.0;2809.0;5002.0;844.0;1318.0;792.0;1439.0;2611.0;4660.0;775.0;1215.0;5.0;10.0;-6.0;6.0;KEROSENE
