OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;KEROSENE
23.0;-1.0;28.0;-15.0;16.0;-1.0;14.0;16.0;39.0;80.0;15.0;26.0;-12.0;-2.0;2.0;26.0;KEROSENE
57.0;-1.0;28.0;-15.0;16.0;-1.0;14.0;16.0;57.0;80.0;15.0;26.0;-23.0;1.0;2.0;14.0;KEROSENE
68.0;16.0;74.0;113.0;16.0;17.0;19.0;46.0;133.0;80.0;15.0;26.0;-23.0;-2.0;2.0;21.0;KEROSENE
88.0;16.0;45.0;113.0;18.0;30.0;14.0;45.0;109.0;80.0;30.0;46.0;-25.0;-2.0;-1.0;24.0;KEROSENE
78.0;28.0;45.0;127.0;15.0;17.0;10.0;18.0;50.0;79.0;24.0;27.0;-23.0;-2.0;-10.0;21.0;KEROSENE
53.0;11.0;45.0;127.0;18.0;17.0;10.0;18.0;52.0;80.0;24.0;27.0;-23.0;-2.0;-10.0;16.0;KEROSENE
53.0;11.0;45.0;127.0;18.0;17.0;10.0;18.0;52.0;80.0;24.0;27.0;-15.0;-2.0;-10.0;3.0;KEROSENE
17.0;11.0;69.0;205.0;44.0;37.0;29.0;24.0;130.0;234.0;46.0;27.0;-17.0;-14.0;-10.0;3.0;KEROSENE
17.0;11.0;117.0;192.0;43.0;24.0;22.0;40.0;104.0;181.0;32.0;47.0;-17.0;-14.0;-10.0;10.0;KEROSENE
17.0;11.0;117.0;205.0;34.0;28.0;16.0;24.0;84.0;123.0;19.0;27.0;-27.0;-8.0;-10.0;26.0;KEROSENE
16.0;14.0;42.0;120.0;10.0;7.0;10.0;14.0;38.0;48.0;13.0;24.0;-17.0;-8.0;-2.0;10.0;KEROSENE
32.0;6.0;33.0;35.0;14.0;7.0;7.0;14.0;31.0;55.0;13.0;20.0;-17.0;-2.0;-6.0;28.0;KEROSENE
21.0;14.0;33.0;35.0;13.0;7.0;7.0;14.0;37.0;63.0;13.0;24.0;-26.0;2.0;-2.0;28.0;KEROSENE
