OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;LIGHTER_FLUID
75.0;71.0;98.0;80.0;11.0;31.0;-31.0;-1.0;-3.0;82.0;16.0;25.0;7.0;5.0;10.0;6.0;LIGHTER_FLUID
103.0;71.0;98.0;94.0;21.0;41.0;-31.0;-1.0;-3.0;179.0;37.0;38.0;8.0;7.0;13.0;7.0;LIGHTER_FLUID
112.0;135.0;182.0;173.0;39.0;55.0;-11.0;19.0;104.0;217.0;27.0;56.0;7.0;7.0;15.0;0.0;LIGHTER_FLUID
90.0;104.0;182.0;165.0;39.0;44.0;-8.0;40.0;104.0;176.0;42.0;54.0;7.0;7.0;9.0;0.0;LIGHTER_FLUID
168.0;202.0;288.0;245.0;53.0;75.0;14.0;208.0;104.0;368.0;59.0;61.0;6.0;4.0;9.0;-5.0;LIGHTER_FLUID
102.0;146.0;208.0;220.0;29.0;23.0;26.0;36.0;43.0;103.0;17.0;39.0;3.0;12.0;-2.0;0.0;LIGHTER_FLUID
131.0;164.0;251.0;291.0;41.0;38.0;43.0;58.0;76.0;158.0;32.0;49.0;5.0;7.0;-1.0;0.0;LIGHTER_FLUID
152.0;246.0;339.0;353.0;55.0;53.0;66.0;76.0;88.0;173.0;45.0;56.0;3.0;6.0;-1.0;0.0;LIGHTER_FLUID
90.0;130.0;205.0;270.0;40.0;50.0;44.0;76.0;88.0;145.0;27.0;53.0;5.0;6.0;-1.0;0.0;LIGHTER_FLUID
