OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;LIGHTER_FLUID
90.0;163.0;290.0;497.0;83.0;135.0;53.0;103.0;180.0;323.0;60.0;107.0;3.0;-3.0;-3.0;2.0;LIGHTER_FLUID
99.0;179.0;318.0;558.0;97.0;164.0;69.0;132.0;245.0;425.0;78.0;134.0;6.0;-3.0;-7.0;-4.0;LIGHTER_FLUID
114.0;207.0;360.0;614.0;105.0;176.0;69.0;129.0;243.0;433.0;78.0;132.0;5.0;-3.0;-7.0;-4.0;LIGHTER_FLUID
99.0;181.0;319.0;576.0;100.0;179.0;73.0;144.0;269.0;503.0;90.0;152.0;5.0;-3.0;-7.0;-4.0;LIGHTER_FLUID
127.0;235.0;415.0;717.0;124.0;217.0;89.0;179.0;326.0;586.0;106.0;180.0;6.0;-4.0;-5.0;-4.0;LIGHTER_FLUID
140.0;261.0;455.0;786.0;135.0;232.0;99.0;195.0;370.0;652.0;116.0;200.0;10.0;-3.0;-5.0;-4.0;LIGHTER_FLUID
158.0;290.0;517.0;887.0;149.0;257.0;110.0;219.0;418.0;752.0;131.0;223.0;10.0;-4.0;-5.0;-3.0;LIGHTER_FLUID
168.0;310.0;547.0;955.0;161.0;274.0;121.0;237.0;454.0;816.0;145.0;242.0;10.0;-3.0;-5.0;-3.0;LIGHTER_FLUID
179.0;317.0;547.0;908.0;149.0;244.0;94.0;181.0;325.0;573.0;101.0;176.0;9.0;-3.0;-5.0;-2.0;LIGHTER_FLUID
122.0;227.0;394.0;694.0;123.0;220.0;93.0;180.0;338.0;576.0;99.0;163.0;10.0;-3.0;0.0;-3.0;LIGHTER_FLUID
96.0;180.0;322.0;570.0;101.0;195.0;83.0;161.0;285.0;476.0;86.0;160.0;9.0;-1.0;-9.0;-2.0;LIGHTER_FLUID
98.0;184.0;318.0;551.0;97.0;179.0;76.0;136.0;246.0;410.0;75.0;129.0;5.0;0.0;-8.0;2.0;LIGHTER_FLUID
79.0;145.0;255.0;429.0;74.0;144.0;56.0;108.0;193.0;310.0;54.0;94.0;9.0;0.0;0.0;2.0;LIGHTER_FLUID
56.0;109.0;185.0;310.0;54.0;112.0;46.0;86.0;163.0;270.0;45.0;84.0;5.0;0.0;-4.0;-1.0;LIGHTER_FLUID
60.0;116.0;189.0;310.0;51.0;104.0;44.0;81.0;143.0;225.0;39.0;68.0;13.0;0.0;-8.0;-1.0;LIGHTER_FLUID
53.0;100.0;168.0;267.0;45.0;91.0;36.0;71.0;130.0;195.0;36.0;65.0;7.0;0.0;-5.0;-1.0;LIGHTER_FLUID
56.0;108.0;175.0;278.0;46.0;91.0;43.0;79.0;128.0;195.0;32.0;59.0;9.0;2.0;-4.0;-1.0;LIGHTER_FLUID
57.0;110.0;181.0;283.0;46.0;96.0;43.0;80.0;135.0;214.0;36.0;68.0;11.0;5.0;-5.0;-1.0;LIGHTER_FLUID
62.0;122.0;205.0;325.0;53.0;104.0;49.0;87.0;161.0;258.0;46.0;79.0;0.0;5.0;-8.0;2.0;LIGHTER_FLUID
70.0;133.0;232.0;364.0;60.0;115.0;53.0;99.0;176.0;271.0;50.0;93.0;9.0;0.0;-5.0;4.0;LIGHTER_FLUID
79.0;150.0;260.0;415.0;69.0;125.0;55.0;109.0;203.0;321.0;57.0;95.0;3.0;-1.0;-4.0;2.0;LIGHTER_FLUID
4.0;17.0;58.0;177.0;35.0;81.0;36.0;75.0;152.0;304.0;60.0;116.0;7.0;-5.0;2.0;-11.0;LIGHTER_FLUID
21.0;47.0;116.0;255.0;48.0;90.0;38.0;82.0;160.0;316.0;59.0;106.0;14.0;-8.0;2.0;-11.0;LIGHTER_FLUID
22.0;51.0;113.0;256.0;48.0;86.0;32.0;75.0;158.0;332.0;65.0;107.0;15.0;-8.0;5.0;-12.0;LIGHTER_FLUID
51.0;104.0;208.0;394.0;62.0;91.0;34.0;71.0;147.0;285.0;53.0;88.0;14.0;-4.0;2.0;-12.0;LIGHTER_FLUID
0.0;1.0;0.0;-2.0;1.0;0.0;1.0;-1.0;-3.0;-1.0;0.0;-1.0;1.0;1.0;-4.0;0.0;LIGHTER_FLUID
0.0;2.0;2.0;-2.0;1.0;2.0;1.0;0.0;5.0;8.0;1.0;2.0;9.0;3.0;-4.0;0.0;LIGHTER_FLUID
0.0;1.0;0.0;-2.0;1.0;2.0;1.0;-1.0;-3.0;-1.0;0.0;-1.0;21.0;7.0;16.0;0.0;LIGHTER_FLUID
