OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;METHANE
6.0;7.0;4.0;23.0;0.0;-5.0;84.0;129.0;173.0;133.0;5.0;-2.0;0.0;6.0;2.0;-9.0;METHANE
2.0;1.0;-6.0;-3.0;0.0;-3.0;-32.0;-52.0;-63.0;-48.0;-3.0;-3.0;8.0;4.0;-1.0;2.0;METHANE
8.0;9.0;21.0;24.0;3.0;0.0;7.0;-2.0;-15.0;-3.0;-4.0;5.0;-3.0;11.0;5.0;11.0;METHANE
30.0;31.0;85.0;158.0;18.0;25.0;40.0;71.0;134.0;148.0;14.0;11.0;-9.0;-7.0;-2.0;-17.0;METHANE
16.0;34.0;85.0;158.0;12.0;20.0;40.0;71.0;134.0;148.0;10.0;14.0;-9.0;-7.0;-3.0;-31.0;METHANE
673.0;1193.0;2062.0;3458.0;509.0;711.0;566.0;989.0;1687.0;2786.0;435.0;644.0;-5.0;-7.0;-3.0;-31.0;METHANE
656.0;1134.0;1888.0;3155.0;485.0;719.0;553.0;1015.0;1836.0;3200.0;519.0;778.0;-3.0;-7.0;-3.0;-31.0;METHANE
948.0;1647.0;2752.0;4562.0;692.0;975.0;793.0;1397.0;2393.0;3905.0;604.0;873.0;-9.0;-7.0;-7.0;-28.0;METHANE
796.0;1381.0;2319.0;3853.0;587.0;854.0;701.0;1232.0;2101.0;3459.0;516.0;744.0;-10.0;-7.0;-7.0;-17.0;METHANE
663.0;1150.0;1940.0;3242.0;498.0;742.0;534.0;947.0;1680.0;2859.0;460.0;676.0;-10.0;-6.0;-4.0;-12.0;METHANE
617.0;1072.0;1822.0;3078.0;473.0;720.0;621.0;1087.0;1807.0;2939.0;449.0;660.0;-10.0;-5.0;-4.0;-11.0;METHANE
572.0;997.0;1676.0;2816.0;437.0;656.0;460.0;853.0;1506.0;2582.0;409.0;598.0;-11.0;1.0;-4.0;-10.0;METHANE
458.0;799.0;1354.0;2304.0;368.0;564.0;425.0;762.0;1324.0;2217.0;355.0;529.0;-10.0;1.0;-1.0;-10.0;METHANE
544.0;958.0;1625.0;2759.0;423.0;649.0;483.0;865.0;1556.0;2648.0;418.0;604.0;-8.0;-4.0;-1.0;-11.0;METHANE
539.0;935.0;1608.0;2708.0;418.0;624.0;533.0;941.0;1634.0;2642.0;403.0;595.0;-3.0;-4.0;2.0;-19.0;METHANE
627.0;1108.0;1895.0;3254.0;522.0;809.0;639.0;1189.0;2175.0;3832.0;639.0;979.0;-8.0;-4.0;2.0;-19.0;METHANE
1996.0;3423.0;5688.0;9128.0;1339.0;1840.0;1510.0;2695.0;4649.0;7777.0;1219.0;1787.0;-3.0;-10.0;-1.0;-19.0;METHANE
2306.0;3969.0;6604.0;10553.0;1562.0;2142.0;1655.0;2907.0;5035.0;8481.0;1323.0;1907.0;-3.0;-5.0;2.0;-19.0;METHANE
1822.0;3120.0;5223.0;8487.0;1298.0;1865.0;1572.0;2729.0;4596.0;7499.0;1156.0;1666.0;-4.0;-5.0;-2.0;-18.0;METHANE
1503.0;2592.0;4333.0;7138.0;1106.0;1628.0;1415.0;2439.0;4116.0;6790.0;1042.0;1517.0;-5.0;-5.0;-3.0;-18.0;METHANE
