OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;METHANE
136.0;173.0;290.0;440.0;26.0;108.0;36.0;7.0;58.0;183.0;-25.0;19.0;0.0;-6.0;-16.0;-9.0;METHANE
119.0;117.0;213.0;403.0;25.0;63.0;59.0;9.0;58.0;164.0;-25.0;19.0;0.0;-6.0;-19.0;-10.0;METHANE
119.0;142.0;183.0;345.0;68.0;108.0;73.0;9.0;58.0;164.0;-20.0;19.0;6.0;-4.0;-26.0;-9.0;METHANE
203.0;228.0;474.0;608.0;100.0;128.0;87.0;36.0;94.0;164.0;-18.0;27.0;6.0;-1.0;-22.0;-9.0;METHANE
167.0;228.0;474.0;482.0;100.0;109.0;140.0;266.0;456.0;774.0;60.0;142.0;6.0;5.0;-22.0;-9.0;METHANE
353.0;516.0;932.0;1433.0;220.0;331.0;357.0;547.0;972.0;1707.0;219.0;331.0;2.0;6.0;-22.0;-10.0;METHANE
367.0;786.0;1439.0;2369.0;332.0;439.0;419.0;691.0;1170.0;2060.0;291.0;398.0;3.0;1.0;-22.0;-7.0;METHANE
305.0;868.0;1527.0;2360.0;343.0;469.0;455.0;744.0;1301.0;2096.0;307.0;416.0;3.0;0.0;-16.0;-7.0;METHANE
626.0;952.0;1736.0;2886.0;397.0;556.0;489.0;766.0;1338.0;2336.0;306.0;459.0;3.0;-6.0;-16.0;-7.0;METHANE
584.0;921.0;1600.0;2526.0;358.0;487.0;511.0;793.0;1326.0;2369.0;301.0;441.0;2.0;-6.0;-19.0;-7.0;METHANE
457.0;995.0;1748.0;2654.0;375.0;535.0;510.0;799.0;1318.0;2281.0;323.0;469.0;2.0;-6.0;-26.0;-7.0;METHANE
461.0;970.0;1647.0;2532.0;360.0;520.0;469.0;763.0;1265.0;2324.0;228.0;427.0;1.0;-7.0;-19.0;-1.0;METHANE
612.0;947.0;1538.0;2450.0;385.0;555.0;435.0;748.0;1229.0;2232.0;289.0;435.0;-2.0;-6.0;-21.0;-1.0;METHANE
530.0;929.0;1619.0;2465.0;355.0;469.0;471.0;771.0;1316.0;2220.0;298.0;391.0;-2.0;-7.0;-19.0;-12.0;METHANE
419.0;920.0;1545.0;2508.0;342.0;494.0;479.0;777.0;1186.0;2217.0;298.0;426.0;-2.0;-7.0;-21.0;-1.0;METHANE
484.0;1018.0;1793.0;2684.0;392.0;522.0;481.0;771.0;1309.0;2251.0;303.0;474.0;-2.0;-7.0;-12.0;-1.0;METHANE
438.0;983.0;1670.0;2652.0;373.0;523.0;474.0;799.0;1325.0;2161.0;295.0;464.0;0.0;-1.0;-21.0;2.0;METHANE
470.0;898.0;1473.0;2291.0;374.0;484.0;504.0;753.0;1318.0;2269.0;289.0;428.0;0.0;-7.0;-24.0;-3.0;METHANE
475.0;935.0;1592.0;2401.0;348.0;504.0;488.0;782.0;1332.0;2244.0;297.0;452.0;-4.0;-7.0;-24.0;-3.0;METHANE
412.0;976.0;1554.0;2389.0;368.0;522.0;475.0;804.0;1364.0;2384.0;273.0;448.0;-5.0;-1.0;-24.0;-4.0;METHANE
