OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;NITROMETHANE
-9.0;-17.0;-34.0;-48.0;-7.0;-12.0;-16.0;-28.0;-44.0;-72.0;-6.0;-15.0;-17.0;-8.0;-2.0;-10.0;NITROMETHANE
-7.0;-19.0;-24.0;-56.0;0.0;-10.0;-17.0;-15.0;-31.0;-87.0;-17.0;0.0;0.0;-3.0;2.0;2.0;NITROMETHANE
125.0;195.0;319.0;501.0;68.0;85.0;68.0;101.0;185.0;296.0;45.0;74.0;-2.0;-2.0;0.0;-1.0;NITROMETHANE
68.0;107.0;178.0;266.0;36.0;55.0;55.0;78.0;141.0;201.0;32.0;53.0;-2.0;-2.0;0.0;-4.0;NITROMETHANE
78.0;131.0;222.0;347.0;54.0;78.0;70.0;110.0;197.0;317.0;51.0;79.0;-2.0;-2.0;-1.0;-2.0;NITROMETHANE
63.0;107.0;75.0;317.0;49.0;65.0;70.0;125.0;225.0;470.0;92.0;72.0;10.0;-2.0;-2.0;17.0;NITROMETHANE
156.0;257.0;443.0;781.0;124.0;173.0;157.0;288.0;553.0;1012.0;118.0;226.0;-3.0;-1.0;-6.0;1.0;NITROMETHANE
228.0;408.0;750.0;1416.0;258.0;458.0;304.0;565.0;1033.0;1911.0;318.0;491.0;-4.0;-1.0;-6.0;1.0;NITROMETHANE
330.0;575.0;1026.0;1840.0;304.0;442.0;261.0;467.0;848.0;1461.0;236.0;356.0;-4.0;2.0;-3.0;1.0;NITROMETHANE
238.0;415.0;749.0;1359.0;230.0;361.0;205.0;391.0;712.0;1269.0;210.0;329.0;-3.0;2.0;-3.0;1.0;NITROMETHANE
238.0;422.0;774.0;1468.0;266.0;454.0;309.0;558.0;1043.0;1893.0;324.0;525.0;-3.0;2.0;-3.0;1.0;NITROMETHANE
