OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;NITROMETHANE
681.0;849.0;1663.0;1732.0;-273.0;-1440.0;-789.0;-1629.0;-3744.0;-7521.0;-1162.0;-1250.0;-8.0;-6.0;8.0;2.0;NITROMETHANE
390.0;849.0;1663.0;3677.0;-477.0;-1440.0;-789.0;-1629.0;-3744.0;-7521.0;-1162.0;-1250.0;6.0;-6.0;22.0;3.0;NITROMETHANE
390.0;849.0;1663.0;3677.0;-477.0;-1440.0;-789.0;-1629.0;-3744.0;-7521.0;-1162.0;-1250.0;3.0;-5.0;9.0;3.0;NITROMETHANE
390.0;849.0;1182.0;3677.0;-477.0;-1829.0;-1071.0;-2168.0;-4650.0;-8710.0;-1181.0;-1166.0;6.0;-5.0;9.0;12.0;NITROMETHANE
1415.0;1259.0;7676.0;14274.0;1636.0;1422.0;466.0;2353.0;5286.0;8525.0;1044.0;933.0;19.0;-10.0;-36.0;7.0;NITROMETHANE
788.0;1259.0;2892.0;5069.0;683.0;772.0;466.0;1123.0;2523.0;5118.0;852.0;1050.0;12.0;-10.0;-48.0;8.0;NITROMETHANE
865.0;1156.0;2153.0;3628.0;620.0;583.0;515.0;1123.0;2523.0;5118.0;852.0;933.0;13.0;-10.0;-41.0;7.0;NITROMETHANE
788.0;1156.0;2351.0;5551.0;573.0;539.0;515.0;984.0;1753.0;5118.0;852.0;1050.0;13.0;-6.0;-36.0;8.0;NITROMETHANE
721.0;891.0;1917.0;4340.0;708.0;1210.0;995.0;984.0;5068.0;2926.0;387.0;612.0;15.0;-6.0;-36.0;7.0;NITROMETHANE
721.0;891.0;4648.0;7338.0;1048.0;2129.0;1296.0;2586.0;5089.0;8630.0;1144.0;1148.0;18.0;-4.0;-37.0;11.0;NITROMETHANE
