OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;NITROMETHANE
18.0;26.0;45.0;31.0;3.0;-3.0;14.0;11.0;1.0;-40.0;-10.0;-6.0;-2.0;4.0;0.0;-3.0;NITROMETHANE
27.0;31.0;44.0;40.0;4.0;-7.0;8.0;-4.0;-22.0;-61.0;-12.0;-11.0;-2.0;5.0;1.0;-5.0;NITROMETHANE
19.0;27.0;35.0;46.0;7.0;12.0;6.0;6.0;9.0;25.0;4.0;-5.0;-4.0;-4.0;-9.0;0.0;NITROMETHANE
13.0;21.0;29.0;28.0;2.0;8.0;3.0;3.0;9.0;25.0;3.0;-5.0;-4.0;-6.0;-10.0;0.0;NITROMETHANE
17.0;21.0;29.0;28.0;2.0;8.0;6.0;6.0;13.0;25.0;3.0;-5.0;-5.0;-4.0;-11.0;0.0;NITROMETHANE
17.0;18.0;29.0;28.0;2.0;8.0;13.0;9.0;13.0;40.0;3.0;-2.0;-6.0;-4.0;-11.0;2.0;NITROMETHANE
18.0;25.0;47.0;54.0;14.0;45.0;32.0;58.0;124.0;246.0;50.0;21.0;-6.0;-8.0;-11.0;5.0;NITROMETHANE
33.0;58.0;101.0;132.0;22.0;89.0;55.0;88.0;153.0;280.0;45.0;21.0;-6.0;-8.0;-10.0;4.0;NITROMETHANE
49.0;91.0;149.0;229.0;37.0;50.0;32.0;44.0;93.0;153.0;24.0;21.0;-6.0;-3.0;-8.0;6.0;NITROMETHANE
33.0;58.0;101.0;132.0;22.0;36.0;28.0;40.0;67.0;146.0;21.0;20.0;-6.0;3.0;-5.0;4.0;NITROMETHANE
40.0;64.0;104.0;160.0;22.0;29.0;21.0;33.0;54.0;68.0;14.0;-4.0;-10.0;3.0;-5.0;7.0;NITROMETHANE
20.0;30.0;54.0;52.0;6.0;13.0;21.0;21.0;29.0;44.0;4.0;-4.0;-10.0;3.0;-5.0;3.0;NITROMETHANE
26.0;40.0;54.0;62.0;0.0;5.0;10.0;15.0;24.0;44.0;1.0;-9.0;-5.0;3.0;-5.0;1.0;NITROMETHANE
16.0;22.0;28.0;43.0;0.0;2.0;12.0;18.0;20.0;44.0;1.0;-10.0;-10.0;3.0;-5.0;1.0;NITROMETHANE
18.0;21.0;49.0;18.0;0.0;0.0;12.0;18.0;24.0;54.0;1.0;-13.0;-5.0;6.0;1.0;0.0;NITROMETHANE
23.0;33.0;50.0;9.0;-1.0;0.0;15.0;18.0;20.0;45.0;0.0;-13.0;2.0;6.0;1.0;2.0;NITROMETHANE
30.0;40.0;49.0;18.0;-1.0;0.0;10.0;15.0;18.0;15.0;2.0;-12.0;2.0;6.0;-7.0;-3.0;NITROMETHANE
16.0;26.0;26.0;9.0;1.0;0.0;15.0;11.0;13.0;15.0;2.0;-12.0;1.0;3.0;-7.0;-2.0;NITROMETHANE
13.0;21.0;28.0;12.0;2.0;2.0;15.0;15.0;18.0;11.0;2.0;-8.0;1.0;-4.0;-7.0;-2.0;NITROMETHANE
12.0;20.0;28.0;12.0;6.0;6.0;15.0;11.0;39.0;48.0;4.0;-6.0;1.0;-4.0;-7.0;3.0;NITROMETHANE
28.0;41.0;55.0;86.0;21.0;56.0;42.0;65.0;133.0;264.0;50.0;78.0;-4.0;-4.0;-1.0;1.0;NITROMETHANE
74.0;132.0;238.0;437.0;77.0;114.0;69.0;110.0;206.0;417.0;67.0;91.0;-5.0;-4.0;2.0;1.0;NITROMETHANE
79.0;139.0;227.0;368.0;61.0;86.0;47.0;83.0;153.0;286.0;40.0;78.0;-5.0;-3.0;2.0;1.0;NITROMETHANE
64.0;107.0;167.0;278.0;46.0;76.0;58.0;94.0;159.0;283.0;48.0;66.0;0.0;-3.0;0.0;0.0;NITROMETHANE
70.0;123.0;204.0;377.0;64.0;98.0;66.0;116.0;206.0;401.0;71.0;105.0;0.0;-4.0;-3.0;0.0;NITROMETHANE
89.0;162.0;277.0;492.0;92.0;150.0;85.0;159.0;282.0;519.0;93.0;140.0;0.0;-4.0;-3.0;-2.0;NITROMETHANE
113.0;199.0;345.0;616.0;102.0;158.0;95.0;164.0;299.0;511.0;91.0;136.0;0.0;-3.0;-3.0;-2.0;NITROMETHANE
111.0;198.0;341.0;576.0;98.0;149.0;101.0;177.0;307.0;551.0;91.0;131.0;-2.0;4.0;-3.0;-2.0;NITROMETHANE
119.0;204.0;334.0;588.0;93.0;145.0;95.0;156.0;276.0;495.0;81.0;115.0;-2.0;2.0;-6.0;0.0;NITROMETHANE
106.0;186.0;309.0;528.0;89.0;138.0;88.0;146.0;254.0;446.0;74.0;106.0;-2.0;7.0;-6.0;-1.0;NITROMETHANE
96.0;162.0;270.0;450.0;75.0;108.0;74.0;124.0;205.0;371.0;57.0;88.0;-6.0;2.0;-6.0;-1.0;NITROMETHANE
82.0;146.0;234.0;390.0;61.0;92.0;66.0;106.0;187.0;325.0;55.0;71.0;-7.0;1.0;-7.0;-2.0;NITROMETHANE
79.0;134.0;215.0;361.0;56.0;96.0;75.0;118.0;206.0;337.0;59.0;65.0;-6.0;1.0;-6.0;-1.0;NITROMETHANE
81.0;129.0;217.0;353.0;49.0;81.0;64.0;101.0;167.0;307.0;49.0;61.0;-6.0;0.0;-1.0;-1.0;NITROMETHANE
81.0;133.0;212.0;336.0;55.0;91.0;79.0;134.0;220.0;404.0;70.0;108.0;-5.0;-2.0;-1.0;1.0;NITROMETHANE
102.0;180.0;298.0;541.0;88.0;138.0;98.0;172.0;304.0;515.0;84.0;128.0;-4.0;0.0;-1.0;4.0;NITROMETHANE
108.0;194.0;318.0;564.0;94.0;141.0;87.0;157.0;265.0;522.0;88.0;128.0;-2.0;0.0;4.0;5.0;NITROMETHANE
116.0;197.0;335.0;576.0;92.0;130.0;90.0;154.0;271.0;479.0;78.0;121.0;-1.0;0.0;4.0;6.0;NITROMETHANE
111.0;188.0;323.0;551.0;92.0;142.0;98.0;171.0;297.0;532.0;92.0;130.0;-1.0;0.0;5.0;3.0;NITROMETHANE
117.0;205.0;341.0;593.0;101.0;150.0;89.0;164.0;297.0;530.0;86.0;132.0;-1.0;0.0;6.0;3.0;NITROMETHANE
110.0;190.0;342.0;543.0;90.0;132.0;96.0;161.0;271.0;477.0;75.0;105.0;-5.0;0.0;-2.0;-1.0;NITROMETHANE
107.0;183.0;299.0;471.0;81.0;121.0;85.0;139.0;242.0;438.0;69.0;97.0;-5.0;2.0;-2.0;-1.0;NITROMETHANE
103.0;172.0;280.0;483.0;77.0;116.0;86.0;144.0;246.0;429.0;68.0;106.0;-5.0;2.0;-5.0;2.0;NITROMETHANE
107.0;189.0;306.0;533.0;88.0;140.0;94.0;167.0;292.0;529.0;84.0;124.0;-9.0;2.0;-9.0;2.0;NITROMETHANE
111.0;201.0;346.0;581.0;98.0;144.0;94.0;164.0;289.0;524.0;80.0;117.0;-9.0;1.0;-7.0;2.0;NITROMETHANE
116.0;196.0;326.0;549.0;90.0;136.0;109.0;177.0;301.0;521.0;85.0;142.0;-9.0;1.0;-7.0;2.0;NITROMETHANE
129.0;217.0;372.0;630.0;104.0;160.0;111.0;189.0;332.0;589.0;96.0;146.0;-9.0;1.0;-7.0;-4.0;NITROMETHANE
132.0;226.0;391.0;690.0;120.0;187.0;129.0;224.0;385.0;694.0;120.0;184.0;-9.0;1.0;-5.0;-4.0;NITROMETHANE
150.0;265.0;467.0;839.0;140.0;222.0;139.0;244.0;433.0;818.0;137.0;209.0;-6.0;1.0;-3.0;-1.0;NITROMETHANE
162.0;289.0;510.0;872.0;146.0;226.0;154.0;268.0;468.0;829.0;135.0;204.0;-9.0;-2.0;-3.0;-1.0;NITROMETHANE
168.0;290.0;486.0;823.0;135.0;213.0;131.0;226.0;404.0;731.0;125.0;187.0;-6.0;-2.0;-3.0;3.0;NITROMETHANE
146.0;257.0;444.0;757.0;127.0;191.0;130.0;229.0;395.0;686.0;116.0;171.0;-6.0;3.0;2.0;3.0;NITROMETHANE
153.0;274.0;452.0;786.0;131.0;199.0;142.0;238.0;415.0;725.0;119.0;181.0;-6.0;-2.0;-1.0;-1.0;NITROMETHANE
