OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;PHOSPHORIC ACID
11.0;24.0;50.0;104.0;21.0;36.0;8.0;20.0;39.0;80.0;17.0;31.0;17.0;-21.0;51.0;-50.0;PHOSPHORIC ACID
15.0;33.0;71.0;146.0;27.0;49.0;11.0;26.0;53.0;107.0;21.0;43.0;15.0;-22.0;53.0;-55.0;PHOSPHORIC ACID
17.0;37.0;78.0;167.0;31.0;56.0;14.0;30.0;61.0;124.0;25.0;49.0;28.0;-25.0;70.0;-64.0;PHOSPHORIC ACID
19.0;43.0;91.0;185.0;34.0;65.0;16.0;35.0;71.0;151.0;28.0;55.0;29.0;-31.0;98.0;-93.0;PHOSPHORIC ACID
21.0;46.0;99.0;202.0;38.0;69.0;17.0;41.0;80.0;163.0;31.0;61.0;27.0;-33.0;108.0;-107.0;PHOSPHORIC ACID
24.0;50.0;105.0;222.0;42.0;77.0;18.0;41.0;86.0;176.0;35.0;67.0;31.0;-33.0;123.0;-107.0;PHOSPHORIC ACID
25.0;54.0;114.0;239.0;45.0;83.0;19.0;45.0;94.0;197.0;39.0;74.0;27.0;-33.0;107.0;-107.0;PHOSPHORIC ACID
25.0;56.0;120.0;255.0;49.0;89.0;20.0;48.0;104.0;211.0;43.0;80.0;17.0;-25.0;70.0;-61.0;PHOSPHORIC ACID
25.0;55.0;115.0;246.0;50.0;90.0;22.0;51.0;103.0;218.0;43.0;81.0;12.0;-13.0;17.0;-7.0;PHOSPHORIC ACID
26.0;55.0;119.0;255.0;51.0;93.0;24.0;52.0;107.0;226.0;43.0;83.0;7.0;-4.0;17.0;-5.0;PHOSPHORIC ACID
26.0;57.0;120.0;258.0;51.0;97.0;26.0;54.0;111.0;229.0;46.0;87.0;12.0;-4.0;17.0;-5.0;PHOSPHORIC ACID
27.0;59.0;123.0;264.0;51.0;95.0;24.0;55.0;115.0;235.0;47.0;87.0;7.0;-5.0;19.0;-5.0;PHOSPHORIC ACID
27.0;58.0;124.0;269.0;53.0;99.0;25.0;56.0;118.0;243.0;47.0;92.0;13.0;-5.0;25.0;-5.0;PHOSPHORIC ACID
29.0;64.0;136.0;288.0;56.0;104.0;27.0;60.0;123.0;255.0;50.0;93.0;9.0;-4.0;14.0;-5.0;PHOSPHORIC ACID
30.0;65.0;136.0;294.0;57.0;109.0;27.0;62.0;130.0;269.0;52.0;96.0;6.0;-4.0;26.0;-2.0;PHOSPHORIC ACID
30.0;66.0;138.0;295.0;59.0;110.0;28.0;62.0;132.0;275.0;54.0;99.0;6.0;-4.0;16.0;-2.0;PHOSPHORIC ACID
31.0;69.0;147.0;306.0;61.0;113.0;29.0;65.0;136.0;279.0;55.0;102.0;6.0;-4.0;14.0;-6.0;PHOSPHORIC ACID
31.0;70.0;146.0;319.0;62.0;114.0;29.0;65.0;136.0;278.0;56.0;104.0;3.0;-9.0;26.0;-7.0;PHOSPHORIC ACID
29.0;66.0;142.0;301.0;61.0;114.0;30.0;65.0;138.0;286.0;55.0;102.0;13.0;-9.0;16.0;-8.0;PHOSPHORIC ACID
33.0;72.0;152.0;326.0;63.0;118.0;30.0;66.0;140.0;292.0;57.0;109.0;7.0;-14.0;16.0;-8.0;PHOSPHORIC ACID
33.0;72.0;153.0;331.0;65.0;123.0;32.0;71.0;148.0;307.0;60.0;110.0;2.0;-9.0;12.0;-7.0;PHOSPHORIC ACID
34.0;74.0;157.0;343.0;67.0;126.0;32.0;72.0;149.0;315.0;62.0;113.0;2.0;-8.0;12.0;-8.0;PHOSPHORIC ACID
