OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;PHOSPHORIC ACID
18.0;35.0;78.0;155.0;29.0;49.0;16.0;33.0;68.0;134.0;22.0;43.0;80.0;-73.0;309.0;-299.0;PHOSPHORIC ACID
31.0;66.0;130.0;252.0;46.0;78.0;23.0;49.0;96.0;203.0;36.0;69.0;78.0;-73.0;349.0;-299.0;PHOSPHORIC ACID
43.0;86.0;168.0;332.0;62.0;101.0;30.0;63.0;134.0;261.0;50.0;91.0;84.0;-75.0;308.0;-299.0;PHOSPHORIC ACID
48.0;98.0;197.0;381.0;72.0;117.0;35.0;75.0;150.0;305.0;55.0;102.0;79.0;-77.0;272.0;-309.0;PHOSPHORIC ACID
53.0;107.0;217.0;413.0;77.0;125.0;37.0;80.0;161.0;319.0;59.0;107.0;67.0;-77.0;266.0;-309.0;PHOSPHORIC ACID
57.0;115.0;228.0;431.0;79.0;132.0;41.0;87.0;176.0;351.0;65.0;116.0;86.0;-77.0;326.0;-309.0;PHOSPHORIC ACID
58.0;119.0;235.0;461.0;85.0;140.0;42.0;94.0;192.0;384.0;69.0;123.0;91.0;-84.0;352.0;-354.0;PHOSPHORIC ACID
64.0;129.0;256.0;506.0;92.0;150.0;46.0;101.0;204.0;407.0;73.0;134.0;93.0;-94.0;387.0;-362.0;PHOSPHORIC ACID
68.0;139.0;280.0;545.0;98.0;164.0;52.0;111.0;223.0;448.0;81.0;145.0;103.0;-96.0;374.0;-374.0;PHOSPHORIC ACID
76.0;151.0;305.0;591.0;108.0;180.0;58.0;122.0;247.0;491.0;90.0;160.0;103.0;-98.0;400.0;-379.0;PHOSPHORIC ACID
74.0;151.0;303.0;603.0;111.0;185.0;56.0;119.0;247.0;486.0;90.0;166.0;102.0;-105.0;406.0;-403.0;PHOSPHORIC ACID
85.0;169.0;334.0;649.0;117.0;196.0;65.0;138.0;276.0;551.0;102.0;181.0;118.0;-105.0;439.0;-403.0;PHOSPHORIC ACID
88.0;180.0;356.0;688.0;126.0;213.0;68.0;141.0;290.0;579.0;107.0;192.0;117.0;-105.0;448.0;-403.0;PHOSPHORIC ACID
100.0;199.0;393.0;766.0;139.0;229.0;73.0;153.0;314.0;637.0;116.0;208.0;84.0;-87.0;305.0;-289.0;PHOSPHORIC ACID
101.0;207.0;410.0;805.0;150.0;241.0;76.0;163.0;332.0;665.0;123.0;216.0;53.0;-66.0;175.0;-252.0;PHOSPHORIC ACID
100.0;203.0;396.0;757.0;138.0;230.0;74.0;158.0;322.0;634.0;114.0;202.0;54.0;-65.0;215.0;-252.0;PHOSPHORIC ACID
98.0;196.0;391.0;755.0;138.0;232.0;74.0;159.0;325.0;648.0;119.0;209.0;67.0;-62.0;262.0;-213.0;PHOSPHORIC ACID
99.0;197.0;393.0;760.0;141.0;233.0;76.0;159.0;324.0;640.0;118.0;208.0;68.0;-62.0;286.0;-213.0;PHOSPHORIC ACID
105.0;209.0;416.0;809.0;147.0;243.0;80.0;165.0;340.0;676.0;125.0;218.0;47.0;-51.0;179.0;-183.0;PHOSPHORIC ACID
98.0;195.0;392.0;766.0;140.0;238.0;78.0;164.0;333.0;663.0;122.0;214.0;47.0;-49.0;179.0;-171.0;PHOSPHORIC ACID
99.0;200.0;395.0;767.0;141.0;233.0;76.0;160.0;322.0;631.0;116.0;207.0;32.0;-49.0;117.0;-161.0;PHOSPHORIC ACID
93.0;187.0;373.0;717.0;132.0;221.0;73.0;153.0;309.0;617.0;111.0;200.0;37.0;-49.0;162.0;-161.0;PHOSPHORIC ACID
92.0;186.0;369.0;713.0;131.0;224.0;74.0;159.0;322.0;629.0;115.0;202.0;47.0;-21.0;158.0;-107.0;PHOSPHORIC ACID
97.0;197.0;389.0;737.0;135.0;226.0;73.0;152.0;304.0;604.0;109.0;193.0;20.0;2.0;31.0;-23.0;PHOSPHORIC ACID
