OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;RED_WINE
7.0;21.0;34.0;95.0;9.0;0.0;-5.0;-4.0;-11.0;-41.0;-14.0;-21.0;-8.0;15.0;0.0;8.0;RED_WINE
7.0;21.0;34.0;95.0;9.0;0.0;-5.0;-4.0;-11.0;-41.0;-14.0;-21.0;-8.0;10.0;0.0;-5.0;RED_WINE
7.0;21.0;34.0;95.0;16.0;34.0;17.0;47.0;91.0;165.0;26.0;44.0;-8.0;10.0;0.0;-5.0;RED_WINE
40.0;84.0;177.0;259.0;41.0;57.0;39.0;79.0;120.0;194.0;26.0;38.0;-8.0;8.0;19.0;-23.0;RED_WINE
45.0;78.0;156.0;261.0;37.0;45.0;21.0;56.0;102.0;116.0;14.0;38.0;-6.0;-1.0;27.0;-51.0;RED_WINE
44.0;79.0;156.0;209.0;41.0;42.0;31.0;56.0;102.0;124.0;15.0;34.0;-5.0;-1.0;27.0;-51.0;RED_WINE
44.0;79.0;151.0;255.0;41.0;60.0;43.0;75.0;117.0;170.0;26.0;50.0;2.0;-18.0;67.0;-127.0;RED_WINE
50.0;95.0;190.0;347.0;60.0;104.0;58.0;105.0;194.0;371.0;63.0;99.0;4.0;-22.0;104.0;-151.0;RED_WINE
89.0;160.0;324.0;540.0;94.0;159.0;85.0;169.0;303.0;556.0;88.0;151.0;8.0;-36.0;82.0;-169.0;RED_WINE
92.0;174.0;352.0;684.0;112.0;183.0;84.0;166.0;316.0;575.0;101.0;174.0;26.0;-37.0;87.0;-196.0;RED_WINE
101.0;211.0;431.0;776.0;136.0;231.0;124.0;245.0;458.0;836.0;142.0;246.0;32.0;-50.0;175.0;-281.0;RED_WINE
173.0;322.0;601.0;1125.0;196.0;332.0;183.0;342.0;632.0;1167.0;200.0;332.0;30.0;-58.0;141.0;-310.0;RED_WINE
207.0;402.0;767.0;1389.0;246.0;407.0;204.0;392.0;744.0;1394.0;238.0;408.0;30.0;-58.0;169.0;-310.0;RED_WINE
252.0;475.0;887.0;1640.0;277.0;445.0;223.0;421.0;784.0;1446.0;254.0;411.0;42.0;-63.0;167.0;-310.0;RED_WINE
261.0;486.0;915.0;1658.0;283.0;444.0;229.0;437.0;811.0;1488.0;254.0;405.0;19.0;-73.0;137.0;-324.0;RED_WINE
252.0;466.0;888.0;1627.0;277.0;443.0;236.0;430.0;832.0;1531.0;265.0;425.0;18.0;-73.0;169.0;-359.0;RED_WINE
261.0;502.0;941.0;1739.0;298.0;494.0;242.0;464.0;861.0;1630.0;289.0;482.0;34.0;-86.0;225.0;-430.0;RED_WINE
319.0;583.0;1094.0;2024.0;349.0;574.0;316.0;594.0;1075.0;1971.0;342.0;568.0;41.0;-100.0;256.0;-430.0;RED_WINE
354.0;655.0;1240.0;2260.0;389.0;623.0;320.0;604.0;1129.0;2080.0;363.0;601.0;50.0;-100.0;234.0;-430.0;RED_WINE
379.0;696.0;1300.0;2370.0;403.0;655.0;338.0;631.0;1179.0;2173.0;382.0;620.0;38.0;-100.0;228.0;-435.0;RED_WINE
394.0;729.0;1359.0;2466.0;422.0;658.0;348.0;644.0;1195.0;2173.0;378.0;606.0;51.0;-92.0;216.0;-430.0;RED_WINE
377.0;694.0;1326.0;2384.0;400.0;619.0;336.0;624.0;1146.0;2066.0;354.0;570.0;36.0;-90.0;211.0;-399.0;RED_WINE
360.0;655.0;1237.0;2243.0;377.0;596.0;315.0;585.0;1090.0;1986.0;343.0;550.0;40.0;-88.0;207.0;-379.0;RED_WINE
347.0;643.0;1195.0;2152.0;361.0;558.0;302.0;561.0;1023.0;1850.0;313.0;508.0;32.0;-80.0;160.0;-340.0;RED_WINE
333.0;606.0;1132.0;1987.0;333.0;529.0;284.0;529.0;968.0;1743.0;302.0;486.0;39.0;-74.0;185.0;-339.0;RED_WINE
330.0;597.0;1118.0;1983.0;327.0;517.0;301.0;542.0;980.0;1769.0;292.0;474.0;23.0;-74.0;153.0;-339.0;RED_WINE
328.0;596.0;1104.0;1915.0;323.0;516.0;277.0;520.0;978.0;1734.0;297.0;484.0;29.0;-77.0;179.0;-340.0;RED_WINE
310.0;572.0;1079.0;1953.0;329.0;525.0;281.0;531.0;978.0;1781.0;303.0;499.0;45.0;-72.0;200.0;-339.0;RED_WINE
330.0;614.0;1134.0;2097.0;351.0;577.0;310.0;589.0;1081.0;2018.0;346.0;570.0;33.0;-72.0;205.0;-362.0;RED_WINE
372.0;687.0;1274.0;2291.0;391.0;625.0;322.0;599.0;1134.0;2099.0;365.0;582.0;38.0;-77.0;140.0;-381.0;RED_WINE
367.0;682.0;1284.0;2297.0;389.0;617.0;333.0;620.0;1159.0;2073.0;356.0;586.0;38.0;-77.0;211.0;-383.0;RED_WINE
374.0;684.0;1298.0;2368.0;408.0;684.0;378.0;708.0;1301.0;2404.0;414.0;690.0;54.0;-83.0;312.0;-381.0;RED_WINE
450.0;826.0;1549.0;2804.0;485.0;808.0;444.0;824.0;1537.0;2833.0;485.0;796.0;49.0;-83.0;244.0;-381.0;RED_WINE
