OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;RED_WINE
-142.0;-499.0;-1059.0;-1778.0;-177.0;-67.0;25.0;55.0;198.0;420.0;72.0;85.0;9.0;5.0;1.0;-11.0;RED_WINE
-142.0;-499.0;-1059.0;-1778.0;-177.0;-67.0;46.0;260.0;890.0;2214.0;414.0;533.0;9.0;6.0;4.0;-7.0;RED_WINE
62.0;154.0;198.0;348.0;100.0;264.0;220.0;547.0;1321.0;2894.0;543.0;739.0;6.0;5.0;4.0;-3.0;RED_WINE
78.0;154.0;1320.0;2186.0;276.0;309.0;170.0;394.0;1321.0;2894.0;493.0;710.0;11.0;5.0;6.0;-7.0;RED_WINE
288.0;799.0;1320.0;2156.0;447.0;596.0;352.0;778.0;1604.0;2959.0;493.0;710.0;6.0;4.0;5.0;-3.0;RED_WINE
680.0;1719.0;4444.0;9221.0;1680.0;989.0;583.0;1222.0;2412.0;4276.0;650.0;756.0;3.0;2.0;-3.0;-3.0;RED_WINE
530.0;1414.0;2457.0;8339.0;985.0;989.0;583.0;1222.0;2412.0;4276.0;650.0;756.0;3.0;4.0;-3.0;-2.0;RED_WINE
423.0;1414.0;2423.0;5740.0;1114.0;1448.0;1237.0;2668.0;5105.0;8521.0;1173.0;1281.0;3.0;2.0;-9.0;0.0;RED_WINE
530.0;1414.0;2457.0;3893.0;804.0;690.0;489.0;1057.0;2141.0;3799.0;571.0;691.0;1.0;-4.0;-3.0;0.0;RED_WINE
438.0;847.0;2070.0;4266.0;804.0;1083.0;813.0;1742.0;3409.0;5857.0;824.0;937.0;-2.0;-4.0;5.0;4.0;RED_WINE
533.0;923.0;1804.0;3072.0;437.0;537.0;624.0;1379.0;2816.0;5006.0;745.0;852.0;1.0;5.0;5.0;3.0;RED_WINE
396.0;847.0;1804.0;3072.0;387.0;744.0;775.0;1699.0;3477.0;6110.0;894.0;997.0;5.0;5.0;12.0;-2.0;RED_WINE
396.0;1031.0;2074.0;3827.0;658.0;831.0;624.0;1379.0;2816.0;5006.0;745.0;852.0;5.0;5.0;13.0;-2.0;RED_WINE
307.0;750.0;1498.0;2540.0;419.0;588.0;406.0;890.0;1836.0;3440.0;555.0;719.0;5.0;5.0;1.0;-2.0;RED_WINE
263.0;592.0;984.0;2329.0;340.0;381.0;331.0;821.0;1896.0;3796.0;629.0;807.0;6.0;5.0;1.0;-4.0;RED_WINE
462.0;767.0;1431.0;2329.0;340.0;447.0;375.0;874.0;1845.0;3403.0;525.0;651.0;3.0;2.0;1.0;-2.0;RED_WINE
