OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;SODIUM HYDROXIDE
47.0;87.0;130.0;191.0;32.0;63.0;36.0;71.0;115.0;171.0;27.0;54.0;-5.0;-2.0;-8.0;0.0;SODIUM HYDROXIDE
40.0;71.0;123.0;183.0;31.0;59.0;96.0;138.0;218.0;238.0;32.0;51.0;-1.0;-5.0;-8.0;3.0;SODIUM HYDROXIDE
44.0;84.0;132.0;245.0;37.0;68.0;108.0;168.0;236.0;259.0;35.0;57.0;0.0;-5.0;-7.0;4.0;SODIUM HYDROXIDE
28.0;40.0;66.0;150.0;24.0;51.0;58.0;90.0;150.0;180.0;26.0;41.0;0.0;-5.0;-6.0;0.0;SODIUM HYDROXIDE
42.0;42.0;55.0;193.0;22.0;55.0;58.0;60.0;96.0;120.0;24.0;43.0;5.0;-9.0;-6.0;-6.0;SODIUM HYDROXIDE
42.0;65.0;111.0;193.0;32.0;59.0;47.0;69.0;110.0;162.0;26.0;48.0;5.0;-9.0;-6.0;-6.0;SODIUM HYDROXIDE
81.0;127.0;199.0;305.0;47.0;89.0;94.0;154.0;245.0;339.0;50.0;74.0;10.0;-9.0;-6.0;-6.0;SODIUM HYDROXIDE
82.0;134.0;210.0;338.0;51.0;87.0;109.0;180.0;276.0;341.0;46.0;80.0;10.0;-9.0;-7.0;0.0;SODIUM HYDROXIDE
81.0;128.0;193.0;309.0;52.0;96.0;66.0;154.0;178.0;254.0;46.0;64.0;2.0;-4.0;-10.0;0.0;SODIUM HYDROXIDE
113.0;184.0;289.0;437.0;64.0;116.0;94.0;151.0;216.0;307.0;55.0;98.0;1.0;-1.0;-10.0;0.0;SODIUM HYDROXIDE
122.0;203.0;313.0;490.0;71.0;128.0;147.0;247.0;378.0;513.0;67.0;103.0;2.0;-1.0;-10.0;-2.0;SODIUM HYDROXIDE
128.0;213.0;328.0;511.0;83.0;137.0;107.0;184.0;292.0;442.0;71.0;112.0;5.0;-1.0;-10.0;-3.0;SODIUM HYDROXIDE
152.0;250.0;378.0;552.0;87.0;148.0;163.0;265.0;424.0;547.0;73.0;113.0;3.0;-7.0;-10.0;-3.0;SODIUM HYDROXIDE
128.0;220.0;332.0;509.0;84.0;148.0;132.0;217.0;316.0;450.0;74.0;114.0;5.0;-7.0;-12.0;-3.0;SODIUM HYDROXIDE
125.0;204.0;324.0;489.0;81.0;138.0;159.0;250.0;372.0;478.0;69.0;109.0;8.0;-7.0;-9.0;-3.0;SODIUM HYDROXIDE
151.0;243.0;368.0;565.0;87.0;149.0;144.0;237.0;375.0;549.0;76.0;120.0;9.0;-2.0;-9.0;-4.0;SODIUM HYDROXIDE
130.0;210.0;317.0;503.0;79.0;136.0;141.0;217.0;325.0;407.0;70.0;113.0;12.0;-2.0;-9.0;-4.0;SODIUM HYDROXIDE
139.0;219.0;335.0;509.0;83.0;146.0;120.0;201.0;329.0;502.0;75.0;120.0;12.0;-1.0;-7.0;-6.0;SODIUM HYDROXIDE
117.0;184.0;283.0;456.0;73.0;132.0;109.0;189.0;304.0;404.0;65.0;110.0;12.0;-2.0;-7.0;-4.0;SODIUM HYDROXIDE
128.0;212.0;315.0;453.0;73.0;134.0;100.0;172.0;287.0;425.0;70.0;104.0;1.0;-7.0;-21.0;-4.0;SODIUM HYDROXIDE
126.0;194.0;294.0;428.0;67.0;120.0;115.0;189.0;310.0;433.0;63.0;96.0;1.0;-7.0;-21.0;-2.0;SODIUM HYDROXIDE
121.0;193.0;288.0;424.0;66.0;121.0;108.0;176.0;298.0;398.0;61.0;91.0;1.0;0.0;-15.0;-7.0;SODIUM HYDROXIDE
125.0;193.0;290.0;410.0;64.0;109.0;88.0;132.0;208.0;301.0;50.0;80.0;-3.0;-7.0;-15.0;-2.0;SODIUM HYDROXIDE
118.0;184.0;266.0;348.0;53.0;95.0;80.0;132.0;222.0;322.0;46.0;74.0;-3.0;-10.0;-15.0;-6.0;SODIUM HYDROXIDE
119.0;182.0;261.0;328.0;50.0;85.0;84.0;149.0;232.0;305.0;37.0;70.0;3.0;-7.0;-14.0;0.0;SODIUM HYDROXIDE
114.0;168.0;222.0;284.0;45.0;82.0;90.0;127.0;182.0;222.0;41.0;60.0;-1.0;-9.0;-15.0;-6.0;SODIUM HYDROXIDE
112.0;166.0;215.0;273.0;41.0;78.0;100.0;165.0;247.0;311.0;41.0;58.0;-1.0;-9.0;-15.0;-6.0;SODIUM HYDROXIDE
127.0;193.0;266.0;353.0;47.0;89.0;88.0;144.0;223.0;289.0;39.0;59.0;-1.0;-7.0;-18.0;-6.0;SODIUM HYDROXIDE
135.0;194.0;268.0;335.0;47.0;91.0;86.0;132.0;196.0;227.0;29.0;58.0;-1.0;-1.0;-18.0;-2.0;SODIUM HYDROXIDE
26.0;36.0;56.0;72.0;11.0;10.0;6.0;15.0;28.0;46.0;0.0;1.0;6.0;1.0;-2.0;6.0;SODIUM HYDROXIDE
21.0;30.0;53.0;72.0;10.0;10.0;18.0;20.0;45.0;38.0;0.0;1.0;3.0;1.0;6.0;9.0;SODIUM HYDROXIDE
20.0;36.0;42.0;72.0;11.0;10.0;7.0;8.0;28.0;38.0;0.0;4.0;-3.0;0.0;-8.0;6.0;SODIUM HYDROXIDE
38.0;59.0;93.0;127.0;17.0;10.0;27.0;32.0;68.0;38.0;6.0;4.0;-3.0;0.0;5.0;7.0;SODIUM HYDROXIDE
30.0;51.0;84.0;133.0;19.0;16.0;17.0;29.0;62.0;94.0;5.0;15.0;-4.0;0.0;-8.0;4.0;SODIUM HYDROXIDE
44.0;74.0;114.0;185.0;25.0;28.0;27.0;29.0;62.0;95.0;10.0;17.0;-4.0;0.0;-1.0;4.0;SODIUM HYDROXIDE
70.0;102.0;161.0;256.0;36.0;41.0;64.0;89.0;147.0;209.0;19.0;28.0;-4.0;1.0;-1.0;7.0;SODIUM HYDROXIDE
47.0;75.0;121.0;168.0;26.0;28.0;33.0;54.0;94.0;143.0;15.0;26.0;0.0;2.0;-1.0;4.0;SODIUM HYDROXIDE
40.0;64.0;108.0;173.0;22.0;35.0;51.0;77.0;106.0;128.0;15.0;26.0;-2.0;0.0;-3.0;7.0;SODIUM HYDROXIDE
57.0;81.0;137.0;199.0;31.0;36.0;14.0;31.0;62.0;96.0;17.0;29.0;-2.0;-2.0;-3.0;3.0;SODIUM HYDROXIDE
54.0;81.0;140.0;216.0;30.0;35.0;12.0;41.0;92.0;84.0;13.0;24.0;-2.0;-3.0;-3.0;13.0;SODIUM HYDROXIDE
63.0;98.0;168.0;251.0;34.0;35.0;25.0;41.0;92.0;143.0;19.0;28.0;-4.0;-4.0;-3.0;3.0;SODIUM HYDROXIDE
62.0;97.0;155.0;249.0;34.0;35.0;62.0;90.0;134.0;139.0;13.0;27.0;-4.0;-4.0;-3.0;3.0;SODIUM HYDROXIDE
56.0;84.0;138.0;221.0;32.0;37.0;34.0;46.0;95.0;176.0;20.0;26.0;-4.0;-4.0;-3.0;3.0;SODIUM HYDROXIDE
62.0;69.0;155.0;177.0;24.0;27.0;39.0;46.0;58.0;137.0;17.0;20.0;-4.0;-1.0;-3.0;2.0;SODIUM HYDROXIDE
79.0;126.0;196.0;295.0;40.0;42.0;23.0;34.0;75.0;137.0;20.0;32.0;-4.0;0.0;1.0;2.0;SODIUM HYDROXIDE
73.0;115.0;179.0;290.0;42.0;42.0;41.0;54.0;86.0;114.0;17.0;31.0;-5.0;0.0;4.0;2.0;SODIUM HYDROXIDE
57.0;97.0;170.0;243.0;36.0;42.0;40.0;36.0;75.0;131.0;17.0;32.0;-5.0;0.0;5.0;2.0;SODIUM HYDROXIDE
53.0;82.0;131.0;202.0;30.0;31.0;40.0;59.0;118.0;143.0;15.0;28.0;-5.0;-2.0;-4.0;-4.0;SODIUM HYDROXIDE
72.0;117.0;175.0;270.0;38.0;40.0;74.0;110.0;167.0;190.0;21.0;30.0;-1.0;-2.0;4.0;-4.0;SODIUM HYDROXIDE
59.0;89.0;156.0;226.0;35.0;41.0;79.0;114.0;140.0;186.0;22.0;26.0;2.0;-2.0;1.0;0.0;SODIUM HYDROXIDE
87.0;134.0;203.0;330.0;42.0;49.0;47.0;71.0;128.0;201.0;23.0;28.0;5.0;1.0;1.0;0.0;SODIUM HYDROXIDE
76.0;121.0;204.0;304.0;46.0;52.0;38.0;62.0;109.0;182.0;22.0;36.0;9.0;1.0;1.0;11.0;SODIUM HYDROXIDE
57.0;87.0;142.0;223.0;34.0;32.0;38.0;62.0;109.0;162.0;14.0;24.0;7.0;1.0;1.0;13.0;SODIUM HYDROXIDE
52.0;85.0;131.0;199.0;24.0;22.0;62.0;99.0;137.0;162.0;13.0;19.0;-5.0;2.0;1.0;7.0;SODIUM HYDROXIDE
57.0;82.0;131.0;208.0;22.0;19.0;29.0;28.0;67.0;107.0;7.0;11.0;-5.0;1.0;0.0;5.0;SODIUM HYDROXIDE
55.0;83.0;125.0;175.0;24.0;19.0;66.0;91.0;60.0;118.0;7.0;8.0;-5.0;-4.0;-4.0;3.0;SODIUM HYDROXIDE
54.0;84.0;127.0;189.0;23.0;19.0;44.0;49.0;52.0;77.0;6.0;8.0;-4.0;-4.0;-6.0;3.0;SODIUM HYDROXIDE
72.0;108.0;166.0;230.0;30.0;24.0;44.0;49.0;60.0;64.0;5.0;8.0;-4.0;0.0;-6.0;2.0;SODIUM HYDROXIDE
69.0;111.0;176.0;220.0;31.0;26.0;48.0;66.0;71.0;58.0;5.0;9.0;-2.0;-4.0;-3.0;2.0;SODIUM HYDROXIDE
44.0;67.0;104.0;135.0;15.0;4.0;58.0;77.0;104.0;68.0;0.0;-1.0;-2.0;0.0;-6.0;2.0;SODIUM HYDROXIDE
37.0;48.0;72.0;103.0;13.0;-2.0;43.0;60.0;71.0;58.0;-2.0;-9.0;-2.0;2.0;-6.0;2.0;SODIUM HYDROXIDE
43.0;68.0;92.0;120.0;13.0;-2.0;23.0;26.0;43.0;43.0;-2.0;-9.0;-2.0;0.0;-3.0;4.0;SODIUM HYDROXIDE
39.0;57.0;88.0;102.0;11.0;-2.0;43.0;26.0;83.0;19.0;-5.0;-11.0;-2.0;-2.0;-6.0;6.0;SODIUM HYDROXIDE
47.0;75.0;100.0;141.0;13.0;-9.0;23.0;26.0;43.0;17.0;-5.0;-9.0;-1.0;-1.0;-6.0;4.0;SODIUM HYDROXIDE
35.0;49.0;72.0;86.0;9.0;-9.0;36.0;49.0;69.0;17.0;-5.0;-11.0;-1.0;-1.0;-12.0;3.0;SODIUM HYDROXIDE
35.0;54.0;77.0;103.0;6.0;-8.0;23.0;26.0;43.0;7.0;-10.0;-14.0;-1.0;-2.0;-8.0;2.0;SODIUM HYDROXIDE
39.0;52.0;69.0;98.0;10.0;-8.0;16.0;12.0;18.0;7.0;-10.0;-15.0;-3.0;-1.0;-8.0;3.0;SODIUM HYDROXIDE
40.0;53.0;72.0;94.0;6.0;-8.0;4.0;-7.0;-8.0;-23.0;-10.0;-16.0;-4.0;0.0;-6.0;3.0;SODIUM HYDROXIDE
