OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;SODIUM HYDROXIDE
35.0;69.0;113.0;198.0;30.0;45.0;47.0;83.0;123.0;178.0;32.0;41.0;10.0;-5.0;-3.0;7.0;SODIUM HYDROXIDE
30.0;58.0;94.0;151.0;26.0;42.0;27.0;68.0;117.0;204.0;33.0;41.0;16.0;-5.0;-3.0;-7.0;SODIUM HYDROXIDE
61.0;109.0;165.0;281.0;42.0;62.0;35.0;69.0;107.0;213.0;40.0;53.0;10.0;-6.0;1.0;-8.0;SODIUM HYDROXIDE
75.0;127.0;207.0;318.0;54.0;79.0;41.0;80.0;154.0;298.0;54.0;74.0;13.0;-5.0;2.0;-10.0;SODIUM HYDROXIDE
75.0;134.0;211.0;343.0;56.0;90.0;64.0;115.0;187.0;311.0;54.0;77.0;17.0;-2.0;2.0;-10.0;SODIUM HYDROXIDE
101.0;177.0;282.0;437.0;66.0;102.0;94.0;161.0;261.0;403.0;69.0;90.0;13.0;-2.0;2.0;-10.0;SODIUM HYDROXIDE
114.0;190.0;303.0;490.0;74.0;116.0;58.0;118.0;205.0;401.0;73.0;100.0;9.0;-7.0;-3.0;-9.0;SODIUM HYDROXIDE
91.0;166.0;275.0;446.0;73.0;113.0;75.0;136.0;245.0;449.0;76.0;104.0;13.0;-7.0;-8.0;-9.0;SODIUM HYDROXIDE
115.0;199.0;311.0;503.0;79.0;123.0;115.0;189.0;303.0;479.0;76.0;106.0;9.0;-7.0;-10.0;-9.0;SODIUM HYDROXIDE
102.0;184.0;304.0;484.0;72.0;123.0;70.0;137.0;249.0;461.0;76.0;109.0;7.0;-7.0;-10.0;-9.0;SODIUM HYDROXIDE
133.0;232.0;361.0;555.0;89.0;138.0;86.0;166.0;281.0;509.0;89.0;123.0;1.0;-7.0;-11.0;-13.0;SODIUM HYDROXIDE
136.0;230.0;364.0;595.0;96.0;149.0;83.0;168.0;307.0;558.0;93.0;133.0;1.0;-7.0;-11.0;-13.0;SODIUM HYDROXIDE
166.0;277.0;449.0;696.0;110.0;168.0;98.0;194.0;349.0;611.0;107.0;149.0;-2.0;-10.0;-12.0;-9.0;SODIUM HYDROXIDE
141.0;245.0;398.0;632.0;104.0;167.0;95.0;183.0;333.0;608.0;97.0;149.0;-2.0;-10.0;-14.0;-9.0;SODIUM HYDROXIDE
147.0;253.0;397.0;641.0;105.0;163.0;112.0;204.0;358.0;611.0;104.0;151.0;3.0;-10.0;-14.0;-11.0;SODIUM HYDROXIDE
149.0;258.0;412.0;669.0;106.0;169.0;137.0;249.0;424.0;720.0;104.0;152.0;3.0;-8.0;-14.0;-10.0;SODIUM HYDROXIDE
154.0;261.0;429.0;689.0;110.0;173.0;115.0;211.0;373.0;669.0;110.0;159.0;3.0;-8.0;-14.0;-10.0;SODIUM HYDROXIDE
183.0;321.0;495.0;794.0;123.0;191.0;172.0;284.0;463.0;745.0;121.0;165.0;3.0;-3.0;-13.0;-10.0;SODIUM HYDROXIDE
170.0;293.0;470.0;773.0;124.0;194.0;161.0;285.0;464.0;766.0;120.0;178.0;11.0;-1.0;-10.0;0.0;SODIUM HYDROXIDE
138.0;248.0;405.0;663.0;111.0;179.0;165.0;284.0;457.0;735.0;115.0;158.0;11.0;1.0;-10.0;0.0;SODIUM HYDROXIDE
81.0;150.0;270.0;448.0;82.0;142.0;96.0;178.0;313.0;563.0;93.0;132.0;11.0;1.0;-5.0;0.0;SODIUM HYDROXIDE
87.0;154.0;274.0;448.0;79.0;131.0;122.0;199.0;315.0;503.0;86.0;117.0;11.0;-1.0;-5.0;-2.0;SODIUM HYDROXIDE
107.0;187.0;300.0;483.0;81.0;131.0;98.0;178.0;306.0;531.0;83.0;124.0;11.0;-1.0;-2.0;-2.0;SODIUM HYDROXIDE
114.0;207.0;336.0;528.0;87.0;139.0;114.0;190.0;316.0;534.0;91.0;132.0;12.0;1.0;-1.0;-2.0;SODIUM HYDROXIDE
