OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;UREA
-8.0;-15.0;-31.0;-62.0;-11.0;-23.0;-6.0;-11.0;-10.0;-25.0;-10.0;-6.0;-12.0;-6.0;-9.0;-12.0;UREA
-6.0;-13.0;-28.0;-51.0;-7.0;-12.0;-5.0;-9.0;-9.0;4.0;-3.0;1.0;-16.0;-6.0;-9.0;-12.0;UREA
-6.0;-13.0;-28.0;-51.0;-7.0;-12.0;-5.0;-9.0;-9.0;4.0;-3.0;4.0;-16.0;-6.0;-7.0;-8.0;UREA
4.0;9.0;25.0;53.0;15.0;12.0;-3.0;-5.0;0.0;20.0;10.0;22.0;-11.0;-6.0;-7.0;-8.0;UREA
7.0;18.0;43.0;102.0;16.0;17.0;-2.0;-1.0;5.0;53.0;7.0;22.0;-15.0;-4.0;-7.0;-9.0;UREA
17.0;36.0;37.0;77.0;29.0;15.0;-1.0;0.0;8.0;29.0;15.0;24.0;-8.0;5.0;-3.0;-5.0;UREA
12.0;25.0;48.0;95.0;18.0;14.0;4.0;4.0;12.0;23.0;1.0;7.0;1.0;-6.0;-1.0;1.0;UREA
16.0;31.0;73.0;130.0;20.0;20.0;6.0;12.0;12.0;23.0;7.0;15.0;2.0;-6.0;5.0;4.0;UREA
14.0;31.0;67.0;117.0;22.0;23.0;9.0;19.0;12.0;40.0;11.0;26.0;4.0;-7.0;7.0;4.0;UREA
