OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;UREA
-9.0;-18.0;-41.0;-87.0;-11.0;-14.0;-5.0;-13.0;-22.0;-40.0;-6.0;0.0;-11.0;-1.0;-10.0;-3.0;UREA
34.0;66.0;136.0;258.0;45.0;82.0;31.0;59.0;113.0;204.0;36.0;63.0;-2.0;-3.0;0.0;-15.0;UREA
39.0;75.0;145.0;271.0;49.0;89.0;28.0;54.0;112.0;205.0;40.0;67.0;-2.0;-5.0;0.0;-15.0;UREA
33.0;65.0;132.0;244.0;42.0;77.0;22.0;43.0;85.0;159.0;30.0;49.0;-10.0;-4.0;0.0;-16.0;UREA
27.0;56.0;111.0;202.0;36.0;72.0;30.0;57.0;109.0;188.0;32.0;56.0;-2.0;-4.0;0.0;-9.0;UREA
34.0;70.0;139.0;262.0;47.0;85.0;37.0;72.0;140.0;252.0;47.0;80.0;-11.0;-4.0;-1.0;-9.0;UREA
56.0;115.0;245.0;491.0;91.0;154.0;52.0;106.0;224.0;450.0;86.0;150.0;0.0;-4.0;-1.0;-8.0;UREA
76.0;158.0;331.0;661.0;124.0;209.0;67.0;136.0;289.0;583.0;112.0;190.0;-11.0;0.0;-4.0;-9.0;UREA
81.0;167.0;351.0;712.0;130.0;222.0;79.0;157.0;322.0;619.0;116.0;198.0;0.0;0.0;-3.0;-9.0;UREA
