OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;UREA
15.0;30.0;56.0;103.0;18.0;31.0;10.0;15.0;33.0;61.0;12.0;22.0;-5.0;-4.0;0.0;0.0;UREA
17.0;35.0;66.0;128.0;22.0;37.0;12.0;20.0;45.0;83.0;18.0;33.0;-6.0;-4.0;0.0;2.0;UREA
21.0;44.0;87.0;180.0;37.0;65.0;19.0;39.0;84.0;179.0;35.0;64.0;-6.0;-3.0;0.0;2.0;UREA
38.0;78.0;150.0;293.0;57.0;97.0;30.0;58.0;119.0;246.0;48.0;86.0;-5.0;-5.0;0.0;2.0;UREA
36.0;73.0;133.0;254.0;47.0;81.0;24.0;48.0;98.0;200.0;36.0;66.0;0.0;4.0;0.0;29.0;UREA
22.0;46.0;89.0;166.0;32.0;56.0;17.0;35.0;69.0;140.0;26.0;43.0;0.0;4.0;-3.0;18.0;UREA
13.0;27.0;53.0;98.0;20.0;35.0;12.0;22.0;44.0;80.0;15.0;26.0;0.0;4.0;-5.0;20.0;UREA
7.0;15.0;29.0;44.0;7.0;16.0;5.0;11.0;15.0;23.0;4.0;12.0;-8.0;0.0;-5.0;18.0;UREA
6.0;14.0;28.0;55.0;10.0;19.0;5.0;10.0;20.0;34.0;5.0;9.0;-8.0;0.0;-6.0;15.0;UREA
