OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;WATER_VAPOR
-23.0;-22.0;-39.0;-49.0;-7.0;-10.0;-39.0;-38.0;-63.0;-125.0;-15.0;2.0;-2.0;-4.0;2.0;1.0;WATER_VAPOR
-9.0;-19.0;-21.0;-23.0;0.0;1.0;-6.0;-1.0;-63.0;-66.0;-8.0;8.0;8.0;-4.0;1.0;3.0;WATER_VAPOR
55.0;107.0;190.0;277.0;49.0;70.0;8.0;43.0;80.0;190.0;38.0;80.0;7.0;-2.0;2.0;3.0;WATER_VAPOR
89.0;160.0;272.0;434.0;76.0;83.0;42.0;84.0;92.0;155.0;39.0;86.0;8.0;-2.0;1.0;3.0;WATER_VAPOR
102.0;187.0;324.0;561.0;89.0;120.0;68.0;122.0;92.0;256.0;54.0;107.0;7.0;-2.0;2.0;3.0;WATER_VAPOR
94.0;165.0;267.0;428.0;64.0;95.0;46.0;90.0;126.0;162.0;36.0;76.0;9.0;-2.0;1.0;3.0;WATER_VAPOR
53.0;86.0;150.0;242.0;44.0;53.0;-38.0;-24.0;26.0;124.0;21.0;49.0;9.0;-2.0;2.0;2.0;WATER_VAPOR
60.0;113.0;161.0;233.0;46.0;54.0;-44.0;-28.0;7.0;105.0;21.0;33.0;16.0;-2.0;10.0;3.0;WATER_VAPOR
28.0;47.0;81.0;151.0;33.0;16.0;-58.0;-31.0;-35.0;8.0;13.0;33.0;12.0;0.0;15.0;2.0;WATER_VAPOR
25.0;41.0;64.0;109.0;22.0;14.0;-58.0;-32.0;-35.0;8.0;13.0;33.0;16.0;0.0;10.0;1.0;WATER_VAPOR
28.0;47.0;81.0;151.0;33.0;38.0;-58.0;-32.0;-35.0;8.0;13.0;40.0;9.0;0.0;4.0;-1.0;WATER_VAPOR
22.0;53.0;96.0;187.0;37.0;59.0;-58.0;-32.0;31.0;91.0;27.0;60.0;11.0;-3.0;4.0;-1.0;WATER_VAPOR
58.0;105.0;193.0;343.0;52.0;73.0;-46.0;-9.0;53.0;85.0;26.0;66.0;14.0;-3.0;4.0;-1.0;WATER_VAPOR
77.0;153.0;257.0;414.0;70.0;106.0;-46.0;-9.0;53.0;91.0;48.0;93.0;5.0;-3.0;3.0;-1.0;WATER_VAPOR
94.0;164.0;277.0;470.0;87.0;111.0;-2.0;39.0;84.0;85.0;56.0;108.0;1.0;-3.0;12.0;-1.0;WATER_VAPOR
