OFFCHIP_SENSIMOX_SnAu_150_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_200.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_150_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_200_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_250_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_300_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_350_78125.0_IN-PHASE;OFFCHIP_SENSIMOX_SnAu_400_78125.0_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT4_QUADRATURE;ONCHIP_ALUMINUM_OXIDE_OUT7_IN-PHASE;ONCHIP_ALUMINUM_OXIDE_OUT7_QUADRATURE;LABEL
1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;WATER_VAPOR
-15.0;-30.0;-67.0;-134.0;-26.0;-45.0;5.0;-3.0;-32.0;-106.0;-20.0;-31.0;-9.0;-5.0;-10.0;-7.0;WATER_VAPOR
-9.0;-19.0;-38.0;-86.0;-18.0;-29.0;16.0;20.0;23.0;-19.0;-13.0;-25.0;-10.0;-1.0;-11.0;-15.0;WATER_VAPOR
22.0;40.0;70.0;121.0;18.0;24.0;30.0;53.0;94.0;170.0;27.0;43.0;-16.0;-5.0;-25.0;-19.0;WATER_VAPOR
58.0;110.0;213.0;396.0;66.0;102.0;69.0;131.0;237.0;402.0;67.0;107.0;-16.0;-7.0;-25.0;-22.0;WATER_VAPOR
88.0;168.0;322.0;584.0;96.0;146.0;53.0;109.0;219.0;423.0;75.0;127.0;-20.0;-7.0;-30.0;-22.0;WATER_VAPOR
91.0;175.0;331.0;605.0;103.0;159.0;59.0;116.0;241.0;467.0;83.0;145.0;-21.0;-11.0;-38.0;-22.0;WATER_VAPOR
97.0;186.0;358.0;653.0;111.0;178.0;75.0;148.0;294.0;565.0;97.0;162.0;-26.0;-22.0;-39.0;-83.0;WATER_VAPOR
127.0;238.0;446.0;807.0;140.0;225.0;103.0;198.0;393.0;736.0;128.0;208.0;-31.0;-34.0;-49.0;-156.0;WATER_VAPOR
185.0;341.0;626.0;1130.0;190.0;303.0;121.0;245.0;477.0;925.0;165.0;272.0;-31.0;-43.0;-53.0;-190.0;WATER_VAPOR
221.0;396.0;713.0;1263.0;213.0;344.0;159.0;313.0;604.0;1136.0;195.0;320.0;-31.0;-48.0;-53.0;-252.0;WATER_VAPOR
286.0;511.0;911.0;1592.0;264.0;426.0;184.0;357.0;696.0;1315.0;231.0;380.0;-27.0;-48.0;-52.0;-252.0;WATER_VAPOR
333.0;593.0;1049.0;1825.0;306.0;494.0;244.0;466.0;872.0;1586.0;271.0;445.0;-25.0;-61.0;-52.0;-253.0;WATER_VAPOR
411.0;729.0;1287.0;2209.0;362.0;569.0;251.0;497.0;962.0;1782.0;306.0;498.0;-21.0;-61.0;-52.0;-281.0;WATER_VAPOR
422.0;752.0;1328.0;2272.0;375.0;589.0;270.0;518.0;991.0;1835.0;320.0;515.0;-21.0;-61.0;-52.0;-285.0;WATER_VAPOR
459.0;810.0;1426.0;2454.0;408.0;642.0;296.0;578.0;1107.0;2053.0;352.0;567.0;-21.0;-61.0;-53.0;-285.0;WATER_VAPOR
504.0;894.0;1569.0;2692.0;446.0;706.0;327.0;641.0;1234.0;2308.0;392.0;631.0;-21.0;-79.0;-53.0;-313.0;WATER_VAPOR
550.0;979.0;1703.0;2925.0;482.0;763.0;353.0;687.0;1303.0;2410.0;414.0;664.0;-19.0;-84.0;-45.0;-332.0;WATER_VAPOR
544.0;965.0;1698.0;2909.0;478.0;760.0;393.0;742.0;1386.0;2489.0;414.0;668.0;-30.0;-84.0;-53.0;-313.0;WATER_VAPOR
563.0;999.0;1760.0;3040.0;505.0;813.0;412.0;780.0;1470.0;2661.0;454.0;724.0;-30.0;-68.0;-45.0;-348.0;WATER_VAPOR
660.0;1173.0;2040.0;3487.0;573.0;907.0;482.0;916.0;1698.0;3028.0;505.0;798.0;-23.0;-84.0;-45.0;-351.0;WATER_VAPOR
694.0;1235.0;2177.0;3784.0;630.0;992.0;494.0;950.0;1801.0;3305.0;563.0;907.0;-23.0;-84.0;-46.0;-356.0;WATER_VAPOR
792.0;1416.0;2524.0;4435.0;738.0;1168.0;583.0;1123.0;2128.0;3911.0;656.0;1040.0;-28.0;-93.0;-49.0;-426.0;WATER_VAPOR
923.0;1641.0;2898.0;5032.0;830.0;1294.0;675.0;1290.0;2390.0;4319.0;723.0;1141.0;-23.0;-107.0;-46.0;-459.0;WATER_VAPOR
982.0;1741.0;3062.0;5301.0;866.0;1351.0;682.0;1308.0;2465.0;4471.0;756.0;1198.0;-28.0;-107.0;-49.0;-459.0;WATER_VAPOR
1063.0;1884.0;3309.0;5655.0;927.0;1440.0;761.0;1451.0;2710.0;4884.0;813.0;1280.0;-28.0;-107.0;-53.0;-426.0;WATER_VAPOR
1112.0;1959.0;3402.0;5859.0;960.0;1496.0;787.0;1490.0;2770.0;4925.0;823.0;1295.0;-28.0;-95.0;-53.0;-395.0;WATER_VAPOR
1072.0;1886.0;3265.0;5560.0;900.0;1399.0;705.0;1344.0;2484.0;4445.0;747.0;1175.0;-23.0;-32.0;-54.0;-168.0;WATER_VAPOR
744.0;1343.0;2393.0;4168.0;705.0;1150.0;550.0;1087.0;2074.0;3811.0;648.0;1031.0;-23.0;-24.0;-55.0;-152.0;WATER_VAPOR
877.0;1608.0;2906.0;5133.0;862.0;1361.0;669.0;1314.0;2530.0;4701.0;809.0;1278.0;-23.0;-22.0;-55.0;-131.0;WATER_VAPOR
1153.0;2109.0;3856.0;6896.0;1164.0;1792.0;957.0;1841.0;3468.0;6331.0;1075.0;1694.0;-23.0;-12.0;-54.0;-78.0;WATER_VAPOR
1418.0;2592.0;4775.0;8667.0;1443.0;2201.0;1135.0;2174.0;4100.0;7470.0;1277.0;1971.0;-23.0;-11.0;-34.0;-39.0;WATER_VAPOR
1356.0;2490.0;4620.0;8372.0;1405.0;2171.0;1139.0;2151.0;3994.0;7204.0;1217.0;1893.0;-17.0;-3.0;-33.0;-30.0;WATER_VAPOR
1042.0;1946.0;3656.0;6724.0;1161.0;1862.0;913.0;1787.0;3384.0;6216.0;1042.0;1638.0;-17.0;-3.0;-20.0;-22.0;WATER_VAPOR
873.0;1650.0;3133.0;5820.0;1018.0;1675.0;819.0;1615.0;3111.0;5760.0;988.0;1546.0;-7.0;-3.0;-19.0;-16.0;WATER_VAPOR
975.0;1830.0;3397.0;6149.0;1042.0;1662.0;797.0;1562.0;2982.0;5485.0;926.0;1471.0;-7.0;-1.0;-14.0;-16.0;WATER_VAPOR
